GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830
Solyc11g073250.2.1,2452,4237,3235,7408,4507,5315
Solyc11g045140.1.1,0,1,3,4,2,0
Solyc12g019560.1.1,45,67,37,18,17,41
Solyc06g084480.3.1,1411,1599,916,723,558,825
Solyc09g072500.1.1,0,0,0,0,0,0
Solyc05g054170.4.1,99,145,57,3,4,6
Solyc01g100840.3.1,441,659,534,1013,820,942
Solyc04g007700.3.1,165,245,234,342,306,464
Solyc12g088410.3.1,10,27,18,43,39,74
Solyc09g055260.4.1,363,521,246,346,132,231
Solyc08g150100.1.1,4,0,6,0,0,0
Solyc01g020290.1.1,0,0,0,0,0,0
Solyc09g090640.3.1,791,941,664,652,445,683
Solyc00g094520.1.1,0,0,1,1,0,0
Solyc06g009400.3.1,2425,3381,2795,3326,1912,2688
Solyc09g083360.3.1,34,137,360,65,28,39
Solyc05g050580.3.1,372,660,514,576,355,607
Solyc07g041010.3.1,510,491,811,1241,845,1030
Solyc11g006110.1.1,4,2,2,5,4,0
Solyc07g053240.3.1,4,6,9,8,2,16
Solyc01g106550.1.1,0,0,0,0,0,0
Solyc05g046200.3.1,2,32,9,6,8,4
Solyc03g116175.1.1,0,0,0,0,2,0
Solyc08g008490.4.1,537,645,487,306,211,271
Solyc01g094980.1.1,0,0,0,2,0,2
Solyc06g005390.1.1,53,100,53,178,99,107
Solyc05g010750.3.1,0,0,0,0,0,0
Solyc11g013470.1.1,115,142,151,80,122,116
Solyc06g063330.3.1,350,411,288,149,173,238
Solyc06g007310.4.1,547,811,604,690,608,872
Solyc03g058930.4.1,43,62,36,123,122,173
Solyc05g053370.3.1,103,153,158,199,262,160
Solyc06g053760.3.1,63,93,44,65,22,22
Solyc12g014500.3.1,33,79,43,78,23,34
Solyc06g030610.1.1,0,0,0,0,0,0
Solyc01g081010.4.1,604,633,334,461,216,437
Solyc04g016520.3.1,1124,1614,1245,1660,1017,1564
Solyc12g042120.3.1,35,30,35,23,37,49
Solyc11g006660.3.1,1290,1537,1138,934,546,960
Solyc10g062080.1.1,0,0,0,0,0,0
Solyc10g008270.3.1,1655,2112,2084,775,1341,1279
Solyc05g026130.3.1,1048,1627,1310,2462,1840,2361
Solyc07g017320.1.1,0,0,0,0,0,0
Solyc03g006720.1.1,10,2,2,0,0,0
Solyc05g050960.4.1,29,52,31,69,32,86
Solyc05g010490.1.1,0,0,0,0,0,0
Solyc04g054258.1.1,0,0,0,0,0,0
Solyc07g021740.2.1,0,0,0,0,0,0
Solyc10g080770.3.1,1185,1137,1120,612,490,852
Solyc11g011050.2.1,231,191,140,116,67,127
Solyc06g075040.1.1,0,0,0,0,0,0
Solyc05g015020.1.1,0,0,0,0,0,0
Solyc01g067530.3.1,1604,1819,963,643,336,565
Solyc12g150117.1.1,0,0,0,4,2,0
Solyc05g018450.1.1,0,0,0,0,0,0
Solyc02g063455.1.1,0,0,0,0,0,0
Solyc12g009790.2.1,520,797,535,467,295,537
Solyc03g116173.1.1,0,0,0,0,0,0
Solyc06g008210.4.1,105,151,63,159,60,103
Solyc07g009473.1.1,0,0,0,0,0,0
Solyc11g066650.3.1,129,179,117,112,44,80
Solyc01g090650.1.1,40,58,30,16,15,14
Solyc06g005930.3.1,0,0,0,0,0,0
Solyc03g005910.3.1,82,131,79,55,58,146
Solyc00g500284.1.1,0,0,0,0,0,0
Solyc07g039470.1.1,0,0,0,0,0,0
Solyc12g010540.1.1,1189,1260,994,613,659,1592
Solyc05g041113.1.1,0,0,0,0,0,0
Solyc01g099510.2.1,0,0,1,1,2,0
Solyc11g065890.2.1,194,257,210,354,290,342
Solyc06g066010.3.1,195,406,268,393,258,464
Solyc03g044205.1.1,0,0,0,0,0,0
Solyc02g078620.1.1,165,200,275,223,439,510
Solyc07g065230.1.1,230,249,232,294,186,243
Solyc10g038175.1.1,0,0,0,0,0,0
Solyc01g095450.4.1,30,55,52,111,77,89
Solyc10g055160.3.1,0,0,0,0,0,0
Solyc11g069490.3.1,1373,1412,1011,931,653,1017
Solyc03g121730.3.1,2917,2829,2454,1625,1303,2194
Solyc03g078490.4.1,636,597,528,1777,556,679
Solyc01g010067.1.1,0,0,0,0,0,0
Solyc02g086415.1.1,0,0,0,0,0,0
Solyc10g079750.2.1,343,519,391,345,234,297
Solyc03g013220.1.1,0,0,0,0,0,0
Solyc08g079110.4.1,5837,8573,6443,7242,10065,10398
Solyc07g008360.2.1,12,29,22,2,0,2
Solyc04g025070.1.1,0,0,0,0,0,0
Solyc02g080930.3.1,0,0,0,0,0,0
Solyc07g064250.3.1,2517,3574,2746,2537,2242,3007
Solyc04g025030.1.1,0,0,0,0,0,0
Solyc11g062350.2.1,1259,1911,1653,3205,3092,2876
Solyc02g079440.3.1,13,16,18,2,0,0
Solyc02g093140.4.1,2942,3497,2620,1468,1284,1518
Solyc06g030620.3.1,0,0,0,0,0,0
Solyc12g088240.2.1,4,0,0,4,0,0
Solyc10g079755.1.1,4035,3783,4151,4311,4876,7311
Solyc03g034080.4.1,1423,1641,1449,876,792,1338
Solyc03g095470.3.1,1221,1790,1340,1107,875,1288
Solyc08g061270.1.1,575,926,595,1881,1421,1520
Solyc04g064950.1.1,1,5,0,1,3,0
Solyc00g500347.1.1,0,0,0,0,0,0
Solyc05g055260.4.1,301,454,321,1259,396,720
Solyc05g023810.1.1,0,0,0,0,0,0
Solyc11g044820.1.1,0,0,0,0,0,0
Solyc07g009180.1.1,2,0,4,3,2,4
Solyc11g010370.1.1,583,606,594,628,631,595
Solyc11g042857.1.1,0,0,0,0,0,0
Solyc11g018700.3.1,0,2,5,2,3,0
Solyc09g074205.1.1,0,0,0,0,0,0
Solyc08g007910.4.1,107,124,87,130,84,149
Solyc01g094810.3.1,548,608,955,1487,1302,1892
Solyc05g054100.3.1,1717,2492,2294,3371,2412,3145
Solyc04g074870.3.1,1662,1975,2337,3118,3570,4125
Solyc10g049640.2.1,6,4,10,32,0,14
Solyc03g063060.3.1,1217,1605,1600,2812,2732,3195
Solyc05g056050.3.1,167913,212620,203107,172963,295776,247027
Solyc11g071400.1.1,4,11,12,19,11,11
Solyc04g064956.1.1,0,0,0,0,0,0
Solyc08g075020.3.1,1228,1500,1297,2607,2263,5088
Solyc02g068930.4.1,823,1263,964,1044,991,1355
Solyc06g071400.3.1,2,6,1,0,4,0
Solyc12g010960.2.1,97,254,192,257,558,299
Solyc07g021210.1.1,0,0,0,0,0,0
Solyc11g013780.1.1,0,0,0,0,0,0
Solyc09g011840.1.1,4935,5539,5025,6101,7023,7212
Solyc02g069300.1.1,6,2,2,34,4,10
Solyc03g113500.4.1,351,379,173,86,44,88
Solyc03g113090.3.1,126,241,156,228,63,136
Solyc02g070830.1.1,0,0,0,0,0,0
Solyc01g100480.3.1,901,1149,1234,2018,1733,1756
Solyc02g083310.3.1,4594,4910,5119,2950,4099,6485
Solyc01g066850.4.1,16,16,30,56,46,38
Solyc03g063505.1.1,0,0,0,0,0,0
Solyc05g056090.3.1,419,639,440,918,512,676
Solyc04g005610.3.1,245,137,303,1397,916,1658
Solyc05g007940.3.1,300,475,425,260,230,434
Solyc06g075590.4.1,1341,1621,1031,799,496,898
Solyc04g005910.3.1,60,111,94,124,68,150
Solyc08g077740.1.1,16,2,0,6,10,12
Solyc02g005200.4.1,7333,10775,8381,13212,11852,16085
Solyc05g006570.1.1,121,199,106,101,77,145
Solyc08g074680.3.1,0,0,0,0,0,0
Solyc12g017670.3.1,0,0,0,0,0,0
Solyc04g005330.3.1,2237,2503,1976,1325,883,1557
Solyc03g119070.2.1,12,17,4,4,2,8
Solyc01g073960.4.1,1559,1508,1266,643,523,794
Solyc06g060650.1.1,0,0,0,0,0,0
Solyc10g045150.1.1,0,0,0,0,0,0
Solyc08g007280.2.1,16,11,11,17,14,11
Solyc09g007320.4.1,913,983,529,346,202,292
Solyc04g051235.1.1,0,0,0,0,0,0
Solyc09g018620.1.1,0,0,0,0,0,0
Solyc10g086300.1.1,0,0,0,0,1,0
Solyc04g009600.3.1,18,22,10,12,2,6
Solyc12g009840.2.1,432,614,311,122,78,155
Solyc01g010700.3.1,475,655,450,700,283,493
Solyc02g089210.4.1,45,50,33,71,116,229
Solyc00g500325.1.1,0,0,0,0,0,0
Solyc09g056430.4.1,20,14,17,30,10,20
Solyc03g114900.3.1,28,12,34,14,14,23
Solyc04g053040.3.1,0,0,0,0,0,2
Solyc01g059870.4.1,1315,1862,944,1027,679,977
Solyc09g063140.4.1,2983,4138,3498,3935,4972,4903
Solyc10g055770.2.1,96,91,75,74,50,56
Solyc12g042870.1.1,0,0,0,0,0,0
Solyc12g006820.1.1,0,0,0,0,0,0
Solyc07g009060.4.1,0,0,2,47,0,0
Solyc01g103580.3.1,181,234,201,224,125,365
Solyc03g083485.1.1,0,0,0,0,0,0
Solyc01g107860.3.1,1085,1187,963,1686,462,724
Solyc02g032527.1.1,0,0,0,0,0,0
Solyc01g066120.3.1,0,0,0,0,0,0
Solyc05g015460.3.1,0,0,0,7,1,1
Solyc01g012700.4.1,0,0,0,0,0,0
Solyc01g090860.3.1,89,79,49,47,30,57
Solyc12g038970.3.1,361,461,298,321,186,352
Solyc04g072030.1.1,124,93,57,70,26,52
Solyc11g042620.3.1,3735,4666,5243,6928,8651,8105
Solyc01g094590.4.1,24,44,34,25,27,43
Solyc01g107050.3.1,0,0,0,0,0,0
Solyc12g011080.3.1,4,0,1,0,0,0
Solyc04g072020.3.1,2723,3275,3485,3581,5225,6778
Solyc09g098380.3.1,4,4,6,6,7,7
Solyc04g014450.1.1,2,12,6,0,0,0
Solyc03g063760.4.1,310,378,184,105,73,106
Solyc01g016930.1.1,0,0,0,0,0,0
Solyc06g010030.4.1,429,526,523,1173,952,1023
Solyc03g116470.2.1,23,34,25,45,60,36
Solyc12g008470.2.1,836,1334,1008,2368,1479,1692
Solyc03g013340.3.1,147,235,123,132,181,316
Solyc01g090300.2.1,0,6,5,2,2,2
Solyc08g065640.3.1,918,1182,1063,845,862,1093
Solyc10g007630.1.1,0,0,0,0,0,0
Solyc01g066440.3.1,310,512,385,435,509,652
Solyc02g071810.4.1,51,65,35,32,29,9
Solyc02g050190.2.1,0,0,0,0,0,0
Solyc03g122030.1.1,535,519,540,274,352,449
Solyc08g069232.1.1,642,825,820,1160,1028,1266
Solyc02g071770.3.1,8,20,16,24,8,10
Solyc09g059430.3.1,264,212,222,106,89,174
Solyc06g063290.3.1,953,1480,993,746,572,888
Solyc04g014640.2.1,0,2,0,0,0,1
Solyc01g110730.4.1,57,66,46,67,111,172
Solyc04g049990.2.1,0,0,0,0,0,0
Solyc04g081460.2.1,449,774,791,2154,1563,1403
Solyc01g089900.4.1,335,446,331,582,439,592
Solyc03g122000.4.1,13,28,10,42,36,30
Solyc03g082530.1.1,76,92,73,100,18,185
Solyc10g081700.3.1,16,23,30,63,42,56
Solyc03g058150.1.1,0,0,0,0,0,0
Solyc01g066480.3.1,1498,1969,1493,1840,1594,2219
Solyc12g038450.1.1,0,0,0,0,0,0
Solyc01g096140.3.1,2,0,0,6,0,2
Solyc05g016470.1.1,0,0,0,0,0,0
Solyc11g066680.1.1,1982,3088,2228,1560,1424,1786
Solyc01g010240.3.1,0,0,0,0,0,0
Solyc09g072990.3.1,13991,18197,9534,5876,4270,7436
Solyc11g008540.3.1,426,595,222,229,242,244
Solyc01g096760.3.1,437,540,436,578,296,534
Solyc12g042650.2.1,6222,9070,6878,11756,6891,9722
Solyc02g089880.4.1,307,438,230,252,158,271
Solyc11g008910.2.1,2468,3329,3489,5047,5981,6147
Solyc05g055930.2.1,0,0,0,0,0,0
Solyc05g050600.3.1,938,1262,776,752,417,595
Solyc09g066120.4.1,143,122,117,159,108,132
Solyc03g078640.1.1,1279,1715,914,1150,739,839
Solyc03g082500.4.1,1243,1612,1286,735,723,981
Solyc05g055530.4.1,247,344,220,58,67,109
Solyc03g031850.1.1,324,469,469,614,706,806
Solyc04g072725.1.1,11,2,0,6,2,2
Solyc11g065360.2.1,2,3,10,4,5,0
Solyc03g083520.4.1,1897,2543,2167,3087,2103,3305
Solyc01g014050.1.1,0,0,0,0,0,0
Solyc07g008260.3.1,769,996,923,1424,1480,1582
Solyc01g112010.3.1,49,68,74,89,131,101
Solyc04g054700.3.1,262,204,177,142,112,168
Solyc10g054040.3.1,3,4,0,0,3,0
Solyc10g075110.2.1,1196,1532,4391,24729,3641,3537
Solyc09g042780.2.1,30,28,44,87,54,60
Solyc01g044552.1.1,0,0,0,0,0,0
Solyc01g088330.1.1,0,0,0,0,0,4
Solyc08g077170.3.1,56,50,36,60,42,59
Solyc06g073370.4.1,7274,11469,8115,13699,7999,12132
Solyc02g085470.3.1,274,303,278,188,154,202
Solyc04g011615.1.1,1,1,1,1,1,8
Solyc04g080110.4.1,0,2,1,6,1,1
Solyc06g008710.3.1,5,6,1,6,0,2
Solyc06g082570.3.1,165,251,174,79,92,201
Solyc12g009860.3.1,1760,2678,2070,3127,2421,3199
Solyc11g065700.2.1,402,419,357,199,137,276
Solyc04g049120.4.1,514,602,315,641,335,578
Solyc03g098700.1.1,0,0,0,0,0,0
Solyc11g066590.2.1,961,1519,1552,4581,2043,1671
Solyc02g086540.3.1,0,0,0,0,0,0
Solyc04g074680.1.1,79,74,67,117,68,164
Solyc10g047370.2.1,296,327,264,292,195,307
Solyc01g111620.3.1,1208,1751,1205,897,793,1170
Solyc02g038820.1.1,6,8,2,7,2,2
Solyc09g010890.1.1,0,0,0,0,0,0
Solyc01g016380.4.1,0,4,0,0,2,0
Solyc02g091450.2.1,2,7,0,2,2,2
Solyc08g062910.4.1,6513,7774,5338,3497,2025,2994
Solyc02g082060.2.1,1573,1519,2917,4452,4621,6506
Solyc04g008580.3.1,866,996,1214,1128,958,1463
Solyc00g500283.1.1,0,0,0,0,0,0
Solyc09g059260.4.1,3,5,8,6,8,8
Solyc05g008400.4.1,1601,2174,1942,2740,3409,3864
Solyc01g098620.2.1,56,109,78,68,166,140
Solyc04g077840.2.1,89,81,68,205,238,216
Solyc11g019965.1.1,0,0,0,0,0,0
Solyc11g045215.1.1,37,63,18,0,2,2
Solyc12g055850.2.1,580,777,669,752,798,1201
Solyc06g068210.3.1,156,165,96,159,65,145
Solyc01g014170.1.1,0,0,0,0,0,0
Solyc12g014590.3.1,20,35,17,8,14,14
Solyc01g008240.4.1,0,0,0,0,0,0
Solyc11g069440.1.1,3806,5461,4909,9163,6444,7368
Solyc09g014210.3.1,24,41,6,0,4,4
Solyc10g086640.3.1,127,233,115,175,277,274
Solyc04g024650.3.1,0,0,0,0,0,0
Solyc01g066060.4.1,227,439,306,329,279,352
Solyc09g065320.3.1,3,12,6,3,6,9
Solyc04g045280.2.1,0,0,0,0,0,0
Solyc11g069790.2.1,23360,33858,12830,4252,2053,4951
Solyc03g078720.4.1,101,100,75,13,19,36
Solyc07g005220.1.1,18,15,9,6,15,3
Solyc00g500321.1.1,0,0,0,0,0,0
Solyc01g080920.3.1,10,2,6,0,0,0
Solyc09g064260.1.1,0,0,0,0,0,0
Solyc10g075090.3.1,0,0,0,0,0,0
Solyc11g018500.3.1,60,117,51,21,22,30
Solyc06g072740.1.1,249,338,257,288,244,294
Solyc03g019670.3.1,1283,2052,1403,1406,1620,1961
Solyc10g044443.1.1,0,0,0,0,0,0
Solyc03g034120.3.1,4,2,0,8,0,13
Solyc02g088630.4.1,744,1213,711,318,212,281
Solyc12g035650.2.1,564,636,421,275,117,225
Solyc06g048840.3.1,2,0,4,0,0,2
Solyc02g064775.1.1,0,0,0,2,0,0
Solyc03g093250.2.1,6,13,3,0,0,0
Solyc05g007280.3.1,2,6,2,22,4,2
Solyc11g006730.1.1,47,29,32,12,16,26
Solyc08g083270.3.1,31,52,44,56,26,32
Solyc04g077110.3.1,7,1,4,13,8,14
Solyc02g071830.3.1,63,87,70,134,164,112
Solyc05g016670.1.1,0,0,0,0,0,0
Solyc11g072290.3.1,322,473,344,322,201,354
Solyc07g045525.1.1,0,0,0,0,0,0
Solyc11g071810.2.1,361,537,483,1259,840,875
Solyc09g060080.4.1,125,140,101,106,50,66
Solyc06g061040.4.1,72,30,26,36,62,37
Solyc12g062447.1.1,0,0,0,0,0,1
Solyc05g053890.3.1,295,455,318,362,317,410
Solyc09g056200.3.1,170,214,227,399,301,373
Solyc11g030920.1.1,0,0,0,0,0,0
Solyc03g111950.3.1,88,204,113,114,142,167
Solyc10g055310.1.1,0,0,0,0,0,0
Solyc06g082160.4.1,412,417,507,459,365,461
Solyc01g089920.3.1,5,0,0,6,3,8
Solyc01g111160.3.1,13513,10593,8478,543,1037,1314
Solyc10g052714.1.1,0,0,2,0,0,0
Solyc08g082300.3.1,145,140,96,16,14,21
Solyc11g013260.3.1,1448,2040,1552,1465,864,1348
Solyc08g065910.1.1,6,2,9,8,9,27
Solyc09g055460.3.1,0,0,0,0,0,0
Solyc04g025240.2.1,0,0,0,0,0,0
Solyc06g071880.4.1,4659,7849,5092,9062,4805,7500
Solyc01g007950.4.1,122,248,138,209,103,163
Solyc12g017520.1.1,0,3,2,4,0,3
Solyc05g051940.3.1,0,0,0,0,0,0
Solyc11g069680.1.1,8,6,7,8,0,15
Solyc09g005400.3.1,0,0,0,2,0,0
Solyc05g150139.1.1,0,0,0,0,0,0
Solyc03g098220.4.1,4071,4712,4826,3700,4561,5481
Solyc09g065340.3.1,120,149,100,234,111,155
Solyc02g079100.3.1,1088,1170,1301,1190,886,1418
Solyc07g039450.3.1,752,1090,860,792,658,1101
Solyc03g083470.3.1,153,108,84,53,39,106
Solyc07g053470.4.1,662,736,368,225,58,156
Solyc10g079210.2.1,11,22,14,37,9,12
Solyc01g100620.3.1,0,0,0,0,0,0
Solyc01g094790.3.1,3738,4582,4495,3683,3710,6252
Solyc12g100363.1.1,0,0,0,0,0,0
Solyc06g064450.3.1,2659,3133,3274,4358,4999,4861
Solyc04g064730.2.1,0,0,0,0,0,0
Solyc06g083580.4.1,2995,3800,2216,992,1154,1938
Solyc08g081890.4.1,22,56,16,37,32,58
Solyc05g055190.1.1,2,0,0,0,3,2
Solyc01g005710.2.1,7,15,20,4,5,0
Solyc05g041280.1.1,0,0,0,0,0,0
Solyc04g047880.1.1,0,0,0,0,0,0
Solyc04g081530.1.1,1070,935,1421,2609,4739,7712
Solyc11g068520.3.1,1965,2466,1954,912,1332,1555
Solyc08g079630.3.1,444,597,545,899,746,897
Solyc03g083100.3.1,3586,4084,2931,952,967,1501
Solyc03g034440.2.1,1180,1297,862,982,554,919
Solyc09g005120.3.1,70,91,53,106,75,136
