GeneID,GSM4462441,GSM4462442,GSM4462443,GSM4462444,GSM4462445,GSM4462446,GSM4462447,GSM4462448,GSM4462449
100037489,66.21,64.66,56.58,42.1,63.09,67.12,181.9,125.38,127.52
100037490,23.71,26.85,28.06,42.15,28.1,35.3,18.09,17.87,19.13
100037491,11.25,6.21,11.3,28.69,13.41,21.47,2.75,3.97,7.3
100037492,48.89,39.11,45.42,36.32,26.31,28.96,44.81,44.22,46.96
100037494,240.81,219.69,240.28,68.04,40.29,45.61,21.76,34.49,22.98
100037495,40.66,53.56,41.48,36.87,45.67,41.17,27.01,26.41,28.84
100037496,0,0,0,0.17,0.03,0.1,0.11,0.07,0.07
100037497,23.09,23.62,21.93,39.52,61.84,65.04,14.15,16.22,13.08
100037498,116.77,68.42,108.27,136.07,49.79,85.23,22.25,32.62,36.45
100037499,58.89,47.46,52.6,86.02,67.32,74.91,101.13,98.83,98.4
100037501,34.83,35.05,32.82,11.12,13.88,11.71,54.36,60.74,48.38
100037502,56.88,53.42,56.83,30.62,37.8,34.02,9.37,12.23,7.76
100037503,1.97,1.39,1.29,0.81,0.98,1.27,0.21,0.26,0.13
100037504,15.55,13,14.61,14.2,15.6,16.19,18.56,20.65,22.75
100037505,2.5,3,5.09,2.51,0.43,1.43,0.24,0.38,0.93
100037506,41.93,62.3,41.44,31.53,48.82,47.01,234.29,201.28,225.18
100037507,0.14,0,0.14,0.03,0,0,0,0,0
100037508,2.63,4.28,2.97,1.09,0.64,0.91,0,0.36,0.09
100037509,43.85,42.17,57.68,69.62,72.25,72.32,33.7,30.69,44.03
100037510,48.95,36.66,45.7,32.55,29.54,29.81,68.14,51.68,83.47
100037511,15.23,18.67,14.2,2.89,2.13,2.21,6.41,5.56,4.43
100037512,1.47,1.31,1.36,3.18,4.64,3.75,2.42,3.51,2.07
100037513,1.31,2.9,1.15,0.97,0.76,0.72,0.52,1.28,0.72
100037514,0,0.02,0,0.02,0,0.02,0.02,0,0
100037515,62.85,58.56,59.85,272.21,457.79,396.82,873.57,846.75,633.78
100037516,13.97,16.12,15.3,30.4,51.8,43.79,20.15,24.56,17.86
100037517,4.42,7.68,5.18,3.84,4.46,3.39,5.17,6.68,3.28
100037726,6.23,7.12,7.56,5.05,4.88,4.9,16.29,13.08,15.87
100037727,38.26,37.2,40.73,22.58,19.21,23.24,29.73,30.62,32.96
100037728,0.22,0.57,0.4,0.5,0.66,0.53,6.53,6.39,6.69
100037730,175.7,136.37,182.96,133.14,92.99,91.29,93.79,99.95,87.67
100037731,17.99,12.05,17.01,74.14,53.2,60.21,16.56,27.57,36.21
100037732,18.12,22.34,15.97,18.85,21.96,25.51,46.86,42.13,39.57
100037733,88.14,66.94,87.23,10.79,6.81,9.58,52.22,57.8,70.84
100037735,22.2,28.69,17.39,3.38,6.37,4.14,26.63,24.48,18.18
100037736,0,0.28,0.37,0.64,0.09,0.06,2.45,2.15,1.98
100037737,282.77,187.37,286.56,140.6,47.36,71.51,78.22,102.6,118.26
100125891,601.65,464.27,551.45,415.35,355.64,399.68,83.21,115.6,122.8
100125904,8.23,19.18,10.14,10.72,4.51,8.84,6.93,14.69,10.55
100125906,4.62,6.06,3.58,911.9,687.11,693.46,96.89,398.45,243.92
100125909,1359.31,843.15,1292.43,461.76,354.44,482.16,156.62,145.71,226.07
100125910,3.24,2.87,2.98,1.07,2.64,3.01,5.69,5.2,4.48
100125911,24.84,20.45,23.85,13.21,7.98,9.94,21.45,22.24,23.98
100134872,0.74,1.54,1.09,1.96,1.5,0.92,7.38,10.07,7.52
100134875,166.79,184.07,191.98,76.63,52.23,59.8,99.12,127.11,103.46
100134876,30.45,23.63,28.22,24.48,18.2,20.82,35.52,37.31,39.6
100134877,257.16,205.79,248.3,132.78,112,113.15,76.63,94.4,95.81
100134879,177.25,143.76,163.61,105.12,85.86,96.07,79.11,91.24,100.03
100134880,319.3,444.84,331.07,1273.67,1289.1,1391.46,1042.8,957.98,966.63
100134881,50.35,32.85,46.04,32.27,66.69,50.65,13.7,17.35,5.32
100134882,40.44,36.22,37.83,20.61,18.7,21.84,39.83,40.62,41.79
100134883,674.38,594.53,602.1,312.1,500.92,475.17,31,42.88,46
100134884,3.17,4.56,3.39,2.66,1.9,1.95,2.53,3.09,2.23
100134885,43.79,32.49,41.22,29.37,24.8,25.97,37.17,36.83,37.18
100134886,123.43,157.05,102.77,51.73,56.34,48.41,330.48,245.95,225.13
100134887,31.71,28.99,28.84,21.29,22.73,21.75,27.35,27.12,28.86
100134888,5.2,8.54,5.69,127.21,215.01,156.33,21.69,31.9,13.48
100134889,0.26,0.38,0.21,6.19,4.28,4.75,5.26,9.82,7.06
100134890,0,0.19,0.09,13.65,9.7,11.52,2.83,3.2,4.36
100134891,25.22,22.3,24.12,3.06,3.19,3.2,10.32,11.08,12.97
100134892,4.92,8.21,5.01,4.63,6.23,5.5,7.37,7.9,7.05
100134893,112.4,165.83,117.19,109.3,133.57,121.34,107.48,105.94,113.13
100134894,44.02,39.35,56.53,106.22,135.57,143.17,28.56,24.16,33.19
100134896,31.45,52.51,31.13,15.57,15.49,14.54,63.42,50.22,64.61
100134897,43.93,32.47,39.15,82.89,117.36,85.91,17.15,20.01,25.29
100134900,6.07,9.68,5.99,12.1,8.56,12.2,12.81,14.38,18.28
100134901,19.67,25.97,22.01,13.14,11.85,10.82,21.82,17.48,22.03
100134902,46.6,53.22,44.66,58.82,70.92,70.32,237.11,213.61,327.28
100134903,17.29,17.4,12.17,7.2,9.1,8.38,28.8,20.27,23.5
100134904,5.14,4.66,2.91,3.47,3.2,4.22,4.86,9.37,9.61
100134905,7.76,11.4,6.69,14.18,18.74,22.63,42.05,39.34,42.86
100134906,0,0,0,0,0,0,0.52,0.2,0
100134907,0.19,0.76,0.32,0.13,0.04,0.04,0,0,0
100134908,22.46,26.53,24.68,32.54,15.89,18.38,11.55,14.93,13.83
100134910,19.12,18.72,17.67,19.43,18.43,20.49,4.75,6.25,6
100134911,22.24,18.7,13.53,748.84,1058.39,940.33,33.34,43.04,37.17
100134913,13.87,12.57,13.13,1.97,0.97,0.92,4.31,3.72,4.13
100134914,5.12,3.38,3.69,1.31,0.78,1.11,8.98,8.65,8.24
100134915,2.91,8.55,3.1,4.36,1.51,1.71,1.8,2.27,1.16
100135703,10.84,19,10.06,26.82,27.05,27.74,293.48,250.94,284.04
100135704,14.56,13.26,13.13,11.4,7.03,8.86,18.22,21.79,21.63
100136876,12.23,12.41,11.9,2.61,3.18,2.38,6.1,5.75,6.44
100136877,22.77,18.62,22.63,7.77,6.08,7.1,26.35,24.48,30.87
100136886,6.73,7.87,5.6,110.31,121.95,116.17,103.67,106.66,101.24
100136887,6.53,13.55,9.02,13.31,7.37,12.38,11.84,10.71,8.41
100147714,28.32,23.41,27.6,13.21,12.17,13.16,21.68,20.86,23.22
100147715,5.82,6.38,5.68,23.37,19.58,18.4,8.71,9.74,6.76
100147716,1.56,2.27,2.36,0.05,0.03,0,0.05,0.13,0.14
100147717,246.94,880.88,300.02,305.69,9.85,41.04,29.32,48.08,33.28
100147719,255.91,215.33,249.35,83.1,165.27,142.59,11.13,12.23,20.31
100147720,127.76,133.24,115.03,110.54,145.62,128.49,308.3,280.57,367.52
100147721,0.08,0.46,0.33,0.16,0.08,0.88,0.11,0.37,0.27
100147722,223.6,121.29,204.29,310.99,358.64,338.98,432.36,401.8,373.34
100147723,1.71,5.32,2.67,6.04,7.38,6.77,0.75,0.94,0.71
100147724,49.15,71.1,47.72,52.75,39.52,42.4,55.55,59.24,48.61
100147725,21.5,25.89,24.02,17.23,10.12,10.36,7.19,11.21,8.2
100147726,40.22,42.21,40,54.86,51.14,48.71,39.08,44.05,44.54
100147727,0.16,114.81,0.16,26.8,85.14,41.29,1218.83,548.26,1293.19
100147728,56.7,41.73,54.8,38.26,23.38,27.76,38.02,44.08,46.33
100191110,644.48,576.23,633.6,347.11,257.62,289.24,126.5,129.39,131.27
100191111,71.97,137.45,117.97,41.08,35.19,57.12,81.16,149.14,598.32
100191112,0.04,0.04,0.08,0,0.24,0.04,0,0,0
100191113,34.32,36.77,36.82,30.66,23.43,25.31,38.09,37.38,41.49
100191114,196.18,173.9,162.56,305.81,249.25,277.42,155.28,188.35,181.1
100191115,0.23,0.47,0.38,0.15,0.15,0.15,0,0.07,0
100191116,50.14,47.62,46.02,37.57,31.92,32.81,42.29,43.12,46.83
100191117,25.32,25.3,23.07,12.27,11.73,11.47,8.32,9.36,9.69
100191118,12.62,22.22,14.59,3.87,3.02,3.17,9.14,9.17,13.41
100191119,5.65,4.55,4.94,3.39,3.28,2.7,6.75,7.65,7.92
100191121,3.01,4.16,4.22,0.89,1.13,1.84,20.2,19.13,22.44
100191123,1.16,4.72,1.3,10.34,24.95,13.61,5.93,7.32,4.43
100191124,0.52,1.87,1.25,2.71,2.75,3.37,6.92,5.69,3.9
100191125,31.93,30.25,31.5,25.74,17.47,19.85,32.99,32.49,33.1
100191126,40.1,33.78,35.26,115.46,63.21,87.41,73.46,87.63,80.34
100191127,182.37,173.27,178.52,215.39,114.65,135.02,39.37,45.31,44.77
100191128,55.43,88.61,58.44,368.87,388.31,333.58,214.64,239.49,143.85
100191129,0,0.04,0,0.27,0.07,0,0,0.03,0
100191131,20.07,17.39,20.51,6.33,4.37,6,6.27,6.48,6.74
100191133,2.2,2,2.84,3.68,1.82,2.04,6.52,6,11.04
100191134,1.89,2.02,1.09,2.46,3.68,2.97,3.98,4.32,3.3
100191135,21.81,24.3,22.83,13.28,13.08,13.75,13.75,13.9,17.02
100191136,4.44,10.63,7.8,6.65,8.39,6.64,15.18,11.33,9.62
100191137,8.61,6.87,11.95,143.15,172.94,162.29,44.03,44.3,49.89
100191138,1.79,4.56,1.87,4.49,4.85,3.99,20.58,15.27,18.36
100240705,0,0.12,0,0.11,0,0,0,0,0
100271699,0,0,0,0,0.05,0,0,0.05,0
100271890,11.39,25.59,11.66,27.68,41.84,31.39,41.39,46.83,36.48
100301908,610.54,480.12,562.27,833.47,993.88,962.2,345.3,307.1,363.99
100301918,61.64,62.63,55.3,208.9,242.65,213.02,16.88,16.87,20.1
100301919,1.28,1.56,1.17,6.2,5.07,5.49,0.93,1.46,1.32
100301920,9.92,12.58,10.52,33.8,43.2,33.42,14.07,15.38,15.87
100301921,113.3,79.5,109.54,32.38,30.76,28.38,159.22,150.82,128.29
100301922,1.12,3.31,1.19,77.17,117.05,102.21,63.95,72.2,49.11
100301923,5.92,7.22,8.26,2.26,1.02,1.97,1.37,2.07,1.55
100301924,7.19,10.41,10.52,1.09,0.4,0.66,10.9,12.54,14.91
100301925,0.06,0.03,0.06,0,0,0,0.03,0.03,0
100301926,162.05,145.57,139.02,513.28,609.43,521.18,544.91,603.15,651.68
100301927,74.47,62.96,52.23,585.61,694,620.77,26.46,28.34,24.13
100301928,1294.87,899,1185.04,310.2,418.33,412.81,22.07,18.7,18.86
100301929,58.87,63.79,60.4,55.33,50.37,53.88,40.65,52.93,47.05
