GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc11g073250.2.1,3199.125924,4270.436601,4134.045659,8957.899076,5772.628083
Solyc11g045140.1.1,0,1.007891575,3.833736314,4.836878551,0
Solyc12g019560.1.1,58.71152798,67.52873549,47.28274787,21.76595348,44.53015078
Solyc06g084480.3.1,1840.932577,1611.618628,1170.567488,874.265798,896.0335218
Solyc05g054170.4.1,129.1653615,146.1442783,72.84098997,3.627658913,6.516607431
Solyc01g100840.3.1,575.3729742,664.2005476,682.4050639,1224.939493,1023.107367
Solyc04g007700.3.1,215.2756026,246.9334358,299.0314325,413.5531161,503.9509747
Solyc12g088410.3.1,13.04700622,27.21307251,23.00241788,51.99644442,80.37149165
Solyc09g055260.4.1,473.6063257,525.1115103,314.3663777,418.3899946,250.8893861
Solyc08g150100.1.1,5.218802487,0,7.667472628,0,0
Solyc09g090640.3.1,1032.018192,948.4259716,848.5336375,788.4112037,741.8071459
Solyc06g009400.3.1,3163.899008,3407.681414,3571.764333,4021.864515,2919.440129
Solyc09g083360.3.1,44.35982114,138.0811457,460.0483577,78.59927645,42.3579483
Solyc05g050580.3.1,485.3486313,665.2084392,656.8468218,696.5105113,659.2634518
Solyc07g041010.3.1,665.3973171,494.8747631,1036.386717,1500.64157,1118.684276
Solyc11g006110.1.1,5.218802487,2.015783149,2.555824209,6.046098188,0
Solyc07g053240.3.1,5.218802487,6.047349447,11.50120894,9.673757101,17.37761982
Solyc05g046200.3.1,2.609401243,32.25253039,11.50120894,7.255317826,4.344404954
Solyc08g008490.4.1,700.6242338,650.0900656,622.343195,370.0212091,294.3334356
Solyc01g094980.1.1,0,0,0,2.418439275,2.172202477
Solyc06g005390.1.1,69.14913295,100.7891575,67.72934155,215.2410955,116.2128325
Solyc11g013470.1.1,150.0405715,143.1206036,192.9647278,96.73757101,125.9877437
Solyc06g063330.3.1,456.6452176,414.2434371,368.0386861,180.173726,258.4920948
Solyc06g007310.4.1,713.6712401,817.400067,771.8589112,834.36155,947.08028
Solyc03g058930.4.1,56.10212673,62.48927762,46.00483577,148.7340154,187.8955143
Solyc05g053370.3.1,134.384164,154.2074109,201.9101125,240.6347079,173.7761982
Solyc06g053760.3.1,82.19613917,93.73391643,56.2281326,78.59927645,23.89422725
Solyc12g014500.3.1,43.05512052,79.62343439,54.9502205,94.31913174,36.92744211
Solyc01g081010.4.1,788.0391755,637.9953667,426.822643,557.4502529,474.6262412
Solyc04g016520.3.1,1466.483499,1626.737001,1591.00057,2007.304598,1698.662337
Solyc12g042120.3.1,45.66452176,30.23674724,44.72692366,27.81205167,53.21896069
Solyc11g006660.3.1,1683.063802,1549.12935,1454.263975,1129.411142,1042.657189
Solyc10g008270.3.1,2159.279529,2128.667005,2663.168826,937.1452192,1389.123484
Solyc05g026130.3.1,1367.326252,1639.839592,1674.064857,2977.098748,2564.285024
Solyc03g006720.1.1,13.04700622,2.015783149,2.555824209,0,0
Solyc05g050960.4.1,37.83631803,52.41036188,39.61527524,83.436155,93.40470651
Solyc10g080770.3.1,1546.070237,1145.97272,1431.261557,740.0424182,925.3582552
Solyc11g011050.2.1,301.3858436,192.5072907,178.9076947,140.269478,137.9348573
Solyc01g067530.3.1,2092.739797,1833.354774,1230.629357,777.528227,613.6471998
Solyc12g150117.1.1,0,0,0,4.836878551,0
Solyc12g009790.2.1,678.4443233,803.2895849,683.682976,564.7055708,583.2363651
Solyc06g008210.4.1,136.9935653,152.1916278,80.50846259,192.2659224,111.8684276
Solyc11g066650.3.1,168.3063802,180.4125918,149.5157162,135.4325994,86.88809908
Solyc01g090650.1.1,52.18802487,58.45771132,38.33736314,19.3475142,15.20541734
Solyc03g005910.3.1,106.985451,132.0337963,100.9550563,66.50708007,158.5707808
Solyc12g010540.1.1,1551.289039,1269.943384,1270.244632,741.2516379,1729.073172
Solyc11g065890.2.1,253.1119206,259.0281347,268.361542,428.0637517,371.4466236
Solyc06g066010.3.1,254.4166212,409.2039793,342.480444,475.2233176,503.9509747
Solyc02g078620.1.1,215.2756026,201.5783149,351.4258288,269.6559792,553.9116316
Solyc07g065230.1.1,300.081143,250.9650021,296.4756083,355.5105735,263.922601
Solyc01g095450.4.1,39.14101865,55.4340366,66.45142944,134.2233798,96.66301023
Solyc11g069490.3.1,1791.353954,1423.142903,1291.969138,1125.783483,1104.56496
Solyc03g121730.3.1,3805.811713,2851.325264,3135.996305,1964.981911,2382.906117
Solyc03g078490.4.1,829.7895954,601.71127,674.7375913,2148.783296,737.4627409
Solyc10g079750.2.1,447.5123132,523.0957272,499.6636329,417.180775,322.5720678
Solyc08g079110.4.1,7615.537529,8640.654469,8233.58769,8757.168616,11293.28068
Solyc07g008360.2.1,15.65640746,29.22885566,28.1140663,2.418439275,2.172202477
Solyc07g064250.3.1,3283.931465,3602.204487,3509.146639,3067.790221,3265.906424
Solyc11g062350.2.1,1642.618083,1926.080799,2112.388709,3875.548939,3123.627162
Solyc02g079440.3.1,16.96110808,16.12626519,23.00241788,2.418439275,0
Solyc02g093140.4.1,3838.429229,3524.596836,3348.129714,1775.134428,1648.70168
Solyc12g088240.2.1,5.218802487,0,0,4.836878551,0
Solyc10g079755.1.1,5264.467008,3812.853826,5304.613146,5212.945858,7940.486155
Solyc03g034080.4.1,1856.588985,1653.950074,1851.69464,1059.276403,1453.203457
Solyc03g095470.3.1,1593.039459,1804.125918,1712.40222,1338.606139,1398.898395
Solyc08g061270.1.1,750.2028575,933.307598,760.3577023,2274.542138,1650.873883
Solyc04g064950.1.1,1.304700622,5.039457873,0,1.209219638,0
Solyc05g055260.4.1,392.7148871,457.5827748,410.2097856,1522.407524,781.9928917
Solyc07g009180.1.1,2.609401243,0,5.111648419,3.627658913,4.344404954
Solyc11g010370.1.1,760.6404624,610.7822942,759.0797902,759.3899324,646.2302369
Solyc11g018700.3.1,0,2.015783149,6.389560523,2.418439275,0
Solyc08g007910.4.1,139.6029665,124.9785552,111.1783531,157.1985529,161.8290845
Solyc01g094810.3.1,714.9759407,612.7980773,1220.40606,1798.109601,2054.903543
Solyc05g054100.3.1,2240.170967,2511.665804,2931.530368,4076.279398,3415.788395
Solyc04g074870.3.1,2168.412433,1990.58586,2986.480589,3770.34683,4480.167609
Solyc10g049640.2.1,7.82820373,4.031566298,12.77912105,38.6950284,15.20541734
Solyc03g063060.3.1,1587.820657,1617.665977,2044.659367,3400.325621,3470.093457
Solyc05g056050.3.1,219076.1955,214297.9066,259552.8938,209150.2562,268296.3306
Solyc11g071400.1.1,5.218802487,11.08680732,15.33494526,22.97517312,11.94711362
Solyc08g075020.3.1,1602.172363,1511.837362,1657.452,3152.435595,5526.083102
Solyc02g068930.4.1,1073.768612,1272.967059,1231.907269,1262.425302,1471.667178
Solyc06g071400.3.1,2.609401243,6.047349447,1.277912105,0,0
Solyc12g010960.2.1,126.5559603,256.0044599,245.3591241,310.7694469,324.7442703
Solyc09g011840.1.1,6438.697568,5582.711431,6421.508326,7377.449009,7832.962132
Solyc02g069300.1.1,7.82820373,2.015783149,2.555824209,41.11346768,10.86101239
Solyc03g113500.4.1,457.9499182,381.9909067,221.0787941,103.9928888,95.57690899
Solyc03g113090.3.1,164.3922783,242.9018695,199.3542883,275.7020774,147.7097684
Solyc01g100480.3.1,1175.53526,1158.067419,1576.943537,2440.205229,1907.193775
Solyc02g083310.3.1,5993.794656,4948.747631,6541.632064,3567.197931,7043.366532
Solyc01g066850.4.1,20.87520995,16.12626519,38.33736314,67.71629971,41.27184706
Solyc05g056090.3.1,546.6695605,644.0427161,562.281326,1110.063627,734.2044372
Solyc04g005610.3.1,319.6516523,138.0811457,387.2073677,1689.279834,1800.755853
Solyc05g007940.3.1,391.4101865,478.7484979,543.1126445,314.3971058,471.3679375
Solyc06g075590.4.1,1749.603534,1633.792242,1317.52738,966.1664905,975.3189122
Solyc04g005910.3.1,78.2820373,111.8759648,120.1237378,149.9432351,162.9151858
Solyc08g077740.1.1,20.87520995,2.015783149,0,7.255317826,13.03321486
Solyc02g005200.4.1,9567.369659,10860.03172,10710.18135,15976.20985,17469.93842
Solyc05g006570.1.1,157.8687752,200.5704233,135.4586831,122.1311834,157.4846796
Solyc04g005330.3.1,2918.615291,2522.752611,2525.154319,1602.21602,1691.059628
Solyc03g119070.2.1,15.65640746,17.13415677,5.111648419,4.836878551,8.688809908
Solyc01g073960.4.1,2034.028269,1519.900494,1617.836724,777.528227,862.3643834
Solyc08g007280.2.1,20.87520995,11.08680732,14.05703315,20.55673384,11.94711362
Solyc09g007320.4.1,1191.191668,990.7574178,676.0155034,418.3899946,317.1415616
Solyc04g009600.3.1,23.48461119,22.17361464,12.77912105,14.51063565,6.516607431
Solyc12g009840.2.1,563.6306686,618.8454268,397.4306645,147.5247958,168.345692
Solyc01g010700.3.1,619.7327953,660.1689813,575.0604471,846.4537463,535.4479106
Solyc02g089210.4.1,58.71152798,50.39457873,42.17109945,85.85459427,248.7171836
Solyc09g056430.4.1,26.09401243,14.11048204,21.72450578,36.27658913,21.72202477
Solyc03g114900.3.1,36.53161741,12.09469889,43.44901156,16.92907493,24.98032849
Solyc01g059870.4.1,1715.681318,1876.694112,1206.349027,1241.868568,1061.12091
Solyc09g063140.4.1,3891.921954,4170.655335,4470.136542,4758.279274,5325.154372
Solyc10g055770.2.1,125.2512597,91.71813328,95.84340785,89.48225318,60.82166936
Solyc07g009060.4.1,0,0,2.555824209,56.83332297,0
Solyc01g103580.3.1,236.1508125,235.8466284,256.860333,270.8651988,396.4269521
Solyc01g107860.3.1,1415.600175,1196.367299,1230.629357,2038.744309,786.3372967
Solyc05g015460.3.1,0,0,0,8.464537463,1.086101239
Solyc01g090860.3.1,116.1183553,79.62343439,62.61769313,56.83332297,61.90777059
Solyc12g038970.3.1,470.9969244,464.6380159,380.8178072,388.1595037,382.307636
Solyc04g072030.1.1,161.7828771,93.73391643,72.84098997,84.64537463,56.4772644
Solyc11g042620.3.1,4873.056822,4702.822087,6700.093165,8377.47365,8802.850538
Solyc01g094590.4.1,31.31281492,44.34722928,43.44901156,30.23049094,46.70235326
Solyc12g011080.3.1,5.218802487,0,1.277912105,0,0
Solyc04g072020.3.1,3552.699793,3300.844907,4453.523685,4330.215522,7361.594195
Solyc09g098380.3.1,5.218802487,4.031566298,7.667472628,7.255317826,7.60270867
Solyc04g014450.1.1,2.609401243,12.09469889,7.667472628,0,0
Solyc03g063760.4.1,404.4571927,380.9830152,235.1358273,126.968062,115.1267313
Solyc06g010030.4.1,559.7165667,530.1509682,668.3480307,1418.414635,1111.081567
Solyc03g116470.2.1,30.0081143,34.26831353,31.94780262,54.41488369,39.09964459
Solyc12g008470.2.1,1090.72972,1344.52736,1288.135401,2863.432102,1837.683296
Solyc03g013340.3.1,191.7909914,236.85452,157.1831889,159.6169922,343.2079914
Solyc01g090300.2.1,0,6.047349447,6.389560523,2.418439275,2.172202477
Solyc08g065640.3.1,1197.715171,1191.327841,1358.420567,1021.790594,1187.108654
Solyc01g066440.3.1,404.4571927,516.0404862,491.9961603,526.0105424,708.1380075
Solyc02g071810.4.1,66.53973171,65.51295234,44.72692366,38.6950284,9.774911147
Solyc03g122030.1.1,698.0148326,523.0957272,690.0725365,331.3261807,487.6594561
Solyc08g069232.1.1,837.6177991,831.510549,1047.887926,1402.69478,1375.004168
Solyc02g071770.3.1,10.43760497,20.15783149,20.44659367,29.0212713,10.86101239
Solyc09g059430.3.1,344.4409641,213.6730138,283.6964872,128.1772816,188.9816155
Solyc06g063290.3.1,1243.379692,1491.67953,1268.96672,902.0778497,964.4578998
Solyc04g014640.2.1,0,2.015783149,0,0,1.086101239
Solyc01g110730.4.1,74.36793544,66.52084392,58.78395681,81.01771572,186.809413
Solyc04g081460.2.1,585.8105791,780.1080787,1010.828475,2604.659099,1523.800038
Solyc01g089900.4.1,437.0747083,449.5196422,422.9889066,703.7658291,642.9719332
Solyc03g122000.4.1,16.96110808,28.22096409,12.77912105,50.78722478,32.58303716
Solyc03g082530.1.1,99.15724725,92.72602486,93.28758364,120.9219638,200.9287291
Solyc10g081700.3.1,20.87520995,23.18150621,38.33736314,76.18083717,60.82166936
Solyc01g066480.3.1,1954.441531,1984.53851,1907.922772,2224.964133,2410.058648
Solyc12g038450.1.1,0,0,0,0,0
Solyc01g096140.3.1,2.609401243,0,0,7.255317826,2.172202477
Solyc11g066680.1.1,2585.916632,3112.369182,2847.188169,1886.382635,1939.776812
Solyc09g072990.3.1,18254.0664,18340.60298,12183.61401,7105.374591,8076.24881
Solyc11g008540.3.1,555.8024648,599.6954868,283.6964872,276.911297,265.0087022
Solyc01g096760.3.1,570.1541717,544.2614503,557.1696776,698.9289506,579.9780614
Solyc12g042650.2.1,8117.847268,9141.576581,8789.479456,14215.58606,10559.07624
Solyc02g089880.4.1,400.5430909,441.4565096,293.9197841,304.7233487,294.3334356
Solyc11g008910.2.1,3220.001134,3355.271052,4458.635333,6102.931511,6676.264313
Solyc05g055930.2.1,0,0,0,0,0
Solyc05g050600.3.1,1223.809183,1271.959167,991.6597932,909.3331675,646.2302369
Solyc09g066120.4.1,186.5721889,122.9627721,149.5157162,192.2659224,143.3653635
Solyc03g078640.1.1,1668.712095,1728.53405,1168.011664,1390.602583,911.2389391
Solyc03g082500.4.1,1621.742873,1624.721218,1643.394967,888.7764337,1065.465315
