From,To,Species,Gene Name,,,,,,,,,Gene stable ID,Transcript stable ID,,,,Elements only in List 2 :
101268490,Solyc08g061778.1,Solanum lycopersicum,uncharacterized LOC101268490(LOC101268490),,,,,,,,,Solyc01g009070.3,Solyc01g009070.3.1,,,,none
101267163,Solyc09g097910.3,Solanum lycopersicum,30S ribosomal protein S1(LOC101267163),,,,,,,,,Solyc02g036350.3,Solyc02g036350.3.1,,,,
101255179,Solyc03g083400.3,Solanum lycopersicum,zinc finger protein CO3(LOC101255179),,,,,,,,,Solyc06g054010.3,Solyc06g054010.3.1,,,,
101250723,Solyc09g018730.3,Solanum lycopersicum,ubiquitin carboxyl-terminal hydrolase 2(LOC101250723),,,,,,,,,Solyc01g111630.3,Solyc01g111630.3.1,,,,
100736519,Solyc11g020670.1,Solanum lycopersicum,TCP transcription factor 12(TCP12),,,,,,,,,Solyc06g068460.3,Solyc06g068460.3.1,,,,
101257359,Solyc04g007110.3,Solanum lycopersicum,uncharacterized LOC101257359(LOC101257359),,,,,,,,,Solyc09g082990.3,Solyc09g082990.3.1,,,,
101256028,Solyc09g011300.3,Solanum lycopersicum,uracil phosphoribosyltransferase(LOC101256028),,,,,,,,,Solyc10g079620.2,Solyc10g079620.2.1,,,,
101258208,Solyc10g080260.2,Solanum lycopersicum,zinc finger CCCH domain-containing protein 24(LOC101258208),,,,,,,,,Solyc09g074520.3,Solyc09g074520.3.1,,,,
101256027,Solyc09g013090.3,Solanum lycopersicum,OTU domain-containing protein At3g57810(LOC101256027),,,,,,,,,Solyc01g097340.3,Solyc01g097340.3.1,,,,
100736515,Solyc02g077250.2,Solanum lycopersicum,TCP transcription factor 1(TCP1),,,,,,,,,Solyc07g016180.3,Solyc07g016180.3.1,,,,
101256020,Solyc08g014450.3,Solanum lycopersicum,integrin-linked protein kinase 1-like protein(LOC101256020),,,,,,,,,Solyc05g008060.3,Solyc05g008060.3.1,,,,
101250716,Solyc08g014060.3,Solanum lycopersicum,eukaryotic translation initiation factor 2A(LOC101250716),,,,,,,,,Solyc10g078370.2,Solyc10g078370.2.1,,,,
101258682,Solyc08g079710.3,Solanum lycopersicum,kinesin-like protein KIN-UB(LOC101258682),,,,,,,,,Solyc02g064960.3,Solyc02g064960.3.1,,,,
101246224,Solyc12g044380.2,Solanum lycopersicum,cytochrome c oxidase assembly protein COX19-like(LOC101246224),,,,,,,,,Solyc07g008240.3,Solyc07g008240.3.1,,,,
101244047,Solyc10g080730.2,Solanum lycopersicum,thioredoxin family protein(LOC101244047),,,,,,,,,Solyc05g007420.1,Solyc05g007420.1.1,,,,
101268014,Solyc08g005100.3,Solanum lycopersicum,uncharacterized LOC101268014(LOC101268014),,,,,,,,,Solyc05g047460.3,Solyc05g047460.3.1,,,,
101260537,Solyc05g055750.3,Solanum lycopersicum,probable WRKY transcription factor 26(LOC101260537),,,,,,,,,Solyc05g049970.3,Solyc05g049970.3.1,,,,
101248401,Solyc06g063100.3,Solanum lycopersicum,ubiquitin-conjugating enzyme E2 34(LOC101248401),,,,,,,,,Solyc01g111310.3,Solyc01g111310.3.1,,,,
101262711,Solyc04g007700.3,Solanum lycopersicum,uncharacterized LOC101262711(LOC101262711),,,,,,,,,Solyc01g008230.3,Solyc01g008230.3.1,,,,
544077,Solyc07g044860.3,Solanum lycopersicum,photosystem II 23 kDa protein(PSBP),,,,,,,,,Solyc06g070900.3,Solyc06g070900.3.1,,,,
101246226,Solyc03g082510.1,Solanum lycopersicum,auxin-responsive protein SAUR32(LOC101246226),,,,,,,,,Solyc03g006800.1,Solyc03g006800.1.1,,,,
101248403,Solyc06g084470.3,Solanum lycopersicum,uncharacterized LOC101248403(LOC101248403),,,,,,,,,Solyc10g055630.2,Solyc10g055630.2.1,,,,
101246694,Solyc12g015630.2,Solanum lycopersicum,uncharacterized LOC101246694(LOC101246694),,,,,,,,,Solyc09g014380.3,Solyc09g014380.3.1,,,,
101246692,Solyc12g006997.1,Solanum lycopersicum,heavy metal-associated isoprenylated plant protein 30(LOC101246692),,,,,,,,,Solyc06g065190.1,Solyc06g065190.1.1,,,,
101250712,Solyc07g063270.3,Solanum lycopersicum,nuclear/nucleolar GTPase 2(LOC101250712),,,,,,,,,Solyc10g084150.2,Solyc10g084150.2.1,,,,
101256014,Solyc07g053540.1,Solanum lycopersicum,fasciclin-like arabinogalactan protein 9(LOC101256014),,,,,,,,,Solyc12g099930.2,Solyc12g099930.2.1,,,,
101256019,Solyc08g007120.3,Solanum lycopersicum,probable BOI-related E3 ubiquitin-protein ligase 2(LOC101256019),,,,,,,,,Solyc06g084070.3,Solyc06g084070.3.1,,,,
101258672,Solyc07g053430.3,Solanum lycopersicum,PLASMODESMATA CALLOSE-BINDING PROTEIN 5(LOC101258672),,,,,,,,,Solyc12g007230.2,Solyc12g007230.2.1,,,,
101249728,Solyc05g013880.1,Solanum lycopersicum,protein JINGUBANG(LOC101249728),,,,,,,,,Solyc09g090910.2,Solyc09g090910.2.1,,,,
101256010,Solyc07g005010.3,Solanum lycopersicum,leucine-rich repeat receptor-like protein kinase TDR(LOC101256010),,,,,,,,,Solyc06g073320.3,Solyc06g073320.3.1,,,,
101261877,Solyc11g040260.2,Solanum lycopersicum,"pentatricopeptide repeat-containing protein At1g10910, chloroplastic(LOC101261877)",,,,,,,,,Solyc09g092130.3,Solyc09g092130.3.1,,,,
101248877,Solyc05g032880.3,Solanum lycopersicum,50S ribosomal protein L9(LOC101248877),,,,,,,,,Solyc09g010690.3,Solyc09g010690.3.1,,,,
101248878,Solyc05g054130.3,Solanum lycopersicum,putative MO25-like protein At5g47540(LOC101248878),,,,,,,,,Solyc01g005540.3,Solyc01g005540.3.1,,,,
101244036,Solyc01g097860.3,Solanum lycopersicum,uncharacterized LOC101244036(LOC101244036),,,,,,,,,Solyc01g087040.2,Solyc01g087040.2.1,,,,
101246212,Solyc11g069960.2,Solanum lycopersicum,probable leucine-rich repeat receptor-like protein kinase At1g68400(LOC101246212),,,,,,,,,Solyc08g007540.3,Solyc08g007540.3.1,,,,
101245364,Solyc05g050710.3,Solanum lycopersicum,lecithin-cholesterol acyltransferase-like 1(LOC101245364),,,,,,,,,Solyc12g011450.2,Solyc12g011450.2.1,,,,
101246218,Solyc12g010230.2,Solanum lycopersicum,uncharacterized LOC101246218(LOC101246218),,,,,,,,,Solyc05g005010.3,Solyc05g005010.3.1,,,,
101261873,Solyc02g078780.3,Solanum lycopersicum,protein STRUBBELIG-RECEPTOR FAMILY 3(LOC101261873),,,,,,,,,Solyc05g026570.3,Solyc05g026570.3.1,,,,
104648015,Solyc06g074800.1,Solanum lycopersicum,zinc finger protein ZAT5-like(LOC104648015),,,,,,,,,Solyc08g074560.3,Solyc08g074560.3.1,,,,
101261874,Solyc02g077680.3,Solanum lycopersicum,glycogen phosphorylase 1-like(LOC101261874),,,,,,,,,Solyc09g010300.3,Solyc09g010300.3.1,,,,
101249750,Solyc01g009245.1,Solanum lycopersicum,uncharacterized LOC101249750(LOC101249750),,,,,,,,,Solyc10g055680.1,Solyc10g055680.1.1,,,,
101252922,Solyc09g076030.3,Solanum lycopersicum,"photosystem II D1 precursor processing protein PSB27-H2, chloroplastic(LOC101252922)",,,,,,,,,Solyc12g005630.2,Solyc12g005630.2.1,,,,
101257372,Solyc05g024430.3,Solanum lycopersicum,uncharacterized LOC101257372(LOC101257372),,,,,,,,,Solyc04g071480.1,Solyc04g071480.1.1,,,,
101250738,Solyc01g094940.3,Solanum lycopersicum,probable serine/threonine-protein kinase At1g01540(LOC101250738),,,,,,,,,Solyc06g065690.3,Solyc06g065690.3.1,,,,
101252915,Solyc09g018490.3,Solanum lycopersicum,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5(LOC101252915),,,,,,,,,Solyc07g042440.3,Solyc07g042440.3.1,,,,
101244069,Solyc12g095850.2,Solanum lycopersicum,"tryptophan--tRNA ligase, chloroplastic/mitochondrial(LOC101244069)",,,,,,,,,Solyc07g064760.2,Solyc07g064760.2.1,,,,
544053,Solyc04g082010.1,Solanum lycopersicum,"plastocyanin, chloroplastic(PETE)",,,,,,,,,Solyc02g087200.1,Solyc02g087200.1.1,,,,
101260993,Solyc11g071890.2,Solanum lycopersicum,"outer envelope protein 80, chloroplastic(LOC101260993)",,,,,,,,,Solyc02g069510.1,Solyc02g069510.1.1,,,,
101246249,Solyc05g054210.3,Solanum lycopersicum,drought-related protein PKE1(PKE1),,,,,,,,,Solyc02g067230.3,Solyc02g067230.3.1,,,,
101260511,Solyc12g008520.2,Solanum lycopersicum,IQ domain-containing protein(LOC101260511),,,,,,,,,Solyc04g007870.3,Solyc04g007870.3.1,,,,
101249741,Solyc07g014590.3,Solanum lycopersicum,"isoamylase 1, chloroplastic(LOC101249741)",,,,,,,,,Solyc07g039310.1,Solyc07g039310.1.1,,,,
101267152,Solyc09g015080.3,Solanum lycopersicum,patellin family protein(TBP),,,,,,,,,Solyc03g007030.3,Solyc03g007030.3.1,,,,
101256034,Solyc01g066740.3,Solanum lycopersicum,putative E3 ubiquitin-protein ligase LIN(LOC101256034),,,,,,,,,Solyc07g018240.1,Solyc07g018240.1.1,,,,
101252910,Solyc08g077560.3,Solanum lycopersicum,probable serine/threonine-protein kinase PBL19(LOC101252910),,,,,,,,,Solyc07g045100.1,Solyc07g045100.1.1,,,,
100736527,Solyc10g055630.2,Solanum lycopersicum,aquaporin PIP2-9(PIP2-9),,,,,,,,,Solyc08g067370.1,Solyc08g067370.1.1,,,,
100736523,Solyc03g006800.1,Solanum lycopersicum,TCP transcription factor 21(TCP21),,,,,,,,,Solyc01g090880.3,Solyc01g090880.3.1,,,,
100736521,Solyc06g070900.3,Solanum lycopersicum,TCP transcription factor 17(TCP17),,,,,,,,,Solyc10g079610.2,Solyc10g079610.2.1,,,,
100736520,Solyc01g008230.3,Solanum lycopersicum,TCP transcription factor 15(TCP15),,,,,,,,,Solyc10g083940.1,Solyc10g083940.1.1,,,,
101257363,Solyc04g072030.1,Solanum lycopersicum,dynamin-related protein 4C(LOC101257363),,,,,,,,,Solyc02g081150.1,Solyc02g081150.1.1,,,,
101244055,Solyc03g007030.3,Solanum lycopersicum,CDGSH iron-sulfur domain-containing protein(LOC101244055),,,,,,,,,Solyc04g015750.3,Solyc04g015750.3.1,,,,
101262703,Solyc12g088750.2,Solanum lycopersicum,probable serine/threonine-protein kinase At1g01540(LOC101262703),,,,,,,,,Solyc02g087190.1,Solyc02g087190.1.1,,,,
101268006,Solyc07g007980.3,Solanum lycopersicum,probable serine/threonine-protein kinase PIX7(LOC101268006),,,,,,,,,Solyc12g008910.2,Solyc12g008910.2.1,,,,
104649365,Solyc09g075580.1,Solanum lycopersicum,leucine-rich repeat extensin-like protein 3(LOC104649365),,,,,,,,,Solyc05g006420.3,Solyc05g006420.3.1,,,,
101268009,Solyc07g042510.3,Solanum lycopersicum,BI1-like protein(LOC101268009),,,,,,,,,Solyc06g059800.3,Solyc06g059800.3.1,,,,
101261815,Solyc05g025810.3,Solanum lycopersicum,protein STRICTOSIDINE SYNTHASE-LIKE 4(LOC101261815),,,,,,,,,Solyc09g005860.3,Solyc09g005860.3.1,,,,
101255133,Solyc09g065120.3,Solanum lycopersicum,"preprotein translocase subunit SCY2, chloroplastic(LOC101255133)",,,,,,,,,Solyc02g093100.3,Solyc02g093100.3.1,,,,
