From,To,Species,Gene Name,Gene stable ID,Transcript stable ID,,,Elements only in List 1 :
101248880,Solyc05g053150.2,Solanum lycopersicum,transcription factor MYB24-like(LOC101248880),Solyc04g081530.1,Solyc04g081530.1.1,,,Solyc06g007510.3
101262709,Solyc04g016230.3,Solanum lycopersicum,zeatin O-xylosyltransferase(LOC101262709),Solyc05g010420.2,Solyc05g010420.2.1,,,Solyc06g082600.3
101261858,Solyc10g008390.3,Solanum lycopersicum,thioredoxin 1(LOC101261858),Solyc01g079200.3,Solyc01g079200.3.1,,,Solyc08g082760.3
101244043,Solyc10g047300.2,Solanum lycopersicum,"outer envelope protein 64, mitochondrial(LOC101244043)",Solyc07g061720.3,Solyc07g061720.3.1,,,Solyc07g064600.3
101247551,Solyc09g005660.3,Solanum lycopersicum,uncharacterized LOC101247551(LOC101247551),Solyc07g061730.3,Solyc07g061730.3.1,,,Solyc10g054560.2
101252901,Solyc07g043560.3,Solanum lycopersicum,heat shock 70 kDa protein 17(LOC101252901),Solyc05g055760.3,Solyc05g055760.3.1,,,Solyc10g054570.2
100736516,Solyc02g089020.2,Solanum lycopersicum,TCP transcription factor 5(TCP5),Solyc12g009220.2,Solyc12g009220.2.1,,,Solyc10g054590.2
100736513,Solyc11g072630.2,Solanum lycopersicum,mitogen-activated protein kinase 4(MAPK4),Solyc07g006500.3,Solyc07g006500.3.1,,,Solyc04g074580.1
100736510,Solyc02g084870.3,Solanum lycopersicum,mitogen-activated protein kinase 8(MAPK8),Solyc02g070580.1,Solyc02g070580.1.1,,,Solyc05g051515.1
101258684,Solyc01g008820.3,Solanum lycopersicum,signal peptide peptidase(LOC101258684),Solyc11g011920.2,Solyc11g011920.2.1,,,Solyc04g081150.3
101248404,Solyc06g083440.3,Solanum lycopersicum,cytochrome b5-like(LOC101248404),Solyc01g079620.3,Solyc01g079620.3.1,,,Solyc09g005000.1
101247556,Solyc01g080690.3,Solanum lycopersicum,LEC14B homolog(LOC101247556),Solyc07g005330.3,Solyc07g005330.3.1,,,Solyc01g059965.1
544078,Solyc04g051860.3,Solanum lycopersicum,shikimate kinase precursor(SK),Solyc03g044300.3,Solyc03g044300.3.1,,,Solyc12g010545.1
101267168,Solyc01g111610.3,Solanum lycopersicum,probable BOI-related E3 ubiquitin-protein ligase 3(LOC101267168),Solyc01g109880.3,Solyc01g109880.3.1,,,Solyc01g080600.3
101261868,Solyc02g087580.3,Solanum lycopersicum,uncharacterized LOC101261868(LOC101261868),Solyc06g007120.3,Solyc06g007120.3.1,,,Solyc10g008910.1
101248407,Solyc07g055060.3,Solanum lycopersicum,phosphoenolpyruvate carboxylase(PEPC2),Solyc06g060230.3,Solyc06g060230.3.1,,,Solyc01g073970.3
101248400,Solyc06g066650.3,Solanum lycopersicum,rop guanine nucleotide exchange factor 12(LOC101248400),Solyc03g122190.3,Solyc03g122190.3.1,,,Solyc01g086820.3
101244048,Solyc02g093110.3,Solanum lycopersicum,SUMO-conjugating enzyme SCE1(LOC101244048),Solyc06g007510.3,Solyc06g007510.3.1,,,Solyc02g077480.1
101246690,Solyc02g068670.2,Solanum lycopersicum,ankyrin repeat-containing protein At5g02620-like(LOC101246690),Solyc06g082600.3,Solyc06g082600.3.1,,,
101245362,Solyc05g054260.3,Solanum lycopersicum,kinesin-like protein KIN-13A(LOC101245362),Solyc03g082690.3,Solyc03g082690.3.1,,,
101267174,Solyc10g079640.2,Solanum lycopersicum,IAA-amino acid hydrolase ILR1-like 6(LOC101267174),Solyc12g049290.2,Solyc12g049290.2.1,,,
101247540,Solyc07g052620.1,Solanum lycopersicum,B-box domain protein 30(LOC101247540),Solyc02g084980.3,Solyc02g084980.3.1,,,
