,baseMean,log2FoldChange,lfcSE,pvalue,padj
101247689,173.8060033,-6.498686113,0.450891682,1.38E-47,2.21E-44
101260301,58.35000739,-5.64105912,0.396885295,3.65E-46,5.37E-43
101055587,75.51145141,-4.28470145,0.314680974,5.58E-43,6.14E-40
104644303,104.8944837,-7.93069033,0.580755907,4.69E-42,4.86E-39
100736527,149.5265558,-4.623088117,0.35912977,7.62E-39,6.11E-36
543881,51.55764806,-3.481005659,0.276913019,5.24E-37,3.69E-34
101250380,80.05267828,-7.151780409,0.572445063,2.91E-36,1.90E-33
101252867,102.88664,-7.22181294,0.581771311,4.42E-36,2.79E-33
101248710,47.58481786,-4.029103983,0.328503119,2.31E-35,1.31E-32
101258482,106.4837561,-3.130145764,0.258066073,9.54E-35,4.81E-32
101263742,75.46309636,-3.102721292,0.259754367,1.30E-33,5.73E-31
101263368,79.36084934,-4.070539769,0.345753032,1.16E-32,4.65E-30
101257524,126.0867614,-3.145165644,0.272960075,1.53E-31,5.62E-29
101261239,34.34395119,-4.399376057,0.386003044,9.50E-31,3.28E-28
101249565,49.76590019,-4.033724461,0.358537337,4.14E-30,1.35E-27
543826,193.6124396,-5.962556811,0.537960888,1.68E-29,5.11E-27
101243784,41.15396941,-3.034691322,0.27329897,2.10E-29,6.29E-27
104645578,54.42021364,-3.317912973,0.302062626,5.56E-29,1.56E-26
101251036,48.45573609,-3.811505995,0.34761052,6.05E-29,1.67E-26
101256572,114.245301,-7.310517474,0.671082284,1.16E-28,3.14E-26
101261065,50.0468597,-2.932959113,0.26801679,1.27E-28,3.41E-26
543634,246.4640308,-4.116250127,0.378396476,2.28E-28,5.84E-26
101250738,32.92839184,-3.549623291,0.325898821,2.61E-28,6.57E-26
101253614,39.11064675,-3.771919798,0.355681031,4.32E-27,9.90E-25
101247376,92.0216754,-3.785870268,0.36420264,4.06E-26,8.94E-24
101258952,43.92655745,-3.440619059,0.332498281,9.07E-26,1.93E-23
101263960,35.56077767,-3.381308178,0.327841253,1.20E-25,2.52E-23
101252729,39.83652777,-4.298092003,0.420510431,1.73E-25,3.55E-23
BGI_novel_G000649,73.58093593,-3.129785103,0.305522256,1.73E-25,3.55E-23
101264292,37.49294265,-3.560817162,0.349201251,2.42E-25,4.85E-23
101254471,49.56523266,-4.929363598,0.483551981,2.96E-25,5.67E-23
101261571,25.31712121,-5.037957709,0.492775129,6.40E-25,1.17E-22
101263525,33.86153256,-3.042755618,0.302117735,1.23E-24,2.21E-22
101267652,54.11176343,-3.152102335,0.314130625,1.44E-24,2.57E-22
101249087,1169.040927,-1.130349115,0.1112925,1.69E-24,2.97E-22
101264390,117.1487966,-2.255906696,0.226223755,4.80E-24,8.14E-22
101261330,30.85081927,-3.36983315,0.34103764,7.76E-24,1.28E-21
101252701,33.1739733,-4.47990052,0.455544015,1.90E-23,3.11E-21
