,baseMean,log2FoldChange,lfcSE,pvalue,padj
101244906,381.1903552,3.80226464,0.175194818,3.99E-105,7.03E-101
543526,593.5831573,4.561525664,0.249798627,8.12E-76,7.15E-72
543654,796.3574355,2.396583434,0.131454684,3.65E-75,2.15E-71
101245840,369.7310722,5.431919671,0.334826777,6.52E-60,2.87E-56
101261835,172.1928389,3.791359261,0.240886501,1.68E-56,5.93E-53
544109,584.9106977,2.581727606,0.165277543,6.77E-56,1.99E-52
778228,190.5288515,4.103470029,0.272623714,5.55E-52,1.40E-48
101267065,3454.315347,5.822732865,0.391574654,1.34E-51,2.95E-48
101263630,229.9442312,5.001469484,0.342706782,5.95E-49,1.17E-45
101256176,506.8407109,5.686515286,0.39377386,2.24E-48,3.95E-45
101263188,122.9615966,4.123721985,0.298237511,6.27E-44,8.50E-41
543873,290.8723832,4.18064732,0.305599974,1.01E-43,1.27E-40
101251653,505.7828786,3.817670393,0.281661474,4.87E-43,5.72E-40
101245855,140.3019791,2.889891366,0.217640539,6.16E-41,6.00E-38
101256870,110.2367436,3.251121243,0.244701184,6.46E-41,6.00E-38
101262661,540.7008206,6.736444506,0.5114441,1.11E-40,9.78E-38
101247023,7222.516583,4.790591409,0.372044566,2.10E-39,1.76E-36
101258170,140.5162402,3.753388357,0.294313023,3.67E-38,2.82E-35
101265652,171.0727296,5.389981034,0.424995518,1.55E-37,1.13E-34
101252813,802.1806862,4.025663966,0.324378464,9.40E-37,6.38E-34
101253585,8359.259216,6.037507187,0.496655053,1.07E-35,6.53E-33
101255829,167.5639925,6.145829794,0.495297772,1.76E-35,1.03E-32
101254787,116.820965,2.713840657,0.22116318,2.45E-35,1.35E-32
101266652,235.0971984,5.410730385,0.442363074,2.58E-35,1.38E-32
544250,332.4483906,4.749376913,0.390761103,3.31E-35,1.71E-32
101247272,205.0789012,4.518807128,0.374223341,1.50E-34,7.36E-32
101259199,168.3366079,3.694971466,0.306708282,2.13E-34,1.02E-31
101250202,520.3635564,7.060543514,0.593554024,7.14E-34,3.31E-31
778273,159.3922654,3.269639952,0.273990179,7.60E-34,3.43E-31
101263533,1010.783381,5.009488537,0.427685461,3.45E-33,1.48E-30
100301926,444.769858,2.110152819,0.178251534,3.89E-33,1.63E-30
544031,2135.468649,6.966463696,0.599269249,5.52E-33,2.26E-30
101248770,188.0135066,3.686168466,0.317369914,1.37E-32,5.35E-30
100316895,420.4861274,5.103571604,0.442151416,3.49E-32,1.34E-29
101253674,179.4352347,3.294762774,0.286424049,1.13E-31,4.23E-29
101246420,3051.811911,4.137746703,0.367373939,7.15E-31,2.57E-28
544254,309.8049017,5.868282749,0.517988528,8.15E-31,2.87E-28
543731,214.2544118,4.580673205,0.405388469,1.16E-30,3.94E-28
543631,281.4777274,2.683289126,0.237681802,1.73E-30,5.74E-28
543591,507.205284,2.304367711,0.20633274,7.91E-30,2.54E-27
101253845,112.1695461,3.844622021,0.344506697,9.41E-30,2.96E-27
101249727,1920.519109,3.202348309,0.289453538,1.37E-29,4.22E-27
