,baseMean,log2FoldChange,lfcSE,pvalue,padj
101249565,156.6774013,-5.586193956,0.322662587,5.80E-68,2.56E-64
101263742,117.3080256,-3.849650204,0.241497347,4.37E-58,9.64E-55
104644303,204.2167583,-8.400554705,0.556377769,6.20E-52,9.12E-49
101255033,109.0380877,-3.977373054,0.296886269,6.40E-42,4.91E-39
101258701,58.8856784,-3.684290665,0.290042886,7.35E-38,4.80E-35
101247689,166.0437356,-5.526988462,0.436615271,2.46E-37,1.40E-34
100301944,212.0858991,-2.936726921,0.236346244,3.02E-36,1.57E-33
101267858,52.24312898,-3.849545995,0.310709051,5.02E-36,2.53E-33
101248905,48.95918492,-5.147360222,0.4185102,1.47E-35,7.22E-33
778202,43.04755603,-4.637562195,0.379874134,3.91E-35,1.77E-32
543634,290.3581321,-4.523535736,0.373677506,1.39E-34,6.00E-32
101262289,64.84483868,-3.527146174,0.29269015,2.43E-34,1.02E-31
101248254,986.3665442,-5.435834833,0.450248703,2.65E-34,1.09E-31
101260301,45.64892848,-4.493458744,0.376814408,1.87E-33,7.02E-31
101245299,255.8572225,-2.875044382,0.244677235,1.22E-32,4.32E-30
101248456,109.7532736,-3.232430657,0.275283357,1.35E-32,4.68E-30
101250738,41.75087133,-3.481890918,0.303261933,3.03E-31,9.31E-29
101245693,39.14561185,-3.979471413,0.348609229,6.98E-31,2.06E-28
101055587,65.40454961,-3.510717849,0.313408369,6.02E-30,1.59E-27
101250380,99.86643715,-8.037637533,0.721568105,2.71E-29,6.73E-27
101256723,100.0269182,-1.836500439,0.165646544,4.19E-29,1.03E-26
101261065,45.42444424,-2.859544295,0.260781782,9.40E-29,2.24E-26
101248710,51.6869058,-4.187217588,0.390685483,1.53E-27,3.31E-25
101265086,110.9470381,-2.291055549,0.217228819,1.01E-26,2.10E-24
101243784,37.34768011,-2.880601085,0.274804008,1.79E-26,3.68E-24
101249783,54.55629998,-2.318158425,0.223304769,5.54E-26,1.08E-23
101249728,39.20688933,-5.057612556,0.49628994,2.14E-25,4.01E-23
101261288,173.9186766,-4.452927346,0.435434288,3.03E-25,5.52E-23
101253614,34.30377019,-3.375661637,0.331243388,4.09E-25,7.37E-23
101252867,75.84071237,-6.519400686,0.64268227,5.27E-25,9.30E-23
101250638,94.14814286,-2.204816347,0.217477302,7.58E-25,1.33E-22
101259513,64.70945922,-2.902212376,0.28735813,7.86E-25,1.36E-22
101258104,58.06880724,-2.628171512,0.260879322,1.08E-24,1.85E-22
543881,47.56097521,-3.308248748,0.328867757,1.67E-24,2.77E-22
101264390,100.787117,-2.002550301,0.199282889,2.22E-24,3.59E-22
101257927,52.84561093,-4.049371008,0.408606022,4.07E-24,6.48E-22
101263960,29.05336435,-3.408077937,0.343610342,7.35E-24,1.15E-21
101262449,82.09926438,-3.259062418,0.330466582,7.76E-24,1.20E-21
101250924,111.4228155,-5.324764123,0.538111633,1.05E-23,1.57E-21
100736527,142.5286492,-4.094650161,0.416859473,1.27E-23,1.87E-21
101267652,74.20305323,-3.20872042,0.328996096,2.65E-23,3.86E-21
101263525,35.08334927,-3.07202168,0.316975803,5.41E-23,7.83E-21
101258581,60.29080591,-2.613913503,0.270367722,6.72E-23,9.57E-21
101258495,99.44042872,-2.358587301,0.244312561,8.68E-23,1.23E-20
101252701,28.98520301,-4.050176099,0.420450017,1.43E-22,1.99E-20
101254471,24.4561287,-3.973770787,0.415883832,1.79E-22,2.45E-20
