Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	source_name	SRA Study	tissue
SRR11517921	RNA-Seq	150	6827794200	PRJNA624032	SAMN14565247	4177285916	GEO	public	Micro-Tom	"run.zq,fastq,sra"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX8089369	GSM4462432	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-12T20:21:00Z	1	GSM4462432	Micro-TOM	SRP255857	leaf
SRR11517922	RNA-Seq	150	6810656400	PRJNA624032	SAMN14565246	4162986414	GEO	public	Micro-Tom	"sra,run.zq,fastq"	"s3,ncbi,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX8089370	GSM4462433	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T09:57:00Z	1	GSM4462433	Micro-TOM	SRP255857	leaf
SRR11517923	RNA-Seq	150	6746376000	PRJNA624032	SAMN14565245	4128688404	GEO	public	Micro-Tom	"fastq,sra,run.zq"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX8089371	GSM4462434	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T10:15:00Z	1	GSM4462434	Micro-TOM	SRP255857	leaf
SRR11517924	RNA-Seq	150	6773300700	PRJNA624032	SAMN14565244	4155814930	GEO	public	Micro-Tom	"fastq,sra,run.zq"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX8089372	GSM4462435	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T10:32:00Z	1	GSM4462435	Micro-TOM	SRP255857	leaf
SRR11517925	RNA-Seq	150	6733394100	PRJNA624032	SAMN14565243	4099256055	GEO	public	Micro-Tom	"sra,fastq,run.zq"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX8089373	GSM4462436	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T10:53:00Z	1	GSM4462436	Micro-TOM	SRP255857	leaf
SRR11517926	RNA-Seq	150	6725094900	PRJNA624032	SAMN14565242	4106627586	GEO	public	Micro-Tom	"fastq,run.zq,sra"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX8089374	GSM4462437	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T11:12:00Z	1	GSM4462437	Micro-TOM	SRP255857	leaf
SRR11517927	RNA-Seq	150	6749534100	PRJNA624032	SAMN14565241	4134554212	GEO	public	Micro-Tom	"fastq,run.zq,sra"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX8089375	GSM4462438	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T10:49:00Z	1	GSM4462438	Micro-TOM	SRP255857	leaf
SRR11517928	RNA-Seq	150	6739720800	PRJNA624032	SAMN14565240	4116697250	GEO	public	Micro-Tom	"fastq,run.zq,sra"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX8089376	GSM4462439	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-14T11:08:00Z	1	GSM4462439	Micro-TOM	SRP255857	leaf
SRR11517929	RNA-Seq	150	6821463000	PRJNA624032	SAMN14565239	4173918723	GEO	public	Micro-Tom	"run.zq,sra,fastq"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX8089377	GSM4462440	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-15T07:28:00Z	1	GSM4462440	Micro-TOM	SRP255857	leaf
SRR11517930	RNA-Seq	150	6829731600	PRJNA624032	SAMN14565238	4194577446	GEO	public	Micro-TOM-EX	"fastq,sra,run.zq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX8089378	GSM4462441	BGISEQ-500	PAIRED	cDNA	TRANSCRIPTOMIC	Solanum lycopersicum	BGISEQ	2020-12-29T00:00:00Z	2020-04-15T07:36:00Z	1	GSM4462441	Micro-TOM-EX	SRP255857	leaf
