id,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830,GSM4618831,GSM4618832,GSM4618833,GSM4618834,GSM4618835,GSM4618836
Solyc11g073250.2.1,2452,4237,3235,7408,4507,5315,3538,4363,3011,2389,2199,3026
Solyc11g045140.1.1,0,1,3,4,2,0,3,10,2,4,15,8
Solyc12g019560.1.1,45,67,37,18,17,41,477,192,323,386,477,363
Solyc06g084480.3.1,1411,1599,916,723,558,825,1280,676,1061,1517,1955,1504
Solyc09g072500.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g054170.4.1,99,145,57,3,4,6,147,52,65,481,554,228
Solyc01g100840.3.1,441,659,534,1013,820,942,821,808,780,549,525,700
Solyc04g007700.3.1,165,245,234,342,306,464,558,543,461,457,366,491
Solyc12g088410.3.1,10,27,18,43,39,74,170,148,108,35,43,72
Solyc09g055260.4.1,363,521,246,346,132,231,575,351,566,1320,2149,1053
Solyc08g150100.1.1,4,0,6,0,0,0,2,2,2,0,6,0
Solyc01g020290.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g090640.3.1,791,941,664,652,445,683,1301,819,1163,2709,3438,2117
Solyc00g094520.1.1,0,0,1,1,0,0,1,1,0,0,1,0
Solyc06g009400.3.1,2425,3381,2795,3326,1912,2688,7656,6359,6097,6061,6645,6196
Solyc09g083360.3.1,34,137,360,65,28,39,117,140,66,109,112,76
Solyc05g050580.3.1,372,660,514,576,355,607,1012,872,918,777,632,775
Solyc07g041010.3.1,510,491,811,1241,845,1030,916,1181,884,762,543,711
Solyc11g006110.1.1,4,2,2,5,4,0,20,6,4,6,6,4
Solyc07g053240.3.1,4,6,9,8,2,16,2,0,0,0,0,0
Solyc01g106550.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g046200.3.1,2,32,9,6,8,4,10,147,14,24,6,22
Solyc03g116175.1.1,0,0,0,0,2,0,0,0,0,3,2,0
Solyc08g008490.4.1,537,645,487,306,211,271,922,543,773,1518,1183,745
Solyc01g094980.1.1,0,0,0,2,0,2,1,0,0,1,2,2
Solyc06g005390.1.1,53,100,53,178,99,107,199,174,201,80,91,111
Solyc05g010750.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g013470.1.1,115,142,151,80,122,116,151,200,143,138,122,126
Solyc06g063330.3.1,350,411,288,149,173,238,379,294,324,603,732,545
