,baseMean,log2FoldChange,lfcSE,pvalue,padj
Solyc11g066390.2.1,52318.17869,3.159293163,0.280354996,1.86E-30,2.21E-27
Solyc01g067740.3.1,19401.80861,2.300536861,0.221528823,4.03E-26,1.98E-23
Solyc01g049770.3.1,356.4871519,2.229375941,0.2282719,1.63E-23,5.43E-21
Solyc06g053700.1.1,277.1069084,2.150536279,0.232346235,2.21E-21,4.71E-19
Solyc02g093700.3.1,522.4628239,2.172650468,0.245471019,9.90E-20,1.62E-17
Solyc04g080280.3.1,58435.10555,1.252574576,0.142091297,2.56E-19,3.91E-17
Solyc12g089110.1.1,1155.228573,1.453605368,0.16918672,1.45E-18,1.91E-16
Solyc12g088250.2.1,3580.658141,1.489014486,0.174796439,2.37E-18,3.08E-16
Solyc04g078640.3.1,1249.727555,2.211139953,0.266711213,1.34E-17,1.55E-15
Solyc03g013440.4.1,857.5018862,3.68803644,0.448534141,1.94E-17,2.17E-15
Solyc01g098390.3.1,1865.756718,1.476872337,0.182641414,1.05E-16,1.03E-14
Solyc03g007030.3.1,12610.35369,1.296980384,0.160896536,1.54E-16,1.48E-14
Solyc09g092500.1.1,4218.956915,1.140076629,0.141215829,1.67E-16,1.59E-14
Solyc03g095650.3.1,3516.75364,2.657655185,0.33478087,2.03E-16,1.90E-14
Solyc07g053290.3.1,1436.506834,1.231944786,0.153491668,2.13E-16,1.98E-14
Solyc09g092480.1.1,1671.540301,1.268342211,0.159863232,4.24E-16,3.75E-14
Solyc01g099930.3.1,1262.794967,1.081475425,0.136417905,5.63E-16,4.77E-14
Solyc07g007270.3.1,763.214923,1.958509067,0.254701001,1.86E-15,1.41E-13
Solyc01g060070.3.1,448.8669066,2.46894007,0.328712382,5.74E-15,3.97E-13
Solyc08g079830.4.1,6079.484626,1.016400473,0.13413848,1.04E-14,6.97E-13
Solyc02g067220.4.1,40.57259641,3.303145362,0.447565067,1.41E-14,9.20E-13
Solyc11g065680.1.1,2114.896889,1.337446384,0.178876131,1.45E-14,9.41E-13
Solyc01g005010.4.1,2223.28859,1.188695271,0.159203899,1.95E-14,1.23E-12
Solyc01g014270.3.1,1447.27711,1.236613035,0.165972618,2.02E-14,1.26E-12
Solyc12g010550.1.1,824.5462693,3.057506266,0.418448666,2.49E-14,1.53E-12
Solyc11g073120.2.1,3633.707451,1.260319048,0.169986506,2.71E-14,1.64E-12
Solyc01g109250.2.1,685.0101536,1.733568142,0.236979686,3.45E-14,2.03E-12
Solyc04g007840.3.1,1265.60261,1.360772264,0.185378451,3.64E-14,2.12E-12
Solyc01g057000.3.1,283.4759546,5.016242357,0.694653313,4.47E-14,2.57E-12
Solyc04g081700.3.1,256.2773675,1.908533361,0.263641603,5.42E-14,3.06E-12
Solyc09g005610.4.1,77.12061376,4.692016558,0.66850779,2.07E-13,1.05E-11
Solyc08g007400.4.1,2874.400826,1.444910551,0.202902663,2.27E-13,1.14E-11
Solyc12g042780.2.1,366.9903657,1.786297609,0.254513001,2.98E-13,1.46E-11
Solyc05g055390.3.1,903.3441021,1.31783429,0.187222661,3.66E-13,1.78E-11
Solyc04g014480.3.1,1229.111475,2.051535179,0.294589283,3.76E-13,1.82E-11
Solyc09g008680.4.1,362.0405067,1.225004377,0.173911332,3.94E-13,1.89E-11
Solyc06g071890.3.1,329.2592808,2.035505208,0.293375353,4.39E-13,2.09E-11
Solyc07g041925.1.1,107.9720021,2.18752379,0.31736817,5.90E-13,2.76E-11
Solyc02g084950.3.1,200.6911906,2.581894505,0.376368772,6.40E-13,2.96E-11
Solyc08g081455.1.1,317.2808116,1.991995082,0.289462749,6.40E-13,2.96E-11
Solyc06g005330.3.1,959.9106984,1.854918486,0.270180585,8.79E-13,3.99E-11
Solyc10g051300.2.1,1368.484451,1.131577417,0.164534421,1.39E-12,6.11E-11
Solyc01g099590.4.1,1485.987606,1.764622438,0.260137346,1.55E-12,6.79E-11
Solyc08g074630.2.1,1430.616182,2.579364158,0.384293984,1.97E-12,8.47E-11
Solyc04g071330.4.1,603.616703,1.163463762,0.171001834,2.31E-12,9.84E-11
Solyc07g017610.3.1,672.5092732,1.923016327,0.288468827,3.12E-12,1.30E-10
Solyc12g088190.2.1,1314.014351,1.731332896,0.259599154,3.42E-12,1.40E-10
Solyc04g005610.3.1,997.3367941,2.539737872,0.384037298,3.69E-12,1.50E-10
Solyc09g092490.3.1,2075.617133,1.385279169,0.207614198,4.51E-12,1.80E-10
Solyc11g065740.2.1,12706.34511,1.007081801,0.150546841,6.53E-12,2.56E-10
Solyc01g091770.4.1,3994.675441,1.040518976,0.156186292,7.72E-12,2.95E-10
Solyc02g072270.3.1,972.059806,1.266751686,0.19146824,7.78E-12,2.97E-10
Solyc07g022830.3.1,1652.509972,1.275654741,0.193202711,7.98E-12,3.03E-10
Solyc09g082550.3.1,881.6300729,3.186064958,0.492683675,8.69E-12,3.28E-10
Solyc05g007770.3.1,1546.63658,2.659441079,0.410443761,9.58E-12,3.59E-10
Solyc10g081840.3.1,95.68375852,2.789787973,0.434386859,1.17E-11,4.38E-10
Solyc09g082630.3.1,23089.77965,1.080338065,0.164053646,1.38E-11,5.06E-10
Solyc01g067010.3.1,1099.64851,1.326925964,0.204471791,1.62E-11,5.82E-10
Solyc06g036120.3.1,248.387383,1.473865616,0.229302062,2.00E-11,7.10E-10
Solyc11g005340.3.1,9984.884867,1.17768374,0.182421019,2.47E-11,8.65E-10
Solyc12g088300.2.1,997.9974857,1.766130107,0.276302025,2.67E-11,9.32E-10
Solyc03g120420.3.1,359.7660256,4.203676165,0.668324586,2.69E-11,9.40E-10
