"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Solyc02g063450.4.1",3356.53074538514,-4.66284292001225,0.275705690484047,1.86034485021315e-65,4.19991453384121e-61
"Solyc11g150146.1.1",7916.81443024929,-4.52698827037054,0.277951840180619,4.34259404055003e-60,4.90192015297287e-56
"Solyc10g079120.3.1",1548.58878397439,-2.39367410892238,0.163366538045674,9.05765317474145e-50,6.81618593576544e-46
"Solyc04g025160.3.1",2015.22411826336,-3.34962619072365,0.231791707061465,1.43463554438097e-48,8.09708301248619e-45
"Solyc10g083640.2.1",1495.25280585665,-2.65658562527464,0.186992393846253,6.05830318999686e-47,2.73544505634738e-43
"Solyc02g082130.2.1",771.87721145427,-3.09513631109587,0.221366741525472,1.19661452674672e-45,4.50246159263899e-42
"Solyc06g007980.4.1",2859.75687295119,-2.23838380382094,0.162176432895492,2.51667440564785e-44,8.11663448312942e-41
"Solyc03g059490.1.1",1087.23188687104,-2.12626661218922,0.15480045428949,7.52843079290764e-44,2.12452316975854e-40
"Solyc09g008280.2.1",943.705779574368,-5.94491025474851,0.439635702263524,5.59671927730508e-43,1.40390593782711e-39
"Solyc05g009980.4.1",7910.33088226113,-1.04487079954571,0.0779897036018374,1.5575683900274e-41,3.51636639732586e-38
"Solyc06g006100.3.1",823.166240122604,-2.0991125300962,0.159854086433953,2.27558701939067e-40,4.67033204997851e-37
"Solyc02g090190.1.1",1102.48202234742,-2.24033769866796,0.172672496418361,1.6951557869812e-39,3.18915308724064e-36
"Solyc12g017260.2.1",2032.74853637759,-1.87054587315089,0.146653441848755,2.79029649710302e-38,4.84567182450752e-35
"Solyc01g087170.3.1",1207.16024705626,-3.21239570665002,0.253303459359315,4.82874430385528e-38,7.78669510027405e-35
"Solyc01g067640.3.1",850.686758538657,-2.14034792698292,0.170235232710911,3.238837368273e-37,4.87466616174208e-34
"Solyc07g039320.2.1",289.920849812918,-2.69814180554062,0.215664483857261,6.67752970008817e-37,9.42199440682442e-34
"Solyc05g054180.3.1",444.216765252484,-2.72844743512788,0.218681339164442,8.05276696573625e-37,1.06940745304977e-33
"Solyc11g040370.2.1",2378.28200443711,-2.8385580206795,0.227957562760873,9.77375947603401e-37,1.22584663294969e-33
"Solyc12g098740.2.1",2808.90875510359,-2.48399404978776,0.201908060141072,7.0350534396428e-36,8.35912455017768e-33
"Solyc06g083730.3.1",1558.01362175139,-1.38845741134513,0.113237507988543,2.52937162747275e-35,2.85515469309124e-32
"Solyc03g118270.1.1",735.643501673008,-2.22469902946688,0.184765282440843,1.63840852088214e-34,1.68130503488342e-31
"Solyc05g056100.3.1",907.393018077517,-1.75093031486353,0.145013389547228,1.7464979802475e-34,1.71430166965511e-31
"Solyc08g014060.4.1",1178.45041115301,-1.60112270936805,0.132845217336882,2.66890814219487e-34,2.51055292575797e-31
"Solyc08g066180.3.1",3863.53301846754,-2.15104036416721,0.179067559055334,3.19543505591582e-34,2.88560567289423e-31
"Solyc01g099350.3.1",1322.72174551984,-1.80196880987056,0.150014499394771,3.65459640234417e-34,3.17331416843546e-31
"Solyc06g068320.3.1",2895.20926536548,-1.38328450158387,0.115037149829487,4.73012423268491e-34,3.95508461767017e-31
"Solyc11g062190.2.1",3016.93460296603,-1.84733933114089,0.153784235856439,5.08213856628105e-34,4.09765572401289e-31
"Solyc11g071920.3.1",1315.93036501476,-2.5966252748653,0.219282798018683,1.96436819386691e-33,1.52922677050825e-30
"Solyc09g005700.3.1",3208.02879683135,-1.3539771606727,0.113915789703352,2.19112433611679e-33,1.64889410040576e-30
"Solyc12g095760.2.1",3146.53194478518,-2.05999134756342,0.17453647143502,3.59126946295932e-33,2.61537094825063e-30
"Solyc09g015840.4.1",598.130070994865,-5.91614961286559,0.500549883631525,4.22920196496665e-33,2.98370198628397e-30
"Solyc11g005330.2.1",15751.0427107695,-1.58949539125158,0.134407651676654,4.53951467863392e-33,3.01423774661292e-30
"Solyc02g076750.3.1",365.329618572614,-4.13027550854835,0.350670465593127,4.43363979785412e-33,3.01423774661292e-30
"Solyc07g062680.3.1",844.197402680035,-2.88069441161545,0.245308386337493,5.63921959590197e-33,3.63745775991665e-30
"Solyc07g053600.3.1",1026.12214331641,-1.71669083759026,0.146821132860214,1.59749861574461e-32,1.00180913191806e-29
"Solyc01g087650.4.1",2205.165309138,-1.42285791264722,0.122448307912911,5.14795303635353e-32,3.14108615537074e-29
"Solyc03g082940.3.1",3019.97332564632,-2.2725688527568,0.196845492756821,5.67768308158144e-32,3.37314140131007e-29
"Solyc03g123610.4.1",2855.9002001992,-1.52423496857019,0.13189415971795,1.34696890724225e-31,7.7972230897182e-29
"Solyc12g095960.3.1",10356.3255279159,-1.43436104154256,0.12501167296575,3.16818297483769e-31,1.78812247099839e-28
"Solyc08g081760.3.1",2382.47054818052,-2.43752357679729,0.216834756498915,1.92352299181933e-30,1.00989430379798e-27
"Solyc12g009960.2.1",3524.37774711846,-1.93027913910363,0.17141342884684,2.17629326135417e-30,1.09182214818515e-27
"Solyc03g096980.1.1",1540.17660157414,-1.80237981508544,0.159878354541549,2.12831148875894e-30,1.09182214818515e-27
"Solyc04g082250.3.1",58977.0746566673,-2.288330628034,0.204649572677286,4.34664300644924e-30,2.13325679377387e-27
"Solyc01g097010.3.1",1873.21718495933,-1.22464507890074,0.108872653616724,5.11835747287816e-30,2.45855400654675e-27
"Solyc03g006130.3.1",1201.45249352912,-1.74072443505034,0.15589236843222,6.79273471795599e-30,3.1948495623453e-27
"Solyc02g084490.1.1",929.074097756797,-3.1557712655381,0.284811527012261,1.08381680023312e-29,4.99352001674756e-27
"Solyc02g089950.2.1",332.58561362183,-2.0806607460461,0.187433561554132,1.1150785717373e-29,5.03480276710827e-27
"Solyc05g010425.1.1",3180.06075993771,-1.9014691066291,0.170985656013886,1.32151072038365e-29,5.84988745556495e-27
"Solyc10g086060.2.1",3245.00276919983,-1.5224328088223,0.136807244477544,1.34811040576885e-29,5.85287317704567e-27
"Solyc08g081240.3.1",882.163205509645,-1.84349666244871,0.166107903705516,1.42444352545486e-29,6.06759189257905e-27
"Solyc10g086420.1.1",2750.27174755585,-1.15957848476215,0.104034847539258,1.69132955124981e-29,7.07101036092882e-27
"Solyc10g006540.4.1",786.927977923015,-2.15395107413422,0.194946185479061,2.01279744481463e-29,8.26198456620636e-27
"Solyc02g070000.4.1",1365.76229940767,-1.71052103352675,0.154386439718749,2.08660430480727e-29,8.41199621166589e-27
"Solyc06g009060.4.1",1128.31444669493,-2.29716265488226,0.208663658391583,2.98587612279047e-29,1.18261647979154e-26
"Solyc01g110360.3.1",314709.111168899,-1.97554309486767,0.179373243108519,3.36533788425043e-29,1.309928759911e-26
"Solyc10g050060.2.1",876.508420785628,-1.74094197530803,0.157900506758838,3.57440599333862e-29,1.36772524924767e-26
"Solyc05g006520.4.1",2546.97197876351,-1.68796107244986,0.153406178574255,4.08721366890185e-29,1.53313338241242e-26
"Solyc02g088560.4.1",8388.42336043884,-1.48329202466534,0.133607979236968,4.14250249500166e-29,1.53313338241242e-26
"Solyc03g123830.4.1",3739.16744258206,-1.68034139154095,0.152565513302512,4.28248120176499e-29,1.55937573566204e-26
