"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Solyc11g066390.2.1",60505.2263926674,3.44178285484571,0.284149323032983,6.22493916116506e-35,6.69210602392678e-32
"Solyc01g049770.3.1",359.296277700486,2.25077514199273,0.199111007005471,1.10523466027405e-30,5.94089945008263e-28
"Solyc01g067740.3.1",19628.6615498582,2.20833594925609,0.201976801484522,1.06075306586989e-28,3.57426286792218e-26
"Solyc06g053700.1.1",289.835304151883,2.11091759673834,0.203434893726025,2.9921359043284e-26,7.42312749188109e-24
"Solyc12g089110.1.1",1209.49020668551,1.47811148441857,0.145653669516574,5.43360348894955e-25,1.15725502232571e-22
"Solyc04g078640.3.1",1386.36959665931,2.26122296924012,0.231418467126126,1.46817077473757e-23,2.43716348606437e-21
"Solyc03g095650.3.1",3316.47751778463,2.66677080030078,0.289780840145256,2.59746410949379e-21,3.10266400719215e-19
"Solyc04g080280.3.1",59816.2544486111,1.37216651887353,0.147682216587899,2.74720931537639e-21,3.26426302652303e-19
"Solyc09g092500.1.1",3923.47066642324,1.13088615984082,0.122359075786579,5.68395664103683e-21,6.58056436554089e-19
"Solyc03g007030.3.1",12855.592735107,1.38823050697466,0.151102989950345,7.12290176157304e-21,8.04033150846365e-19
"Solyc07g007270.3.1",849.698244038983,1.99293156969354,0.218210266471605,7.30840515267428e-21,8.2086843147649e-19
"Solyc12g088250.2.1",3665.12262567913,1.64961805744318,0.180076590467471,8.10272628037206e-21,9.01118958156057e-19
"Solyc01g060070.3.1",463.549360165378,2.5497473239715,0.287261223402878,5.06459347538539e-20,4.97122879566524e-18
"Solyc09g092480.1.1",1605.64396147693,1.36644929352299,0.153667867933213,1.05594312161158e-19,9.8102765076144e-18
"Solyc01g014270.3.1",1429.18066590684,1.26673236377488,0.142692432391589,1.44750267613201e-19,1.31769437162727e-17
"Solyc07g053290.3.1",1429.98247306248,1.34113668530545,0.15150435978583,1.57409155425175e-19,1.4214676371515e-17
"Solyc02g093700.3.1",502.085412196102,2.04033674638751,0.232287242380575,1.63372303671798e-19,1.46360838400576e-17
"Solyc01g099930.3.1",1322.47758777037,1.16010925922098,0.130890418614578,1.65818619250529e-19,1.47965262774701e-17
"Solyc08g079830.4.1",6029.09284904614,1.07085736305498,0.122247091230453,4.76893230584048e-19,3.9008483962556e-17
"Solyc01g005010.4.1",2258.47324421218,1.27331322079458,0.147688385537178,1.31371557233009e-18,9.82067641090203e-17
"Solyc01g098390.3.1",1799.84265166872,1.40353201376231,0.165844476006707,4.46592808340157e-18,3.11181458058253e-16
"Solyc04g081700.3.1",277.515793655191,2.08528370656224,0.248901528694404,5.13790289213264e-18,3.53638096624349e-16
"Solyc04g007840.3.1",1338.22590916755,1.49131996998548,0.178332116840984,9.09478884269117e-18,5.95141892500278e-16
"Solyc05g055390.3.1",902.19509197937,1.35016341050537,0.161190294357904,9.83144479910959e-18,6.41487565851729e-16
