Transcript ID,0h,0h,0h,6h,6h,6h,12h,12h,12h,24h,24h,24h,48h,48h,48h,96h,96h,96h
Solyc04g054310.3.1,0.98573799,0.090164352,-0.483586583,1.786216635,1.194405802,1.145455893,1.261771231,0.123717728,1.558659184,-1.302337899,-1.029472263,-1.300233457,-0.716842152,-1.018267292,-0.18643314,-0.47086943,-0.186114192,0.141677851
Solyc04g009200.3.1,2.531202343,0.490670843,0.286847257,-0.548470279,-0.419613307,-0.261710263,1.188083472,0.361656809,1.281764898,-0.741772796,-0.585840661,-1.162230433,0.268340344,-0.391449849,-0.455630203,-0.541025698,-0.435235383,0.626372916
Solyc07g043310.3.1,-1.161295785,0.3387848,-0.56310313,-0.064883073,0.33372243,-0.348118118,-1.124225979,-0.876528252,-1.160316539,-0.383651916,0.286835006,0.376041499,-1.046012001,0.175183813,-0.776017427,1.689741787,2.176423387,0.291538581
Solyc07g006810.3.1,1.446875669,0.22430637,-0.904274107,0.270287411,-0.860184434,1.16825109,0.338911676,-0.766647188,-0.731379423,-0.862384747,0.180997822,0.222653717,1.442372467,0.245788265,0.229061722,0.2051847,-0.842645972,0.37323948
Solyc08g080370.3.1,0.936883272,-1.271360484,-1.17317187,-1.003463674,-0.655474238,-0.331931984,2.321639978,0.661456479,3.362503579,-1.029445688,-0.792282528,-1.022844366,0.934191038,0.736714977,0.351313248,0.460733486,0.35196663,-0.324176601
Solyc10g076250.2.1,-1.148291257,-0.970961322,-1.148291257,0.459089613,0.620806464,0.071865526,-0.606820636,-0.428271458,-0.604775343,-0.971454294,-0.972155567,-0.616438169,-0.24435511,0.98677639,1.158702589,-0.441080658,0.449119872,0.121766381
Solyc12g006470.2.1,4.364454835,-0.063620252,0.28630658,-0.665751768,-0.50903071,-0.532699717,1.934998384,0.115797917,1.776778873,-0.490167064,-0.415867647,-0.222570518,-0.197323974,-0.04189201,0.674289281,-0.667552208,-0.660505386,-0.409454818
Solyc12g006450.2.1,1.978162129,0.051789682,0.023579648,0.625555393,0.96129446,1.089237874,0.192667972,0.278315382,0.859769562,-1.054133721,-1.151485747,-0.683095767,-1.300135192,-1.320898478,-0.956774722,-0.322229351,-0.221450498,0.958766923
Solyc06g019170.3.1,-0.686450821,-0.806717734,-0.807792364,-0.733037381,-0.792504885,-0.637558864,-0.731182189,-0.672833912,-0.760116496,-0.56139751,-0.030346498,-0.473617852,1.676604836,2.347901582,2.716413266,1.532970574,1.020442804,1.033680687
Solyc02g068640.3.1,2.340780411,0.752686437,0.461870397,-0.198044683,-1.207530156,-0.766806218,2.078304628,0.574771014,1.477032719,-0.112647251,0.357555369,0.507325267,-0.899793724,0.400616773,-0.343736101,0.251878005,-0.58760777,-0.389282687
Solyc02g089620.3.1,1.930093655,2.04460287,1.179242869,-0.48467755,-0.487890964,-0.658746878,0.034287114,-0.653324725,-0.479777587,-0.65633996,-0.65700742,-0.149705453,-0.652580164,-0.655306951,0.188776095,0.016738344,-0.486786223,-0.651961909
Solyc02g089630.3.1,-0.373076218,-0.373076218,-0.373076218,-0.373076218,4.085874888,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218
Solyc06g066330.3.1,-0.750222148,-1.51394397,-0.837010066,0.637073264,0.596697195,-0.160380243,-0.756655456,-0.764393053,-0.745784486,1.29988747,0.578182685,2.725802287,0.689438304,-0.088343305,0.609883032,-0.815454839,-0.8044928,-1.464829861
Solyc08g005270.3.1,-1.126772545,-0.480223288,-0.049131822,-0.192664234,0.410233151,-0.087323898,-1.305013433,-0.899614521,-1.624004691,1.228500882,0.954895475,0.835095656,0.968429039,1.354923261,-0.064322259,0.816759703,-0.887266595,-0.438623598
Solyc08g076420.3.1,-0.763938045,-0.48197037,-0.520414543,-0.25581652,0.401877882,-0.69034648,-0.265564034,-1.234405772,-0.809565003,0.895619322,1.270675468,2.696951283,0.55143317,-0.220531192,0.664611435,0.300045467,0.466421754,0.7715775
