Sample Name,agent,Time_point,tissue
GSM7413358,control,0h,Grafted seedling
GSM7413359,control,0h,Grafted seedling
GSM7413360,control,0h,Grafted seedling
GSM7413361,Salt stress,6h,Grafted seedling
GSM7413362,Salt stress,6h,Grafted seedling
GSM7413363,Salt stress,6h,Grafted seedling
GSM7413364,Salt stress,12h,Grafted seedling
GSM7413365,Salt stress,12h,Grafted seedling
GSM7413366,Salt stress,12h,Grafted seedling
GSM7413367,Salt stress,24h,Grafted seedling
GSM7413368,Salt stress,24h,Grafted seedling
GSM7413369,Salt stress,24h,Grafted seedling
GSM7413370,Salt stress,48h,Grafted seedling
GSM7413371,Salt stress,48h,Grafted seedling
GSM7413372,Salt stress,48h,Grafted seedling
GSM7413373,Salt stress,96h,Grafted seedling
GSM7413374,Salt stress,96h,Grafted seedling
GSM7413375,Salt stress,96h,Grafted seedling
GSM7413376,control,0h,Self rooted seedling
GSM7413377,control,0h,Self rooted seedling
GSM7413378,control,0h,Self rooted seedling
GSM7413379,Salt stress,6h,Self rooted seedling
GSM7413380,Salt stress,6h,Self rooted seedling
GSM7413381,Salt stress,6h,Self rooted seedling
GSM7413382,Salt stress,12h,Self rooted seedling
GSM7413383,Salt stress,12h,Self rooted seedling
GSM7413384,Salt stress,12h,Self rooted seedling
GSM7413385,Salt stress,24h,Self rooted seedling
GSM7413386,Salt stress,24h,Self rooted seedling
GSM7413387,Salt stress,24h,Self rooted seedling
GSM7413388,Salt stress,48h,Self rooted seedling
GSM7413389,Salt stress,48h,Self rooted seedling
GSM7413390,Salt stress,48h,Self rooted seedling
GSM7413391,Salt stress,96h,Self rooted seedling
GSM7413392,Salt stress,96h,Self rooted seedling
GSM7413393,Salt stress,96h,Self rooted seedling
