,baseMean,log2FoldChange,lfcSE,pvalue,padj
101254567,65.48898548,-2.203130558,0.189832057,5.78E-32,1.12E-27
101254139,68.11720179,-1.954719796,0.190725251,1.86E-25,1.79E-21
101250574,191.8265446,-1.30632865,0.13783296,5.90E-22,2.28E-18
101245129,7.860076871,-4.917614405,0.520000121,5.53E-22,2.28E-18
101247608,135.8584835,-2.536398288,0.268889874,7.84E-22,2.52E-18
101256442,16.49816123,-2.536593886,0.273866349,2.27E-21,6.25E-18
101251921,5.834782559,-3.710642516,0.408272198,1.14E-20,2.75E-17
101253597,309.9354104,-1.788355897,0.198445944,4.03E-20,8.64E-17
101260559,56.57681685,-1.653607954,0.187094148,1.55E-19,2.99E-16
101256978,214.9442683,-1.174894602,0.133313562,3.08E-19,5.41E-16
101252341,95.64288963,-1.480137359,0.171136542,9.89E-19,1.59E-15
101253271,208.8376663,-1.791267125,0.207872754,1.33E-18,1.98E-15
101261290,294.083916,-1.42774752,0.166544539,2.23E-18,3.07E-15
101266827,5.166830013,-3.755628586,0.448204815,6.10E-18,7.85E-15
101250446,73.00308847,-1.459505827,0.17353182,7.42E-18,8.95E-15
101248112,288.386009,-1.800864282,0.216087398,1.55E-17,1.76E-14
101245893,64.22306211,-1.246495674,0.151169021,3.23E-17,3.47E-14
104648939,115.6633907,-1.321723393,0.161511759,5.93E-17,6.02E-14
101260870,37.80821152,-1.372381483,0.169676305,9.71E-17,9.38E-14
101253152,547.3145387,-1.221588005,0.150414297,1.19E-16,1.09E-13
101256286,271.952296,-1.874548306,0.232027488,1.28E-16,1.12E-13
101244601,47.95543431,-1.362662941,0.169260938,1.43E-16,1.20E-13
101268283,11.34215351,-2.806026905,0.351109239,1.56E-16,1.25E-13
101244617,227.6735374,-1.259486144,0.15759846,3.21E-16,2.48E-13
101258498,77.22990513,-1.125490778,0.142788007,7.49E-16,5.56E-13
101247244,304.1859022,-1.82300357,0.232388621,8.59E-16,6.08E-13
101253490,181.4986138,-1.310367004,0.166725347,8.82E-16,6.08E-13
101258206,8.806939961,-3.264684504,0.419992155,9.38E-16,6.24E-13
101247403,219.4758819,-2.403291431,0.307755075,1.16E-15,7.50E-13
112940069,171.8791664,-1.697932753,0.217906847,1.29E-15,8.03E-13
101247549,231.2432656,-1.276849588,0.163804926,1.53E-15,9.26E-13
101245686,123.4511847,-1.527931906,0.197398234,1.97E-15,1.16E-12
101266650,4.426437103,-3.441559106,0.449681198,2.04E-15,1.16E-12
101252854,3.994382362,-4.805886026,0.623137881,2.20E-15,1.21E-12
101262823,224.8940688,-1.122527418,0.144825714,2.46E-15,1.30E-12
101255896,101.4364678,-1.316025276,0.170480355,2.49E-15,1.30E-12
101246658,394.7705269,-1.45798412,0.188947212,2.65E-15,1.35E-12
101265930,243.4491777,-1.468784768,0.19143654,3.69E-15,1.83E-12
101251485,65.03315901,-1.540467472,0.20191466,4.25E-15,2.05E-12
101264431,244.7799952,-1.450581369,0.189918527,4.86E-15,2.29E-12
101248825,1008.579425,-1.253792718,0.16406058,5.45E-15,2.50E-12
101251802,245.2396066,-1.48484873,0.195670615,6.96E-15,3.12E-12
novel.580,6.84048067,-3.128008495,0.417367856,7.12E-15,3.12E-12
543562,30.55089445,-1.995561635,0.265986146,9.13E-15,3.83E-12
544138,540.2714847,-1.297126431,0.17168968,1.03E-14,4.22E-12
544221,142.9946961,-1.451242249,0.193641987,1.36E-14,5.49E-12
101261386,34.20155892,-2.155566847,0.289460424,1.48E-14,5.83E-12
101253499,60.55836015,-1.521585553,0.204007693,1.57E-14,6.07E-12
101245201,334.8842814,-1.55516901,0.208338753,1.77E-14,6.69E-12
101249995,276.0734091,-1.04160634,0.139091432,2.07E-14,7.70E-12
101254555,196.7078922,-1.739539287,0.235689757,3.10E-14,1.13E-11
101251497,243.8076017,-1.503246733,0.204745725,4.48E-14,1.60E-11
101263912,318.775556,-1.866755612,0.254760574,4.64E-14,1.63E-11
101267190,14.33146689,-2.823978566,0.388197216,4.87E-14,1.68E-11
101268693,217.3133811,-1.162310242,0.158706701,6.30E-14,2.13E-11
544291,359.0251069,-1.225624921,0.167552935,6.54E-14,2.15E-11
101254483,142.9198173,-1.160158746,0.158639104,6.58E-14,2.15E-11
101267395,37.90644509,-3.882755158,0.530309348,6.68E-14,2.15E-11
112941709,3.376977127,-5.305599215,0.772536727,8.13E-14,2.53E-11
101257576,29.9909853,-3.603160931,0.496667676,9.44E-14,2.85E-11
101265616,106.3664558,-1.158930025,0.160210071,1.15E-13,3.41E-11
101268633,460.6778373,-1.288234704,0.178244757,1.21E-13,3.53E-11
101249905,395.0791943,-1.445372376,0.200872336,1.39E-13,3.99E-11
101247948,89.94116749,-1.79094671,0.250547892,1.60E-13,4.48E-11
101249479,323.9779757,-1.527174525,0.21318842,1.68E-13,4.63E-11
101247801,234.2523635,-1.530142037,0.213856096,1.76E-13,4.78E-11
101249254,239.4851971,-1.609126007,0.225632378,2.03E-13,5.45E-11
101268580,397.4152431,-1.041549383,0.145905834,2.86E-13,7.47E-11
101265312,451.9234627,-1.685761881,0.238670906,3.35E-13,8.51E-11
101255099,6.129167879,-2.526212274,0.363770111,3.41E-13,8.54E-11
101257389,14.13174498,-1.744821711,0.251257682,4.27E-13,1.06E-10
101251323,76.94665634,-1.137006893,0.161652846,4.79E-13,1.16E-10
101265538,48.50102914,-1.214078254,0.173127789,4.78E-13,1.16E-10
101258239,39.3377093,-1.307562523,0.186970906,4.87E-13,1.16E-10
101249290,178.4226562,-1.080759768,0.153297767,4.98E-13,1.17E-10
101251086,384.5257576,-1.286135775,0.184940603,8.67E-13,1.99E-10
101243657,4.107271744,-4.975730601,0.725325778,1.19E-12,2.71E-10
101244904,119.5479235,-1.341186783,0.194606185,1.21E-12,2.72E-10
101261182,150.2725858,-1.790020481,0.260589368,1.24E-12,2.74E-10
novel.961,2.478088924,-5.386750443,0.894200925,1.25E-12,2.74E-10
3950502,11.71101016,-3.067336324,0.450650901,1.47E-12,3.20E-10
104646538,4.424929245,-3.580521171,0.529944385,1.62E-12,3.47E-10
104645327,6.246860861,-5.177190828,0.759909503,1.94E-12,4.07E-10
778344,463.4626546,-1.051163392,0.153244637,2.11E-12,4.38E-10
101258620,177.594203,-1.359669928,0.199662781,2.20E-12,4.52E-10
101245693,9.278812092,-2.699761404,0.402067384,2.23E-12,4.54E-10
101267290,350.2377708,-1.243579085,0.182381718,2.31E-12,4.64E-10
101247384,310.7330734,-1.259913085,0.185363969,2.65E-12,5.27E-10
101259442,314.8120926,-1.59763405,0.236667159,3.06E-12,5.97E-10
101265959,3.429036187,-4.06760797,0.608839927,3.04E-12,5.97E-10
101250944,4.791110535,-2.653401949,0.401244469,3.30E-12,6.37E-10
101245249,224.9530784,-1.417835753,0.210436792,3.55E-12,6.79E-10
101254027,395.5654801,-1.279959784,0.189698401,3.71E-12,7.01E-10
101267506,11.98084235,-2.665773731,0.400923618,3.96E-12,7.41E-10
101259918,29.9262681,-2.962894008,0.442331762,4.06E-12,7.53E-10
101246627,280.9644666,-3.017740494,0.449349503,4.43E-12,8.06E-10
104648118,4.591702649,-3.020411929,0.458747247,4.42E-12,8.06E-10
101257282,147.3745385,-1.319520057,0.196706819,4.49E-12,8.09E-10
101244902,18.02562636,-1.589762673,0.240328704,4.85E-12,8.67E-10
101260522,280.4033642,-2.077196247,0.311981714,5.56E-12,9.86E-10
3950446,146.1124805,-3.620541725,0.541237468,6.47E-12,1.13E-09
101254318,104.6322113,-1.919040456,0.290099782,6.90E-12,1.19E-09
101256502,16.54981971,-3.259955518,0.493825056,7.48E-12,1.28E-09
101259909,22.27535044,-1.629453117,0.248527655,7.86E-12,1.32E-09
101265521,52.03450888,-1.27697338,0.193395174,8.10E-12,1.35E-09
101253452,520.2775568,-1.36102845,0.205477145,8.22E-12,1.35E-09
104649471,3.802004067,-3.369836176,0.518233972,8.25E-12,1.35E-09
101251708,11.20919524,-2.163783513,0.333444943,9.78E-12,1.59E-09
544119,11.44402858,-3.266451967,0.501060049,1.14E-11,1.83E-09
101268775,53.46254165,-1.56888794,0.240248494,1.17E-11,1.87E-09
101245205,96.81254627,-1.693080995,0.259553085,1.30E-11,2.06E-09
101263823,26.3528525,-1.720784321,0.265733214,1.42E-11,2.21E-09
novel.578,6.216559749,-3.04601615,0.473948795,1.49E-11,2.30E-09
101260624,315.6437157,-1.078165447,0.164503244,1.62E-11,2.48E-09
101252219,271.6910896,-1.480794282,0.228886762,2.13E-11,3.24E-09
