,baseMean,log2FoldChange,lfcSE,pvalue,padj
100316894,293.2388068,2.168468014,0.222605623,1.05E-23,6.77E-20
101260164,207.8028889,1.759789289,0.236668775,7.49E-15,3.21E-12
101249794,239.2548665,2.930652777,0.420462798,7.43E-14,2.35E-11
101265426,238.0141259,3.381069506,0.488745356,8.47E-14,2.60E-11
101253759,120.9054966,5.526487081,0.795404007,1.56E-13,4.42E-11
101261835,73.41231413,3.350580096,0.483448295,2.12E-13,5.62E-11
101262661,248.3214295,3.784117571,0.564285028,3.13E-13,8.05E-11
101260084,78.64157902,2.257290194,0.332570946,7.56E-13,1.76E-10
101263630,85.92090932,3.688065163,0.560467817,1.67E-12,3.54E-10
101250584,130.3667508,5.584518126,0.901534618,1.38E-11,2.17E-09
101248026,86.44196826,3.326551144,0.541560744,2.63E-11,3.87E-09
101250767,59.01704612,2.739051994,0.443473358,3.74E-11,5.20E-09
101253585,608.8328113,2.647253771,0.439512392,4.00E-11,5.48E-09
101263441,637.8763464,4.687193252,0.807710455,4.51E-11,5.96E-09
101263239,199.9262802,1.475515028,0.242718141,1.12E-10,1.39E-08
101255324,97.90087713,2.544810266,0.429140227,1.18E-10,1.45E-08
101248778,298.6754301,1.877029111,0.316608852,1.56E-10,1.83E-08
101249123,59.95698401,2.962205832,0.510069063,2.91E-10,3.19E-08
778336,332.982653,2.41513363,0.424735095,4.13E-10,4.34E-08
543521,201.9168113,1.693589144,0.29642162,7.31E-10,7.09E-08
101261529,70.42405828,2.732885337,0.489710039,9.59E-10,8.82E-08
101245840,113.1813,2.807864094,0.519303861,1.77E-09,1.52E-07
101257012,62.85129187,2.264566446,0.413669495,2.45E-09,2.00E-07
101266879,540.2696089,4.313346585,0.846262111,2.61E-09,2.10E-07
101260562,69.10582981,1.600516476,0.29114686,3.89E-09,3.02E-07
101268268,59.20274428,1.927059828,0.354375171,4.09E-09,3.16E-07
101254960,53.90355289,3.740358055,0.71098034,5.36E-09,3.92E-07
101267981,153.3447839,3.695120943,0.733637434,6.77E-09,4.75E-07
101248124,266.3150058,4.837722247,0.994609077,7.94E-09,5.50E-07
101265728,100.2190554,1.76037464,0.332755172,8.37E-09,5.71E-07
543923,72.13557166,2.087680512,0.39757298,8.36E-09,5.71E-07
104645665,30.70157069,4.171134971,0.76291167,8.32E-09,5.71E-07
101249144,90.27791406,3.728196602,0.748856812,1.22E-08,8.01E-07
101254878,37.58256563,1.925903173,0.36408382,1.29E-08,8.28E-07
101255191,27.2710794,2.305857731,0.436551797,1.45E-08,9.09E-07
101244894,187.0765587,3.090401323,0.62798961,1.59E-08,9.86E-07
101254223,61.4035786,2.393227764,0.473949608,2.02E-08,1.22E-06
101268294,40.2351082,2.206367038,0.433752841,2.67E-08,1.55E-06
544103,132.3724726,1.842086345,0.369561151,3.40E-08,1.93E-06
101244006,26.72922431,2.547871651,0.500239384,3.76E-08,2.09E-06
101251458,72.83849801,1.057133371,0.202004223,3.81E-08,2.11E-06
101268013,80.48085101,2.277512001,0.466037188,4.24E-08,2.28E-06
543680,59.18339821,1.625545493,0.322648113,4.48E-08,2.39E-06
101259182,1474.440091,2.084441607,0.433426854,5.19E-08,2.74E-06
101261722,72.10945401,2.204479171,0.460309391,7.52E-08,3.81E-06
778212,174.769584,3.821477031,0.851218737,7.91E-08,3.95E-06
544207,80.76907682,2.415746359,0.510180665,7.97E-08,3.96E-06
101250420,74.72198303,2.97923712,0.647181626,1.06E-07,5.10E-06
101266883,185.7117465,5.201874214,1.215692413,1.18E-07,5.58E-06
100316895,146.6948835,2.813290602,0.620613646,1.21E-07,5.67E-06
101251018,32.25872391,4.178001222,0.867091323,1.24E-07,5.81E-06
543516,46.68158174,1.458378193,0.299129101,1.42E-07,6.53E-06
101257817,28.03610281,1.795703379,0.369413575,1.57E-07,7.09E-06
101259925,26.32595659,2.016054336,0.418983483,1.77E-07,7.85E-06
544099,169.7649056,1.430888484,0.30184437,1.90E-07,8.33E-06
101263158,162.5914484,1.645023446,0.35294798,2.02E-07,8.68E-06
101249493,35.60206439,1.305286418,0.267602158,2.13E-07,9.06E-06
101244314,108.2719755,1.281090196,0.269421304,2.48E-07,1.03E-05
778273,68.38571124,4.21326507,0.974308428,2.64E-07,1.09E-05
101250444,69.08608771,2.517855113,0.565359839,2.78E-07,1.13E-05
101257269,31.29427916,2.728801335,0.598415567,3.07E-07,1.23E-05
101251527,121.1370072,2.226890566,0.504980369,3.52E-07,1.37E-05
101268860,36.20598179,3.125524792,0.70232931,3.70E-07,1.43E-05
101247345,28.07912087,1.537097236,0.327104969,4.29E-07,1.64E-05
101251005,119.9852897,3.666997212,0.892888678,4.93E-07,1.84E-05
544109,348.6041988,1.391101046,0.307893442,5.39E-07,2.00E-05
101255830,33.66226347,1.252564759,0.266629935,5.59E-07,2.06E-05
novel.108,17.48984604,2.537975872,0.546023636,5.79E-07,2.12E-05
543691,53.65552581,1.667023264,0.371848835,6.14E-07,2.22E-05
