Gene_id,,6h,,,12h,,,24h,,,48,,,96h,
,,,,,,,,,,,,,,,
,,log2FoldChange,padj,,log2FoldChange,padj,,log2FoldChange,padj,,log2FoldChange,padj,,log2FoldChange,padj
101247011,,0.446482968,0.434947912,,0.27893477,0.711610981,,-0.59585,0.167657119,,-0.29341,0.606729,,-0.12088,0.884688322
543967,,-0.948787777,0.012279129,,-0.068613984,0.938533989,,-1.40974,0.000352545,,-0.66734,0.08575,,-0.62263,0.118501807
543873,,0.316889862,0.577044181,,-0.660793,0.202282346,,0.223101,0.573065629,,-0.05279,0.957109,,1.018365,0.027161034
101244782,,-0.00820772,0.996747635,,-0.087363668,0.936060291,,-0.02338,0.967092273,,0.033865,0.970269,,-0.03312,0.9705648
101245573,,-0.061557937,0.922315739,,0.77939058,0.027210783,,-0.11523,0.808613453,,0.341796,0.434037,,0.209637,0.705622693
101268729,,3.740107718,0.002837837,,1.747091158,0.081552763,,0.145707,NA,,3.969086,0.002777,,3.222538,0.012513567
543874,,-2.854280661,1.26E-05,,-0.084573803,0.935325695,,-1.95101,0.003578614,,-0.66592,0.19747,,-2.89612,1.95E-05
544258,,0.080661875,0.892075514,,-0.090743344,0.90314859,,-0.79569,0.027696296,,-1.05599,0.004815,,-0.19417,0.724030705
101244293,,0.302329613,0.617583154,,0.27398921,0.711018066,,1.778225,0.000295189,,4.408164,1.19E-22,,3.811784,3.88E-17
101261090,,-0.620480589,0.057384333,,0.043892343,0.949640098,,-0.19015,0.621839162,,-0.3889,0.289459,,-0.38857,0.295716576
778202,,-2.649798827,0.003826201,,-1.89482882,0.02113303,,-2.27383,NA,,-1.82213,0.025352,,-1.84622,0.025236113
101256097,,0.38040358,0.579947622,,0.069114191,0.947316466,,0.295949,NA,,0.228959,0.695626,,0.001722,0.998705541
101265942,,0.141605258,0.668504107,,-0.197555816,0.606346888,,0.305471,0.228661787,,0.273512,0.362729,,0.086725,0.871981094
101254819,,0.146539047,0.66283612,,-0.074410082,0.891121487,,0.633015,0.004583599,,0.290658,0.329482,,0.35052,0.200168129
