Run,agent,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time_point,tissue
SRR24708817,Salt stress,RNA-Seq,300,7422374700,PRJNA975510,SAMN35329989,2438106658,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX20487514,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413393,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:11:00Z,1,GSM7413393,Leaves,SRP439150,96h,Self rooted seedling
SRR24708818,Salt stress,RNA-Seq,300,7662689700,PRJNA975510,SAMN35329990,2489036876,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX20487513,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413392,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:11:00Z,1,GSM7413392,Leaves,SRP439150,96h,Self rooted seedling
SRR24708819,Salt stress,RNA-Seq,300,8854155600,PRJNA975510,SAMN35329991,2840232737,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX20487512,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413391,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:10:00Z,1,GSM7413391,Leaves,SRP439150,96h,Self rooted seedling
SRR24708820,Salt stress,RNA-Seq,300,7877546400,PRJNA975510,SAMN35329992,2549593138,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX20487511,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413390,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:16:00Z,1,GSM7413390,Leaves,SRP439150,48h,Self rooted seedling
SRR24708821,Salt stress,RNA-Seq,300,7673662500,PRJNA975510,SAMN35329993,2442571348,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX20487510,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413389,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:11:00Z,1,GSM7413389,Leaves,SRP439150,48h,Self rooted seedling
SRR24708822,Salt stress,RNA-Seq,300,7552866600,PRJNA975510,SAMN35329994,2497034417,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX20487509,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413388,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:06:00Z,1,GSM7413388,Leaves,SRP439150,48h,Self rooted seedling
SRR24708823,Salt stress,RNA-Seq,300,8432790600,PRJNA975510,SAMN35329995,2653128272,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX20487508,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413387,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:07:00Z,1,GSM7413387,Leaves,SRP439150,24h,Self rooted seedling
SRR24708824,Salt stress,RNA-Seq,300,8486571000,PRJNA975510,SAMN35329996,2812983725,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX20487507,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413386,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:12:00Z,1,GSM7413386,Leaves,SRP439150,24h,Self rooted seedling
SRR24708825,Salt stress,RNA-Seq,300,7715647800,PRJNA975510,SAMN35329997,2484730129,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX20487506,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413385,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:06:00Z,1,GSM7413385,Leaves,SRP439150,24h,Self rooted seedling
SRR24708826,Salt stress,RNA-Seq,300,8449225200,PRJNA975510,SAMN35329998,2689999910,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX20487505,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413384,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:04:00Z,1,GSM7413384,Leaves,SRP439150,12h,Self rooted seedling
SRR24708827,Salt stress,RNA-Seq,300,7843727100,PRJNA975510,SAMN35329999,2457209791,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX20487504,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413383,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:08:00Z,1,GSM7413383,Leaves,SRP439150,12h,Self rooted seedling
SRR24708828,Salt stress,RNA-Seq,300,7505950500,PRJNA975510,SAMN35330000,2392209325,HEBEI AGRICULTURAL UNIVERSITY,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX20487503,uncalculated,uncalculated,missing,Illumina HiSeq 2000,GSM7413382,PAIRED,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2023-06-21T00:00:00Z,2023-05-23T18:04:00Z,1,GSM7413382,Leaves,SRP439150,12h,Self rooted seedling
