,Solyc02g084850,Solyc03g116390,Solyc04g081900,Solyc01g087180,Solyc07g063410,Solyc03g007230,Solyc10g081980,Solyc12g098900,Solyc03g019820,Solyc10g078770,Solyc06g068620,Solyc04g005250,Solyc08g075280,Solyc09g075890,Solyc02g081560,Solyc07g017610,Solyc01g096320,Solyc08g083130,Solyc06g067980,Solyc06g050800,Solyc10g080670,Solyc03g111100,condition
GSM7413358,1.003126406,1.003126406,10.03126406,1.003126406,4.012505623,9.028137652,5.015632029,1.003126406,0,1.003126406,6.018758434,4.012505623,13.04064327,1.003126406,3.009379217,10.03126406,15.04689609,1.003126406,9.028137652,1.003126406,6.018758434,9.028137652,0
GSM7413359,1.984416363,8.929873634,31.75066181,1.984416363,23.81299636,25.79741272,10.91429,0.992208182,0,8.929873634,10.91429,6.945457271,21.82857999,0.992208182,3.968832726,22.82078818,55.56365817,2.976624545,19.84416363,0.992208182,45.64157635,23.81299636,0
GSM7413360,3.929598307,0.982399577,18.66559196,0.982399577,17.68319238,34.38398518,6.876797037,3.929598307,0.982399577,1.964799153,9.823995767,7.859196614,26.52478857,1.964799153,6.876797037,14.73599365,64.83837206,3.929598307,21.61279069,0.982399577,14.73599365,25.54238899,0
GSM7413361,198.0055141,8.955023249,59.70015499,10.94502841,30.84508008,93.53024282,65.67017049,6.965018082,7.960020665,34.82509041,42.78511108,10.94502841,109.4502841,10.94502841,20.89505425,56.71514724,17.9100465,10.94502841,42.78511108,10.94502841,405.9610539,9.950025832,1
GSM7413362,31.46329817,17.69810522,59.97691215,15.73164909,44.24526306,108.1550875,128.8028769,9.83228068,10.81550875,66.85950862,20.64778943,9.83228068,72.75887703,37.36266658,56.04399987,93.40666646,13.76519295,8.849052612,58.99368408,10.81550875,427.7042096,13.76519295,1
GSM7413363,41.97946888,8.786400463,53.69466949,3.905066872,45.88453575,110.3181391,39.05066872,11.71520062,18.54906764,17.57280093,70.2912037,17.57280093,110.3181391,18.54906764,29.28800154,60.52853652,27.33546811,25.38293467,40.02693544,13.66773405,534.9941615,15.62026749,1
GSM7413364,57.29356294,5.025751135,91.46867066,6.030901362,24.12360545,277.4214627,42.21630954,11.0566525,3.015450681,10.05150227,167.8600879,27.13905613,73.37596658,24.12360545,25.12875568,17.08755386,109.5613748,63.32446431,16.08240363,15.07725341,193.9939938,111.5716752,1
GSM7413365,118.2264175,20.03837584,70.13431544,20.03837584,31.05948255,318.6101759,148.2839812,20.03837584,9.017269128,24.04605101,96.18420403,33.06332014,79.15158457,53.10169598,40.07675168,20.03837584,81.15542215,120.230255,62.1189651,16.03070067,329.6312826,77.14774698,1
GSM7413366,83.48020939,9.052070898,60.34713932,4.023142621,18.1041418,256.4753421,24.13885573,9.052070898,2.011571311,5.028928277,168.9719901,26.15042704,87.50335201,20.11571311,25.14464138,17.09835614,72.41656718,48.27771145,24.13885573,13.07521352,206.1860593,57.32978235,1
GSM7413367,62.54918379,26.80679305,44.67798842,26.80679305,18.86403956,242.2539817,77.4418466,56.59211867,8.935597684,26.80679305,13.89981862,29.78532561,57.58496286,8.935597684,6.94990931,49.64220936,128.0769001,44.67798842,296.860412,8.935597684,28.79248143,181.6904863,1
