,Main,Edit
1,Solyc10g081980.2,Solyc10g081980
2,Solyc04g005250.3,Solyc04g005250
3,Solyc02g084850.3,Solyc02g084850
4,Solyc10g080670.2,Solyc10g080670
5,Solyc08g075280.3,Solyc08g075280
6,Solyc03g111100.1,Solyc03g111100
7,Solyc03g019820.3,Solyc03g019820
8,Solyc01g096320.3,Solyc01g096320
9,Solyc02g081560.1,Solyc02g081560
10,Solyc07g017610.3,Solyc07g017610
11,Solyc06g050800.3,Solyc06g050800
12,Solyc10g078770.2,Solyc10g078770
13,Solyc04g081900.3,Solyc04g081900
14,Solyc03g116390.3,Solyc03g116390
15,Solyc06g068620.3,Solyc06g068620
16,Solyc09g075890.3,Solyc09g075890
17,Solyc06g067980.3,Solyc06g067980
18,Solyc12g098900.2,Solyc12g098900
19,Solyc07g063410.3,Solyc07g063410
20,Solyc08g083130.3,Solyc08g083130
21,Solyc03g007230.3,Solyc03g007230
22,Solyc01g087180.3,Solyc01g087180
