,From,To
26,101246280,Solyc01g087180
167,101262661,Solyc01g096320
149,101260892,Solyc02g081560
2,544056,Solyc02g084850
36,101249794,Solyc03g007230
77,101251154,Solyc03g019820
210,101267981,Solyc03g111100
5,100750252,Solyc03g116390
123,101255191,Solyc04g005250
22,101245840,Solyc04g081900
198,101267241,Solyc06g050800
193,101265833,Solyc06g067980
109,101254501,Solyc06g068620
165,101261722,Solyc07g017610
35,101248026,Solyc07g063410
134,101255324,Solyc08g075280
168,101263630,Solyc08g083130
148,101255829,Solyc09g075890
100,101253038,Solyc10g078770
200,101267365,Solyc10g080670
53,101249973,Solyc10g081980
65,101250584,Solyc12g098900
