EnsID,Solyc01g105660,Solyc02g061770,Solyc02g062040,Solyc02g084850,Solyc03g098100,Solyc03g098240,Solyc03g121880,Solyc04g005250,Solyc04g009860,Solyc04g071780,Solyc04g081900,Solyc06g050130,Solyc06g066600,Solyc06g068620,Solyc06g074940,Solyc07g063870,Solyc08g068730,Solyc08g078040,Solyc08g083110,Solyc09g008350,Solyc09g064820,Solyc09g075820,Solyc12g008840,Solyc12g013620,Solyc12g014100,Solyc12g019740,condition
GSM2830490,2.162483333,3.71609375,4.019602083,2.438649583,1.281614167,3.347038542,4.4597675,2.401206667,7.317725,2.96188625,3.761430417,6.149455417,4.295071667,3.977478333,4.102496667,7.035959583,10.74464167,6.443211667,4.49724625,7.50130875,2.506174792,7.463875,6.605968333,7.32441375,5.822005,6.341160833,0
GSM2830491,2.799077083,3.876865,4.3803475,3.029306667,1.314452083,3.457045,4.570777917,2.844363333,7.3671275,3.86232375,3.994119583,5.969025417,4.512453333,3.763372917,4.802549167,6.693889583,10.93525833,6.413905,4.62388375,7.749645,2.51052,7.605979167,6.786605,7.426377083,5.953465417,6.392870417,0
GSM2830492,2.404784167,4.36887625,4.242415833,2.43842,1.338375417,3.12814375,4.535508333,2.844518333,7.292739583,3.6340675,3.679316667,6.16760375,4.514020833,3.725784583,4.4683975,7.045416667,10.92326667,6.513905417,4.5501225,7.55157125,1.984259583,7.641270833,6.7809425,7.511977083,5.79424125,6.366657083,0
GSM2830493,5.225068333,3.078907083,4.464216667,7.7808425,2.14107625,3.273179583,5.219920417,3.3938175,7.156609583,2.185757083,6.018497083,7.113759167,5.910105833,4.812092917,4.843783333,7.292215417,10.3497875,6.165738333,5.363077917,7.696150833,5.826135417,7.51774875,7.32175125,7.144285833,6.026039583,6.932643333,1
GSM2830494,5.484272083,3.248282917,4.77531125,7.879612083,2.680450417,3.52385125,5.305147083,3.333575833,7.2464325,2.434274583,5.928434167,7.113339167,6.078874583,4.8783875,4.92412875,7.313797917,10.31252292,6.164905417,5.41710875,7.6809,6.216209167,7.426937917,7.459170417,7.392227083,6.227233333,6.900799583,1
GSM2830495,5.377835833,3.206393333,4.534927917,7.747652917,2.75659,3.624730417,5.356815417,3.568929167,7.350650417,2.432044583,6.013019583,7.15695125,5.9746475,4.756742917,5.330641667,7.25526375,10.3497875,6.366197917,5.440344167,7.786885,5.900943333,7.45866875,7.350252083,7.254630833,6.14003875,6.84387875,1
GSM2830496,1.869204167,1.957049167,4.42918125,1.826755417,1.378000417,1.822394583,3.850784583,2.4069325,5.10523625,1.2419675,3.17841625,5.82497625,3.960619375,2.158181667,3.2440325,6.226563333,7.990639167,3.917080417,3.4229275,5.881488333,2.17284625,4.926514167,6.24899625,3.631260417,5.313262083,5.699740417,0
GSM2830497,1.49349625,2.226855417,4.375813333,2.35719125,1.279201667,1.873649167,3.97729,2.500730417,5.023992083,1.035081917,3.23784125,5.808122083,3.768312917,2.313844167,3.421692083,6.354582917,7.705484167,4.144568333,4.05221125,5.672167917,1.959275833,4.626736667,6.02071875,3.423186667,5.531164167,5.661302917,0
GSM2830498,1.832075,1.649007708,4.31867625,1.781935833,1.284940417,1.811720833,3.777634167,2.524325417,5.027427917,1.513079583,3.367710833,5.79733375,3.413996667,2.642149167,2.960389583,6.405283333,7.765998125,3.93192625,3.65017875,5.95266125,2.051836667,4.84466,6.19009625,3.557119583,5.537227917,5.836988333,0
GSM2830499,4.902763333,3.22975,5.71493375,7.47980125,2.466712917,4.291129167,5.744135833,4.33383,6.17914875,3.164159583,6.24418125,7.154382917,6.269248333,3.299951667,5.366633333,7.45239875,10.17020458,6.887732917,5.89160875,7.006073333,4.124582917,7.031329583,7.519496667,7.4092425,6.855969583,6.947080833,1
GSM2830500,5.077322083,3.342654167,5.462385,7.566897083,2.434652917,4.51511,5.817934792,4.287842917,5.863099167,3.37614625,6.251482917,7.14077625,6.20219125,3.291969167,5.293905833,7.456149167,10.14949042,6.92860625,6.08731125,7.036828333,4.12740875,7.112375417,7.541536667,7.418238333,6.898309167,7.013312917,1
GSM2830501,4.753391667,2.707814167,4.804721667,6.712720417,2.566109583,3.331841458,4.851229167,3.156220417,6.174005,2.288917917,5.155201667,7.242617917,5.45625375,4.079305833,3.963761667,7.501710833,9.714614167,6.74787375,5.813037083,7.404727083,3.726483333,7.567827917,7.777742917,6.584795,6.191433333,6.41924625,1
GSM2830502,5.200006667,1.41259,3.928919167,3.244618333,1.485099583,3.098323333,5.435597083,3.480654583,2.6436075,1.136567917,4.961897917,5.077322083,4.746516667,2.7204425,3.094716667,6.866444167,1.480407083,3.040097083,5.66204875,6.191934583,1.643001667,4.259924583,4.405679167,6.200378333,5.030849167,7.201270833,0
GSM2830503,5.132344167,1.48619375,4.01056,2.943437917,1.527987917,2.685489583,5.702885833,3.5673175,2.775893333,1.164484167,5.056620833,5.312983333,4.586294167,2.80216375,2.889857917,6.89305875,2.358135833,3.154870833,5.67869375,6.214090833,2.110033333,4.492490417,4.67297625,6.304618333,4.942331667,7.3299475,0
GSM2830504,4.996727083,1.435494167,3.721499583,3.2771175,1.41016,3.22528625,5.676798333,3.283889167,2.397172083,1.333304167,5.137609167,5.07134375,4.558027917,2.59145625,4.076769583,6.886719583,2.098040833,3.110805833,5.836195417,6.20187125,3.070757083,4.487523333,4.222214167,6.44890625,5.264831667,7.16267625,0
GSM2830505,7.259900833,1.542652083,4.771260833,9.025021667,1.80916625,2.773582917,6.52240375,3.879669583,5.252684167,7.068176667,6.969165833,5.429577917,5.00853,5.115010417,4.752357083,7.597642083,4.196570417,6.769331667,5.661010417,7.6745025,3.374930417,7.009351667,4.02216875,7.229200417,6.356632917,7.6886025,1
GSM2830506,7.294750833,1.552694167,4.79049625,9.04469,1.84395625,3.06165625,6.363662917,3.59399625,5.591040833,6.986995417,6.71797,5.492679167,5.00497875,5.12829375,4.607577917,7.715727917,3.716786875,6.990842083,5.67869375,7.531183333,3.5832225,7.113339167,4.24152375,7.277294583,6.34208625,7.820378333,1
GSM2830507,7.22597125,1.64079125,4.853949167,9.018355833,1.442232708,2.630407083,6.257689583,3.732549167,5.601952083,7.119714583,6.8199725,5.410420833,4.944356667,5.475038333,4.680097917,7.536104583,3.59128875,6.83325,5.634557917,7.628672917,3.41002,7.17094625,4.331441667,7.176122917,6.443211667,7.80817125,1
GSM2830508,3.437619167,1.437715,3.078907083,2.256068333,1.544378542,2.090454583,4.341369583,2.509440417,1.841788333,1.578110833,4.20802875,4.479805417,4.401308333,1.969516875,2.476643333,6.872367917,2.702540417,2.3326875,3.6248875,5.614942083,2.009603958,3.889354167,4.05221125,4.623667917,4.062346667,5.593234167,0
GSM2830509,3.786200417,1.786044375,3.477491667,3.26896125,1.503011667,2.321295833,4.62866875,2.722407083,3.075310833,1.3052525,3.573591667,4.376353333,3.652882917,2.011770417,3.832817083,7.05284,4.6299375,2.860697083,2.684639583,5.223647917,2.152696667,4.832975417,4.215745833,5.692785417,4.111787708,6.5613375,0
GSM2830510,3.56841375,1.869585417,3.846727083,2.849592083,1.559260417,1.86449125,4.731825208,2.567741667,1.925417917,1.364657917,3.71270375,3.122129583,3.702771667,2.031446458,3.024690417,7.117420833,4.651938333,3.636395,2.82572,5.024718333,3.02512,4.58791625,4.070369167,5.5483975,4.242647083,6.85905375,0
GSM2830511,7.157674167,3.411248333,5.032490833,8.030115417,3.418593958,3.807711667,5.952963333,4.146494583,5.101212917,4.228042917,7.22810625,7.315964583,5.234174167,5.684775833,4.560592917,8.362913333,5.975407917,6.64013,4.211870417,7.267689167,3.371582917,7.884775833,4.81696625,7.152560833,6.538552083,8.233973333,1
GSM2830512,7.051445417,3.2647675,4.586541667,8.129555,2.83510375,3.924992083,5.923846667,4.633005833,5.109375833,4.631395,7.241146667,7.315964583,5.092105,5.774165,4.5923475,8.39207625,5.94129875,6.802249167,4.491655833,7.231294583,3.678285833,7.971317083,4.865925417,7.12661625,6.587622917,8.2715,1
GSM2830513,7.108735417,2.669065833,4.27804,8.146199167,4.029100417,3.967829167,5.995643333,4.24348625,4.935230833,3.891878333,7.427917083,7.22810625,5.136303333,5.779495417,4.6073675,8.43057625,5.91927375,6.81862,4.29532,7.20255625,3.922382083,7.988357083,5.033982083,7.163071667,6.514752083,8.124492083,1
GSM412055,455.0995,434.561,272.51225,4467.420833,346.2084167,701.2268333,97.33195,57.93184167,654.9715833,809.767,1700.515833,261.6969167,437.9234167,1209.583083,358.73425,11.26588667,1655.3675,41.25941667,80.11129167,563.66075,159.7545,2184.0775,433.7169167,1289.7225,721.53325,559.8205,0
GSM412056,1185.324917,936.3861667,479.4178333,12677.73333,4552.865,3308.8225,244.2450833,238.3349167,1770.9025,1296.321667,8508.18,708.23625,3006.3825,3882.636667,3069.560833,54.76956667,5095.343333,272.1431667,1002.986333,1425.840833,5436.026667,6063.499167,1415.805833,6742.938333,2432.109167,3013.516667,1
GSM412057,640.471,124.6605167,122.8045333,5324.95,384.1040833,2222.436667,143.5029167,83.21235833,773.9085833,140.2129167,1754.1775,420.2085,590.5485833,557.201,397.97875,16.58824167,2485.3875,46.268225,136.3065,347.9685833,434.7065833,1124.440167,831.5978333,1968.9775,797.9436667,1005.979,0
GSM412058,2445.049167,461.9493333,462.6165833,12479.85833,5991.866667,7517.595,278.6428333,322.2516667,1415.805833,853.8320833,8103.4,1389.125,3287.966667,1059.31975,2764.655,48.46168333,5129.809167,244.1221667,1547.2875,684.1780833,3789.976667,2853.548333,5120.879167,6125.293333,2229.695833,2920.07,1
GSM412063,481.7705,471.4479167,278.8896667,3515.8775,396.2749167,704.1461667,122.1967,76.26373333,706.7030833,473.2374167,2222.436667,262.0075833,492.4650833,971.9375,386.28,4.549405833,2104.540833,55.38593333,83.287175,624.0261667,143.5029167,2445.819167,421.7490833,1284.083333,857.3375833,740.7159167,0
GSM412064,1114.793167,898.4716667,586.1625417,12151.7825,4306.833333,3639.128333,243.5894167,256.438,1592.141667,968.082,8971.671667,1009.6835,2931.4975,4487.4125,3033.513333,47.419725,4986.1425,190.2195,956.0285833,1415.805833,6277.219167,5362.205833,1842.0475,6907.383333,2553.043333,3214.706667,1
GSM412065,635.7968333,329.5739167,224.9135833,4487.4125,136.0550833,560.7875833,115.6720333,89.85969167,542.35425,392.34925,1757.761667,239.1698333,425.7285,1211.4115,373.5671667,1.6744675,1587.04,35.99035,115.2116083,592.6904167,180.5249167,1886.185833,259.2451667,904.91575,733.8425833,519.6555,0
GSM412066,1142.880917,1014.609833,492.0560833,12479.85833,4675.025,2757.853333,227.2151667,216.3498333,1538.755833,978.78975,8822.5775,759.364,2853.548333,3814.510833,2996.975833,50.85340833,5067.719167,219.6633333,834.2435,1273.969167,5395.970833,5815.956667,1264.48075,7011.185,2195.604167,2667.6825,1
GSM412067,788.79375,127.0311417,150.203875,7100.8,542.2070833,2360.769167,131.2924833,86.90833333,838.1856667,135.011225,1997.710833,409.2266667,750.9228333,549.0118333,408.8636667,12.86233667,2047.335,82.79415,171.6638333,342.86225,481.6725833,1208.527417,868.3951667,1869.550833,694.8196667,863.6861667,0
GSM412068,2632.916667,404.2601667,375.74375,12479.85833,5982.6275,7531.076667,212.6924167,325.4640833,1507.605,725.0236667,7222.685833,1288.573333,3171.360833,997.3959167,2830.3375,42.97175,4642.239167,230.84475,1844.51,710.6679167,3556.796667,2790.870833,4133.978333,5468.209167,2223.925,2847.798333,1
GSM412069,713.95825,92.18375833,110.79815,5095.343333,306.24025,1810.296667,115.2116083,89.08115,605.1735,99.38903333,1690.8825,462.0715833,595.0886667,372.487,331.5223333,7.618819167,1847.701667,37.31135833,144.97525,360.1519167,318.9141667,1075.870833,769.7344167,1412.776667,702.4013333,936.1593333,0
GSM412070,2038.865833,407.0485,356.1883333,11337.16917,6063.499167,6615.83,231.1140833,343.2933333,1937.3,955.2683333,6970.115,1175.635,2573.575833,1172.016417,2401.293333,54.18415,5548.770833,362.31625,1247.40725,766.133,3639.128333,3762.621667,4306.833333,5877.405,1804.761667,2952.033333,1
