Main,Edit
Solyc04g077010.3,Solyc04g077010
Solyc09g005660.3,Solyc09g005660
Solyc04g072700.3,Solyc04g072700
Solyc12g006930.2,Solyc12g006930
Solyc01g109110.3,Solyc01g109110
Solyc12g045030.2,Solyc12g045030
Solyc04g077850.3,Solyc04g077850
Solyc03g119810.1,Solyc03g119810
Solyc06g076130.3,Solyc06g076130
Solyc10g081980.2,Solyc10g081980
Solyc02g093110.3,Solyc02g093110
Solyc08g075020.3,Solyc08g075020
Solyc09g014900.3,Solyc09g014900
Solyc02g071280.3,Solyc02g071280
Solyc10g085970.2,Solyc10g085970
Solyc03g112230.3,Solyc03g112230
Solyc00g136560.3,Solyc00g136560
Solyc03g033410.3,Solyc03g033410
Solyc05g041200.3,Solyc05g041200
Solyc04g005250.3,Solyc04g005250
Solyc02g093150.3,Solyc02g093150
Solyc02g085610.3,Solyc02g085610
Solyc03g095310.3,Solyc03g095310
Solyc03g005450.3,Solyc03g005450
Solyc02g084850.3,Solyc02g084850
Solyc10g078440.1,Solyc10g078440
Solyc04g005610.3,Solyc04g005610
Solyc07g049530.3,Solyc07g049530
Solyc03g007960.3,Solyc03g007960
Solyc07g065680.3,Solyc07g065680
Solyc08g077560.3,Solyc08g077560
Solyc03g098100.3,Solyc03g098100
Solyc10g008880.3,Solyc10g008880
Solyc06g071810.1,Solyc06g071810
Solyc09g074280.1,Solyc09g074280
Solyc04g006970.3,Solyc04g006970
Solyc05g054570.3,Solyc05g054570
Solyc05g008390.3,Solyc05g008390
Solyc09g064820.1,Solyc09g064820
Solyc03g122120.3,Solyc03g122120
Solyc02g079570.3,Solyc02g079570
Solyc01g112230.3,Solyc01g112230
Solyc08g077330.3,Solyc08g077330
Solyc02g088620.3,Solyc02g088620
Solyc10g005100.3,Solyc10g005100
Solyc10g080670.2,Solyc10g080670
Solyc03g094160.3,Solyc03g094160
Solyc01g094770.3,Solyc01g094770
Solyc06g062670.3,Solyc06g062670
Solyc12g089000.2,Solyc12g089000
Solyc07g047960.3,Solyc07g047960
Solyc01g010480.3,Solyc01g010480
Solyc07g024000.3,Solyc07g024000
Solyc12g017370.2,Solyc12g017370
Solyc07g006280.3,Solyc07g006280
Solyc07g032480.3,Solyc07g032480
Solyc11g072660.2,Solyc11g072660
Solyc07g063110.3,Solyc07g063110
Solyc07g062400.3,Solyc07g062400
Solyc12g014290.2,Solyc12g014290
Solyc02g077080.3,Solyc02g077080
Solyc07g040990.3,Solyc07g040990
Solyc02g077880.3,Solyc02g077880
