,...1,From,To,GSM7413376,GSM7413377,GSM7413378,GSM7413379,GSM7413380,GSM7413381,GSM7413382,GSM7413383,GSM7413384,GSM7413385,GSM7413386,GSM7413387,GSM7413388,GSM7413389,GSM7413390,GSM7413391,GSM7413392,GSM7413393
1,544056,544056,Solyc02g084850,5.094853128,193.3863858,18.21396351,452.6133593,1076.769378,253.3651825,324.7802655,32.85945486,1281.675177,333.2176952,107.7213633,610.9629065,499.9702031,297.0137391,1034.275294,1765.850591,367.7185487,782.7294679
5,100750252,100750252,Solyc03g116390,2.037941251,51.6372025,16.19018978,59.34264044,278.6115978,76.10589132,85.46849093,5.974446338,156.6491883,247.9298327,67.68333447,541.0275659,491.0774524,78.81917995,82.46383231,623.8220088,308.8422642,613.9251667
10,101245840,101245840,Solyc04g081900,10.18970626,25.31235416,15.17830292,83.4820196,118.9800418,109.8236913,134.7385622,64.72316866,230.9049724,142.8075836,120.1140865,354.5333241,100.7845073,96.12095115,45.70284682,161.877863,71.27129173,150.718126
16,101246280,101246280,Solyc01g087180,1.018970626,13.16242417,6.071321169,107.6213988,207.2235728,45.27818851,26.14330311,6.970187394,16.27524035,128.923513,53.38403845,123.3581703,133.3912597,36.52596144,108.2958762,80.93893152,37.18502177,73.34948801
15,101248026,101248026,Solyc07g063410,6.113823753,11.13743583,10.11886862,95.55170919,91.21803203,138.7246627,59.32518782,33.85519591,79.34179669,137.848987,120.1140865,184.5515934,107.7010912,103.8106272,70.54135053,168.787284,20.65834543,116.5553508
6,101249794,101249794,Solyc03g007230,24.45529501,33.4123075,44.52302191,285.6493201,299.4331052,198.4533369,302.6590091,210.1013629,414.0014263,282.6400093,379.4079876,286.5406318,497.9940363,309.5094627,358.6679936,157.9296225,79.53462991,141.6750385
11,101249973,101249973,Solyc10g081980,19.36044188,14.17491833,8.095094892,7.040652256,150.7080529,10.59702284,35.19290803,126.4591141,31.53327817,43.63565056,152.5258242,57.30812637,129.4389261,48.06047558,117.2377375,136.2142994,96.06130625,160.7660011
8,101250584,101250584,Solyc12g098900,2.037941251,4.049976666,2.023773723,104.6039764,184.4190648,75.14252561,25.13779145,8.961669507,49.84292356,275.697974,57.19718406,199.121456,367.5670268,148.0262648,309.9845263,246.7650351,98.12714079,187.8952638
18,101251154,101251154,Solyc03g019820,1.018970626,3.0374825,2.023773723,138.8014302,200.2830703,71.28906275,32.17637306,2.987223169,7.120417652,43.63565056,10.48615041,21.36913187,134.3793431,30.75870437,79.48321187,19.74120281,6.197503629,23.11011266
2,101253038,101253038,Solyc10g078770,2.037941251,199.4613508,10.11886862,396.2881413,899.2908158,136.7979312,169.9314702,17.92333901,546.2377542,593.0481598,100.0950721,1151.990472,881.3703975,208.582464,256.3333583,1049.244929,103.2917272,582.776754
14,101254501,101254501,Solyc06g068620,6.113823753,23.28736583,17.20207665,352.0326128,80.3115282,177.2592912,299.6424741,34.85093697,187.165264,28.75986059,9.53286401,18.45515934,19.76166811,21.14660925,33.78036504,113.5119162,60.94211902,42.20107529
20,101255191,101255191,Solyc04g005250,5.094853128,7.087459166,5.059434308,24.13937916,47.59201671,30.82770281,39.21495466,23.89778535,35.60208826,40.66049256,35.27159684,30.11104945,47.42800345,33.6423329,28.8126643,18.75414267,18.59251089,19.09096263
13,101255324,101255324,Solyc08g075280,17.32250063,20.24988333,16.19018978,169.9814616,188.3850662,189.7830454,92.50707254,78.66354345,124.0987076,154.7082156,93.42206729,141.8133297,87.93942307,114.3839319,90.4121535,89.82247279,40.28377359,52.24895036
19,101255829,101255829,Solyc09g075890,4.075882502,3.0374825,2.023773723,83.4820196,66.43052333,51.05838278,41.22597798,36.84241908,21.36125296,4.958596654,31.45845123,4.856620879,19.76166811,6.728466581,21.85788326,10.85766155,23.75709724,18.08617512
21,101260892,101260892,Solyc02g081560,2.037941251,3.0374825,3.035660585,21.12195677,49.57501741,25.04750854,27.14881477,57.75298126,12.20643026,3.966877323,16.20586882,7.770593406,12.84508427,10.57330463,12.91602193,18.75414267,16.52667634,26.12447518
17,101261722,101261722,Solyc07g017610,11.20867688,20.24988333,17.20207665,87.50524946,124.9290439,105.9702284,39.21495466,29.87223169,37.6364933,87.27130111,121.0673729,138.8993571,92.8798401,104.7718368,45.70284682,72.05539026,65.07378811,96.45960067
4,101262661,101262661,Solyc01g096320,12.22764751,24.29986,21.24962409,156.9059646,253.8240891,164.7355369,98.54014248,51.77853493,251.2490229,385.7788197,167.7784066,329.2788956,459.4587835,383.5225951,566.3178846,557.6889794,271.6572424,313.4937022
12,101263630,101263630,Solyc08g083130,3.056911877,10.12494167,8.095094892,119.6910883,174.5040613,85.73954845,64.35274611,63.7274276,163.769606,88.26302044,47.66432005,52.45150549,167.9741789,61.51740874,175.8566063,150.0331414,45.44835995,64.30640044
