main,edit
Solyc11g066390.2.1,Solyc11g066390
Solyc01g067740.3.1,Solyc01g067740
Solyc01g049770.3.1,Solyc01g049770
Solyc06g053700.1.1,Solyc06g053700
Solyc02g093700.3.1,Solyc02g093700
Solyc04g080280.3.1,Solyc04g080280
Solyc12g089110.1.1,Solyc12g089110
Solyc12g088250.2.1,Solyc12g088250
Solyc04g078640.3.1,Solyc04g078640
Solyc03g013440.4.1,Solyc03g013440
Solyc01g098390.3.1,Solyc01g098390
Solyc03g007030.3.1,Solyc03g007030
Solyc09g092500.1.1,Solyc09g092500
Solyc03g095650.3.1,Solyc03g095650
Solyc07g053290.3.1,Solyc07g053290
Solyc09g092480.1.1,Solyc09g092480
Solyc01g099930.3.1,Solyc01g099930
Solyc07g007270.3.1,Solyc07g007270
Solyc01g060070.3.1,Solyc01g060070
Solyc08g079830.4.1,Solyc08g079830
Solyc02g067220.4.1,Solyc02g067220
Solyc11g065680.1.1,Solyc11g065680
Solyc01g005010.4.1,Solyc01g005010
Solyc01g014270.3.1,Solyc01g014270
Solyc12g010550.1.1,Solyc12g010550
Solyc11g073120.2.1,Solyc11g073120
Solyc01g109250.2.1,Solyc01g109250
Solyc04g007840.3.1,Solyc04g007840
Solyc01g057000.3.1,Solyc01g057000
Solyc04g081700.3.1,Solyc04g081700
Solyc09g005610.4.1,Solyc09g005610
Solyc08g007400.4.1,Solyc08g007400
Solyc12g042780.2.1,Solyc12g042780
Solyc05g055390.3.1,Solyc05g055390
Solyc04g014480.3.1,Solyc04g014480
Solyc09g008680.4.1,Solyc09g008680
Solyc06g071890.3.1,Solyc06g071890
Solyc07g041925.1.1,Solyc07g041925
Solyc02g084950.3.1,Solyc02g084950
Solyc08g081455.1.1,Solyc08g081455
Solyc06g005330.3.1,Solyc06g005330
Solyc10g051300.2.1,Solyc10g051300
Solyc01g099590.4.1,Solyc01g099590
Solyc08g074630.2.1,Solyc08g074630
Solyc04g071330.4.1,Solyc04g071330
Solyc07g017610.3.1,Solyc07g017610
Solyc12g088190.2.1,Solyc12g088190
Solyc04g005610.3.1,Solyc04g005610
Solyc09g092490.3.1,Solyc09g092490
Solyc11g065740.2.1,Solyc11g065740
Solyc01g091770.4.1,Solyc01g091770
Solyc02g072270.3.1,Solyc02g072270
Solyc07g022830.3.1,Solyc07g022830
Solyc09g082550.3.1,Solyc09g082550
Solyc05g007770.3.1,Solyc05g007770
Solyc10g081840.3.1,Solyc10g081840
Solyc09g082630.3.1,Solyc09g082630
Solyc01g067010.3.1,Solyc01g067010
Solyc06g036120.3.1,Solyc06g036120
Solyc11g005340.3.1,Solyc11g005340
Solyc12g088300.2.1,Solyc12g088300
Solyc03g120420.3.1,Solyc03g120420
Solyc12g056250.2.1,Solyc12g056250
Solyc06g083060.4.1,Solyc06g083060
Solyc01g010185.1.1,Solyc01g010185
Solyc03g058940.4.1,Solyc03g058940
Solyc12g042110.3.1,Solyc12g042110
Solyc04g076080.3.1,Solyc04g076080
Solyc02g085770.4.1,Solyc02g085770
Solyc05g026570.3.1,Solyc05g026570
Solyc01g081040.4.1,Solyc01g081040
Solyc07g006370.1.1,Solyc07g006370
Solyc10g085880.1.1,Solyc10g085880
Solyc06g009050.3.1,Solyc06g009050
Solyc09g013110.3.1,Solyc09g013110
Solyc08g078840.3.1,Solyc08g078840
Solyc01g106400.3.1,Solyc01g106400
Solyc04g080540.2.1,Solyc04g080540
Solyc02g093525.1.1,Solyc02g093525
Solyc01g080410.3.1,Solyc01g080410
Solyc10g079830.3.1,Solyc10g079830
Solyc01g091030.3.1,Solyc01g091030
Solyc10g006170.4.1,Solyc10g006170
Solyc03g044740.4.1,Solyc03g044740
