,"Zhongza_9, QZ_006, TOM_EX","Zhongza_9, QZ_006, Micro_TOM","Zhongza_9, TOM_EX, Micro_TOM","QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, X29_X_Boludo","Zhongza_9, TOM_EX, X29_X_Boludo","QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, Micro_TOM, X29_X_Boludo","QZ_006, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, Micro_TOM, X29_X_Boludo","TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, TOM_EX, Micro_TOM, X29_X_Boludo","QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo"
1,Solyc10g081980,Solyc10g081980,Solyc09g005660,Solyc02g081560,Solyc10g081980,Solyc10g081980,Solyc04g072700,Solyc02g081560,Solyc10g081980,Solyc04g072700,Solyc02g081560,Solyc10g081980,Solyc07g042000,Solyc04g072700,Solyc02g081560,Solyc10g081980
2,Solyc03g112230,Solyc04g005250,Solyc04g072700,Solyc01g090740,Solyc04g005250,Solyc04g005250,Solyc10g081980,Solyc10g081980,Solyc04g005250,Solyc10g081980,Solyc10g081980,Solyc04g005250,Solyc01g097240,Solyc10g081980,Solyc10g081980,Solyc04g005250
3,Solyc04g005250,Solyc02g084850,Solyc03g119810,Solyc10g081980,Solyc02g084850,Solyc02g084850,Solyc08g075020,Solyc01g096510,Solyc02g084850,Solyc08g075020,Solyc02g093180,Solyc02g084850,Solyc10g075110,Solyc08g075020,Solyc10g075110,Solyc02g084850
4,Solyc02g084850,Solyc03g007960,Solyc10g081980,Solyc04g007980,Solyc03g007960,Solyc10g080670,Solyc04g005250,Solyc10g075110,Solyc10g080670,Solyc04g005250,Solyc10g075110,Solyc10g080670,Solyc04g005250,Solyc04g005250,Solyc03g019820,Solyc10g080670
5,Solyc03g007960,Solyc09g064820,Solyc08g075020,Solyc02g093890,Solyc09g064820,Solyc08g075280,Solyc02g084850,Solyc03g019820,Solyc08g075280,Solyc02g084850,Solyc03g019820,Solyc08g075280,Solyc02g084850,Solyc02g084850,Solyc04g005250,Solyc08g075280
6,Solyc09g064820,Solyc10g080670,Solyc09g014900,Solyc02g079290,Solyc10g080670,Solyc08g075150,Solyc03g098100,Solyc04g005250,Solyc03g111100,Solyc03g098100,Solyc04g005250,Solyc03g111100,Solyc01g067740,Solyc03g098100,Solyc02g084850,Solyc03g111100
7,Solyc10g080670,Solyc11g072660,Solyc00g136560,Solyc03g117800,Solyc11g072660,Solyc03g111100,Solyc10g080670,Solyc02g084850,Solyc03g019820,Solyc10g080670,Solyc02g084850,Solyc02g093180,Solyc09g009590,Solyc10g080670,Solyc07g017610,Solyc03g019820
8,Solyc11g072660,Solyc07g040990,Solyc05g041200,Solyc07g005210,Solyc07g040990,Solyc02g093180,Solyc06g062670,Solyc07g017610,Solyc01g096320,Solyc06g062670,Solyc07g017610,Solyc03g019820,Solyc06g062670,Solyc06g062670,Solyc06g061280,Solyc01g096320
9,Solyc07g040990,Solyc08g075280,Solyc04g005250,Solyc01g108250,Solyc08g075280,Solyc03g019820,Solyc02g070020,Solyc06g061280,Solyc02g081560,Solyc02g070020,Solyc06g061280,Solyc01g096320,Solyc02g070020,Solyc02g070020,Solyc03g116390,Solyc02g081560
10,Solyc02g064680,Solyc02g090820,Solyc02g085610,Solyc10g075110,Solyc02g090820,Solyc01g096320,Solyc08g075280,Solyc03g116390,Solyc01g096510,Solyc08g075280,Solyc03g116390,Solyc02g081560,Solyc05g007950,Solyc08g075280,Solyc06g050800,Solyc07g017610
11,Solyc08g075280,Solyc01g095140,Solyc03g095310,Solyc12g005910,Solyc01g095140,Solyc02g081560,Solyc01g005930,Solyc06g050800,Solyc07g017610,Solyc01g106000,Solyc06g050800,Solyc07g017610,Solyc09g082240,Solyc01g106000,Solyc10g080670,Solyc06g050800
12,Solyc08g068690,Solyc03g096670,Solyc02g084850,Solyc03g019820,Solyc03g096670,Solyc01g096510,Solyc01g106000,Solyc10g080670,Solyc06g050800,Solyc01g057000,Solyc10g080670,Solyc06g050800,Solyc09g098080,Solyc07g044990,Solyc06g068620,Solyc10g078770
13,Solyc02g090820,Solyc03g121880,Solyc07g049530,Solyc04g005250,Solyc03g121880,Solyc07g017610,Solyc01g109810,Solyc06g068620,Solyc10g078770,Solyc07g044990,Solyc06g068620,Solyc10g078770,Solyc03g032090,Solyc03g111100,Solyc09g075890,Solyc04g081900
14,Solyc01g095140,Solyc06g050810,Solyc03g007960,Solyc01g099810,Solyc06g050810,Solyc06g050800,Solyc07g044990,Solyc09g075890,Solyc04g081900,Solyc03g111100,Solyc09g075890,Solyc04g081900,Solyc10g006470,Solyc02g086880,Solyc10g078770,Solyc03g116390
15,Solyc03g096670,Solyc06g084320,Solyc03g098100,Solyc04g079760,Solyc06g084320,Solyc09g015770,Solyc03g111100,Solyc10g078770,Solyc03g116390,Solyc02g086880,Solyc10g078770,Solyc03g116390,Solyc07g052950,Solyc10g075150,Solyc08g075280,Solyc06g068620
