"","Combination","Genes"
"8","Zhongza_9, QZ_006, TOM_EX","Solyc10g081980, Solyc03g112230, Solyc04g005250, Solyc02g084850, Solyc03g007960, Solyc09g064820, Solyc10g080670, Solyc11g072660, Solyc07g040990, Solyc02g064680, Solyc08g075280, Solyc08g068690, Solyc02g090820, Solyc01g095140, Solyc03g096670, Solyc03g121880, Solyc06g050810, Solyc03g116890, Solyc06g084320, Solyc07g042230, Solyc03g111100, Solyc08g078070, Solyc08g076880, Solyc02g093890, Solyc02g079290, Solyc01g108250, Solyc03g019820, Solyc06g066370, Solyc01g111440, Solyc06g066600, Solyc04g015200, Solyc02g083400, Solyc02g092715, Solyc08g067630, Solyc08g078060, Solyc07g062700, Solyc01g096320, Solyc06g082010, Solyc06g050130, Solyc06g076670, Solyc02g081560, Solyc01g096510, Solyc01g099810, Solyc04g005670, Solyc07g017610, Solyc09g011860, Solyc05g052980, Solyc07g056570, Solyc06g050800, Solyc05g015390, Solyc06g075780, Solyc10g078770, Solyc07g056320, Solyc02g094030, Solyc03g098240, Solyc02g077980, Solyc01g095150, Solyc04g081900, Solyc07g064900, Solyc04g009960, Solyc08g080540, Solyc01g090740, Solyc04g007980, Solyc12g005910, Solyc10g074790, Solyc03g116390, Solyc06g068620, Solyc09g075890, Solyc06g067980, Solyc12g098900, Solyc09g075140, Solyc07g063410, Solyc08g083130, Solyc07g065930, Solyc07g042550, Solyc07g063470, Solyc11g005380, Solyc03g007230, Solyc01g087180, Solyc01g079600, Solyc09g005000"
"12","Zhongza_9, QZ_006, Micro_TOM","Solyc10g081980, Solyc04g005250, Solyc02g084850, Solyc03g007960, Solyc09g064820, Solyc10g080670, Solyc11g072660, Solyc07g040990, Solyc08g075280, Solyc02g090820, Solyc01g095140, Solyc03g096670, Solyc03g121880, Solyc06g050810, Solyc06g084320, Solyc07g042230, Solyc03g111100, Solyc08g076880, Solyc02g093890, Solyc02g079290, Solyc02g093180, Solyc01g108250, Solyc03g019820, Solyc01g111440, Solyc06g066600, Solyc04g015200, Solyc02g083400, Solyc02g092715, Solyc08g067630, Solyc07g062700, Solyc01g096320, Solyc06g082010, Solyc06g050130, Solyc06g076670, Solyc02g081560, Solyc01g099810, Solyc07g017610, Solyc05g052980, Solyc07g056570, Solyc06g050800, Solyc05g015390, Solyc10g078770, Solyc07g056320, Solyc03g098240, Solyc02g077980, Solyc04g081900, Solyc07g064900, Solyc04g009960, Solyc08g080540, Solyc01g090740, Solyc04g007980, Solyc12g005910, Solyc03g116390, Solyc06g068620, Solyc09g075890, Solyc03g112297, Solyc06g067980, Solyc12g098900, Solyc09g075140, Solyc07g063410, Solyc08g083130, Solyc07g065930, Solyc07g042550, Solyc07g063470, Solyc11g005380, Solyc03g007230, Solyc08g076870, Solyc01g087180, Solyc01g079600, "
"14","Zhongza_9, TOM_EX, Micro_TOM","Solyc09g005660, Solyc04g072700, Solyc03g119810, Solyc10g081980, Solyc08g075020, Solyc09g014900, Solyc00g136560, Solyc05g041200, Solyc04g005250, Solyc02g085610, Solyc03g095310, Solyc02g084850, Solyc07g049530, Solyc03g007960, Solyc03g098100, Solyc05g054570, Solyc05g008390, Solyc09g064820, Solyc03g122120, Solyc01g112230, Solyc08g077330, Solyc02g088620, Solyc10g080670, Solyc06g062670, Solyc01g010480, Solyc07g024000, Solyc11g072660, Solyc07g063110, Solyc07g040990, Solyc06g076750, Solyc04g076340, Solyc02g070020, Solyc11g018690, Solyc11g017010, Solyc10g006540, Solyc02g077780, Solyc05g009520, Solyc07g032740, Solyc02g014860, Solyc08g068850, Solyc03g097120, Solyc08g075280, Solyc02g090820, Solyc08g075710, Solyc01g067710, Solyc08g067410, Solyc01g067000, Solyc02g081170, Solyc01g095140, Solyc03g082690, Solyc08g075370, Solyc03g096670, Solyc03g121880, Solyc03g095710, Solyc01g106000, Solyc02g082900, Solyc04g005380, Solyc06g050810, Solyc06g084320, Solyc08g067960, Solyc07g042230, Solyc07g044990, Solyc03g111100, Solyc04g007900, Solyc02g086880, Solyc04g005860, Solyc05g007220, Solyc08g076880, Solyc05g013060, Solyc02g092090, Solyc10g079820, Solyc11g008800, Solyc10g075150, Solyc11g072470, Solyc03g058970, Solyc02g093890, Solyc02g079290, Solyc11g065920, Solyc11g069720, Solyc01g108250, Solyc04g011767, Solyc03g019820, Solyc07g014670, Solyc06g007180, Solyc04g072895, Solyc02g062000, Solyc12g038160, Solyc12g056250, Solyc09g065390, Solyc07g053550, Solyc06g069150, Solyc03g115920, Solyc01g111440, Solyc01g105660, Solyc12g099440, Solyc03g095650, Solyc01g095460, Solyc04g009860, Solyc11g010170, Solyc02g031860, Solyc03g033840, Solyc02g069800, Solyc06g066600, Solyc03g117950, Solyc11g066440, Solyc04g015200, Solyc02g083400, Solyc06g069710, Solyc10g074880, Solyc02g092715, Solyc10g078590, Solyc02g077970, Solyc08g067630, Solyc01g081310, Solyc01g108087, Solyc01g073660, Solyc03g111310, Solyc01g109920, Solyc09g089940, Solyc07g062700, Solyc10g009020, Solyc01g010250, Solyc01g096320, Solyc01g108030, Solyc07g006500, Solyc09g082120, Solyc06g082010, Solyc05g009550, Solyc12g010010, Solyc12g014100, Solyc03g114580, Solyc01g087240, Solyc04g016420, Solyc09g064940, Solyc06g050130, Solyc08g061240, Solyc04g040180, Solyc01g109170, Solyc01g068460, Solyc06g060910, Solyc06g076670, Solyc11g017000, Solyc03g098090, Solyc02g069250, Solyc07g054300, Solyc01g068000, Solyc03g097110, Solyc02g081560, Solyc03g093800, Solyc01g095270, Solyc07g053360, Solyc01g100460, Solyc06g075370, Solyc03g098000, Solyc05g054170, Solyc05g013660, Solyc12g056650, Solyc09g008350, Solyc01g103170, Solyc06g074940, Solyc01g099810, Solyc05g013480, Solyc06g071890, Solyc07g017610, Solyc03g118820, Solyc02g071970, Solyc05g052980, Solyc03g115930, Solyc10g079150, Solyc07g008140, Solyc07g056570, Solyc06g050800, Solyc05g015390, Solyc02g071980, Solyc04g077050, Solyc02g083460, Solyc03g114160, Solyc03g119930, Solyc05g007080, Solyc09g011370, Solyc01g087680, Solyc09g091030, Solyc04g054760, Solyc03g123600, Solyc09g082230, Solyc06g007320, Solyc02g083280, Solyc08g081030, Solyc12g088230, Solyc08g066770, Solyc08g006980, Solyc03g113270, Solyc08g061480, Solyc10g078770, Solyc07g056320, Solyc06g066680, Solyc02g091930, Solyc04g082700, Solyc08g081240, Solyc02g086530, Solyc06g008620, Solyc03g112280, Solyc01g058260, Solyc05g007770, Solyc03g098240, Solyc10g084930, Solyc02g077980, Solyc04g072640, Solyc11g044560, Solyc02g063410, Solyc05g006980, Solyc03g116480, Solyc01g088090, Solyc04g081900, Solyc06g048520, Solyc06g075790, Solyc04g008310, Solyc06g074620, Solyc03g119970, Solyc03g115850, Solyc03g114360, Solyc07g064900, Solyc05g053090, Solyc10g076250, Solyc11g056650, Solyc04g009960, Solyc08g080540, Solyc09g007790, Solyc05g050220, Solyc10g083690, Solyc06g009390, Solyc01g090740, Solyc04g007980, Solyc12g013620, Solyc07g006145, Solyc04g063380, Solyc01g067680, Solyc04g064870, Solyc12g005910, Solyc03g115370, Solyc07g007660, Solyc03g013440, Solyc07g053200, Solyc01g104140, Solyc05g056040, Solyc03g116390, Solyc09g065540, Solyc12g089220, Solyc03g123370, Solyc01g109910, Solyc03g098210, Solyc01g091690, Solyc08g065610, Solyc12g014010, Solyc04g079940, Solyc01g105120, Solyc04g054930, Solyc05g012210, Solyc06g071750, Solyc03g095510, Solyc06g068160, Solyc09g065020, Solyc08g082440, Solyc09g074660, Solyc06g068620, Solyc02g063520, Solyc02g069260, Solyc09g075890, Solyc08g076860, Solyc03g078490, Solyc11g068950, Solyc07g041900, Solyc07g065320, Solyc06g053220, Solyc01g096200, Solyc02g089400, Solyc07g062970, Solyc07g008280, Solyc06g071440, Solyc06g067980, Solyc10g005040, Solyc12g098900, Solyc02g090390, Solyc09g075140, Solyc11g013880, Solyc07g063410, Solyc07g064860, Solyc01g080220, Solyc08g083130, Solyc07g065930, Solyc07g042550, Solyc08g023440, Solyc01g104300, Solyc07g006370, Solyc08g082610, Solyc03g025970, Solyc07g063470, Solyc02g084960, Solyc06g068540, Solyc07g062250, Solyc02g078840, Solyc11g069700, Solyc11g005380, Solyc03g007230, Solyc01g087180, Solyc08g008410, Solyc03g122310, Solyc12g088190, Solyc08g081680, Solyc03g006500, Solyc04g079300, Solyc09g015670, Solyc01g091030, Solyc01g079600, Solyc12g005860"
"15","QZ_006, TOM_EX, Micro_TOM","Solyc02g081560, Solyc01g090740, Solyc10g081980, Solyc04g007980, Solyc02g093890, Solyc02g079290, Solyc03g117800, Solyc07g005210, Solyc01g108250, Solyc10g075110, Solyc12g005910, Solyc03g019820, Solyc04g005250, Solyc01g099810, Solyc04g079760, Solyc02g084850, Solyc07g017610, Solyc03g007960, Solyc01g111440, Solyc06g061280, Solyc03g116390, Solyc05g052980, Solyc07g056570, Solyc05g015390, Solyc06g050800, Solyc09g064820, Solyc02g089720, Solyc06g076020, Solyc10g008730, Solyc10g080670, Solyc11g072660, Solyc07g040990, Solyc06g066600, Solyc10g086410, Solyc04g015200, Solyc06g068620, Solyc06g082440, Solyc02g083400, Solyc09g075890, Solyc02g092715, Solyc08g067630, Solyc10g078770, Solyc07g056320, Solyc08g077680, Solyc08g075280, Solyc02g090820, Solyc07g062700, Solyc06g067980, Solyc12g098900, Solyc09g075140, Solyc04g074730, Solyc08g078510, Solyc07g063410, Solyc03g098240, Solyc08g083130, Solyc01g096320, Solyc02g093050, Solyc07g065930, Solyc07g042550, Solyc10g075100, Solyc06g082010, Solyc02g077980, Solyc12g056410, Solyc10g075090, Solyc07g063470, Solyc01g095140, Solyc03g096670, Solyc03g121880, Solyc02g084980, Solyc06g050130, Solyc02g077330, Solyc04g081900, Solyc06g050810, Solyc11g005380, Solyc03g007230, Solyc01g087180, Solyc01g102290, Solyc06g084320, Solyc03g098730, Solyc07g042230, Solyc03g111100, Solyc01g107170, Solyc02g069580, Solyc10g081170, Solyc07g064900, Solyc06g076670, Solyc04g009960, Solyc08g076880, Solyc01g079600, Solyc08g080540"
"16","Zhongza_9, QZ_006, TOM_EX, Micro_TOM","Solyc10g081980, Solyc04g005250, Solyc02g084850, Solyc03g007960, Solyc09g064820, Solyc10g080670, Solyc11g072660, Solyc07g040990, Solyc08g075280, Solyc02g090820, Solyc01g095140, Solyc03g096670, Solyc03g121880, Solyc06g050810, Solyc06g084320, Solyc07g042230, Solyc03g111100, Solyc08g076880, Solyc02g093890, Solyc02g079290, Solyc01g108250, Solyc03g019820, Solyc01g111440, Solyc06g066600, Solyc04g015200, Solyc02g083400, Solyc02g092715, Solyc08g067630, Solyc07g062700, Solyc01g096320, Solyc06g082010, Solyc06g050130, Solyc06g076670, Solyc02g081560, Solyc01g099810, Solyc07g017610, Solyc05g052980, Solyc07g056570, Solyc06g050800, Solyc05g015390, Solyc10g078770, Solyc07g056320, Solyc03g098240, Solyc02g077980, Solyc04g081900, Solyc07g064900, Solyc04g009960, Solyc08g080540, Solyc01g090740, Solyc04g007980, Solyc12g005910, Solyc03g116390, Solyc06g068620, Solyc09g075890, Solyc06g067980, Solyc12g098900, Solyc09g075140, Solyc07g063410, Solyc08g083130, Solyc07g065930, Solyc07g042550, Solyc07g063470, Solyc11g005380, Solyc03g007230, Solyc01g087180, Solyc01g079600"
"20","Zhongza_9, QZ_006, X29_X_Boludo","Solyc10g081980, Solyc04g005250, Solyc02g084850, Solyc10g080670, Solyc08g075280, Solyc08g075150, Solyc03g111100, Solyc02g093180, Solyc03g019820, Solyc01g096320, Solyc02g081560, Solyc01g096510, Solyc07g017610, Solyc06g050800, Solyc09g015770, Solyc08g077900, Solyc10g078770, Solyc04g081900, Solyc03g116390, Solyc06g068620, Solyc09g075890, Solyc02g088090, Solyc06g067980, Solyc12g098900, Solyc07g063410, Solyc08g083130, Solyc03g007230, Solyc08g076870, Solyc01g087180, "
"22","Zhongza_9, TOM_EX, X29_X_Boludo","Solyc04g072700, Solyc10g081980, Solyc08g075020, Solyc04g005250, Solyc02g084850, Solyc03g098100, Solyc10g080670, Solyc06g062670, Solyc02g070020, Solyc08g075280, Solyc01g005930, Solyc01g106000, Solyc01g109810, Solyc07g044990, Solyc03g111100, Solyc02g086880, Solyc10g075150, Solyc11g072470, Solyc02g080110, Solyc03g019820, Solyc06g007180, Solyc12g056250, Solyc09g065390, Solyc01g105660, Solyc03g095650, Solyc02g069800, Solyc06g069710, Solyc10g078590, Solyc01g081310, Solyc01g096320, Solyc01g108030, Solyc04g016420, Solyc09g064940, Solyc08g061240, Solyc04g040180, Solyc01g109170, Solyc06g060910, Solyc03g098090, Solyc02g081560, Solyc01g096510, Solyc01g100460, Solyc06g071890, Solyc07g017610, Solyc03g118820, Solyc03g115930, Solyc06g050800, Solyc04g054760, Solyc03g113270, Solyc08g061480, Solyc10g078770, Solyc06g066680, Solyc02g091930, Solyc05g007770, Solyc04g072640, Solyc05g006980, Solyc04g081900, Solyc03g115850, Solyc10g076250, Solyc09g007790, Solyc04g064870, Solyc03g013440, Solyc03g116390, Solyc12g089220, Solyc06g068620, Solyc02g063520, Solyc09g075890, Solyc08g076860, Solyc06g053220, Solyc07g062970, Solyc06g067980, Solyc10g005040, Solyc12g098900, Solyc07g063410, Solyc08g083130, Solyc07g006370, Solyc02g078840, Solyc05g052470, Solyc03g007230, Solyc01g087180, Solyc12g088190, Solyc01g091030"
"23","QZ_006, TOM_EX, X29_X_Boludo","Solyc02g081560, Solyc10g081980, Solyc01g096510, Solyc10g075110, Solyc03g019820, Solyc04g005250, Solyc02g084850, Solyc07g017610, Solyc06g061280, Solyc03g116390, Solyc06g050800, Solyc10g080670, Solyc06g068620, Solyc09g075890, Solyc10g078770, Solyc08g075280, Solyc06g067980, Solyc12g098900, Solyc07g063410, Solyc08g083130, Solyc01g096320, Solyc10g075100, Solyc12g056410, Solyc04g081900, Solyc03g007230, Solyc01g087180, Solyc03g111100"
"24","Zhongza_9, QZ_006, TOM_EX, X29_X_Boludo","Solyc10g081980, Solyc04g005250, Solyc02g084850, Solyc10g080670, Solyc08g075280, Solyc03g111100, Solyc03g019820, Solyc01g096320, Solyc02g081560, Solyc01g096510, Solyc07g017610, Solyc06g050800, Solyc10g078770, Solyc04g081900, Solyc03g116390, Solyc06g068620, Solyc09g075890, Solyc06g067980, Solyc12g098900, Solyc07g063410, Solyc08g083130, Solyc03g007230, Solyc01g087180"
"26","Zhongza_9, Micro_TOM, X29_X_Boludo","Solyc04g072700, Solyc10g081980, Solyc08g075020, Solyc04g005250, Solyc02g084850, Solyc03g098100, Solyc10g080670, Solyc06g062670, Solyc02g070020, Solyc08g075280, Solyc01g106000, Solyc01g057000, Solyc07g044990, Solyc03g111100, Solyc02g086880, Solyc12g019740, Solyc10g075150, Solyc11g072470, Solyc02g093180, Solyc03g019820, Solyc06g007180, Solyc12g056250, Solyc09g065390, Solyc01g105660, Solyc03g095650, Solyc02g069800, Solyc06g069710, Solyc10g078590, Solyc01g081310, Solyc01g096320, Solyc01g108030, Solyc06g060840, Solyc04g016420, Solyc09g064940, Solyc08g061240, Solyc04g040180, Solyc01g109170, Solyc06g060910, Solyc11g069180, Solyc01g009860, Solyc03g098090, Solyc01g103920, Solyc02g081560, Solyc01g100460, Solyc01g067010, Solyc06g071890, Solyc07g017610, Solyc03g118820, Solyc03g115930, Solyc06g050800, Solyc04g054760, Solyc03g113270, Solyc08g061480, Solyc10g078770, Solyc06g066680, Solyc02g091930, Solyc05g007770, Solyc04g072640, Solyc05g006980, Solyc04g081900, Solyc03g115850, Solyc05g012110, Solyc10g076250, Solyc09g007790, Solyc04g064870, Solyc03g013440, Solyc03g116390, Solyc12g089220, Solyc06g068620, Solyc02g063520, Solyc09g075890, Solyc08g076860, Solyc06g053220, Solyc07g062970, Solyc06g067980, Solyc10g005040, Solyc12g098900, Solyc07g063410, Solyc08g083130, Solyc07g006370, Solyc02g078840, Solyc03g007230, Solyc08g076870, Solyc01g087180, Solyc12g088190, Solyc01g091030, "
