GSE233233_Zhongza_9,GSE233233_QZ_006,Micro_TOM_EX,Micro_TOM,Boludo ,29_X_Boludo
Solyc04g077010,Solyc01g109110,Solyc05g053150,Solyc05g053150,Solyc11g066390,Solyc11g066390
Solyc09g005660,Solyc02g081560,Solyc04g016230,Solyc04g016230,Solyc01g049770,Solyc01g067740
Solyc04g072700,Solyc12g005340,Solyc10g008390,Solyc07g006830,Solyc01g067740,Solyc01g049770
Solyc12g006930,Solyc01g090740,Solyc10g047300,Solyc10g047300,Solyc06g053700,Solyc06g053700
Solyc01g109110,Solyc10g081980,Solyc09g005660,Solyc04g014820,Solyc12g089110,Solyc02g093700
Solyc12g045030,Solyc04g007980,Solyc07g043560,Solyc09g005660,Solyc04g078640,Solyc04g080280
Solyc04g077850,Solyc02g093890,Solyc02g089020,Solyc07g043560,Solyc03g095650,Solyc12g089110
Solyc03g119810,Solyc10g074740,Solyc11g072630,Solyc02g089020,Solyc04g080280,Solyc12g088250
Solyc06g076130,Solyc03g093550,Solyc02g084870,Solyc11g072630,Solyc09g092500,Solyc04g078640
Solyc10g081980,Solyc01g096510,Solyc01g008820,Solyc01g008820,Solyc03g007030,Solyc03g013440
Solyc02g093110,Solyc02g079290,Solyc06g083440,Solyc06g083440,Solyc07g007270,Solyc01g098390
Solyc08g075020,Solyc03g117800,Solyc01g080690,Solyc06g066610,Solyc12g088250,Solyc03g007030
Solyc09g014900,Solyc07g005210,Solyc04g051860,Solyc04g051860,Solyc01g060070,Solyc09g092500
Solyc02g071280,Solyc02g089640,Solyc01g111610,Solyc02g087580,Solyc09g092480,Solyc03g095650
Solyc10g085970,Solyc01g109250,Solyc02g087580,Solyc07g055060,Solyc01g014270,Solyc07g053290
Solyc03g112230,Solyc02g093180,Solyc07g055060,Solyc02g068670,Solyc07g053290,Solyc09g092480
Solyc00g136560,Solyc01g108250,Solyc06g066650,Solyc05g054260,Solyc02g093700,Solyc01g099930
Solyc03g033410,Solyc03g112230,Solyc02g093110,Solyc07g064620,Solyc01g099930,Solyc07g007270
Solyc05g041200,Solyc03g119250,Solyc02g068670,Solyc04g079330,Solyc08g079830,Solyc01g060070
Solyc04g005250,Solyc10g075110,Solyc05g054260,Solyc02g094190,Solyc01g005010,Solyc08g079830
Solyc02g093150,Solyc12g005910,Solyc10g079640,Solyc02g093680,Solyc01g098390,Solyc02g067220
Solyc02g085610,Solyc03g019820,Solyc07g052620,Solyc09g009100,Solyc04g081700,Solyc11g065680
Solyc03g095310,Solyc10g074790,Solyc02g094190,Solyc09g014900,Solyc04g007840,Solyc01g005010
Solyc03g005450,Solyc05g052040,Solyc02g093680,Solyc07g005210,Solyc05g055390,Solyc01g014270
Solyc02g084850,Solyc05g007140,Solyc09g009100,Solyc07g042000,Solyc09g008680,Solyc12g010550
Solyc10g078440,Solyc04g005250,Solyc09g014900,Solyc07g051850,Solyc08g007400,Solyc11g073120
Solyc04g005610,Solyc02g087210,Solyc07g005210,Solyc06g073340,Solyc12g042780,Solyc01g109250
Solyc07g049530,Solyc06g050630,Solyc07g042000,Solyc11g066100,Solyc01g099590,Solyc04g007840
Solyc03g007960,Solyc01g099810,Solyc07g051850,Solyc08g006680,Solyc10g051300,Solyc01g057000
Solyc07g065680,Solyc10g077130,Solyc08g006680,Solyc01g097240,Solyc11g065680,Solyc04g081700
Solyc08g077560,Solyc04g005670,Solyc01g097240,Solyc06g073960,Solyc07g041925,Solyc09g005610
Solyc03g098100,Solyc06g005170,Solyc06g073960,Solyc11g071920,Solyc04g071330,Solyc08g007400
Solyc10g008880,Solyc11g020230,Solyc11g071920,Solyc00g136560,Solyc06g005330,Solyc12g042780
Solyc06g071810,Solyc04g079760,Solyc00g136560,Solyc10g075110,Solyc11g073120,Solyc05g055390
Solyc09g074280,Solyc02g084850,Solyc10g075110,Solyc04g080740,Solyc09g092490,Solyc04g014480
Solyc04g006970,Solyc07g017610,Solyc06g034110,Solyc02g031830,Solyc09g082630,Solyc09g008680
Solyc05g054570,Solyc03g007960,Solyc04g080740,Solyc05g041200,Solyc02g072270,Solyc06g071890
Solyc05g008390,Solyc02g094000,Solyc02g031830,Solyc07g041160,Solyc04g014480,Solyc07g041925
Solyc09g064820,Solyc10g055760,Solyc05g041200,Solyc05g053835,Solyc08g074630,Solyc02g084950
Solyc03g122120,Solyc02g091180,Solyc07g041160,Solyc04g005250,Solyc01g067010,Solyc08g081455
Solyc02g079570,Solyc03g121360,Solyc05g053835,Solyc09g007445,Solyc03g058940,Solyc06g005330
Solyc01g112230,Solyc04g015360,Solyc04g005250,Solyc01g095490,Solyc06g083060,Solyc10g051300
Solyc08g077330,Solyc10g006660,Solyc09g007445,Solyc11g069780,Solyc12g042110,Solyc01g099590
Solyc02g088620,Solyc10g006700,Solyc01g095490,Solyc02g067780,Solyc04g005610,Solyc08g074630
Solyc10g005100,Solyc08g008280,Solyc11g069780,Solyc07g005200,Solyc03g013440,Solyc04g071330
Solyc10g080670,Solyc08g081230,Solyc02g067780,Solyc05g055870,Solyc07g022830,Solyc07g017610
Solyc03g094160,Solyc06g071810,Solyc01g104970,Solyc05g018610,Solyc02g085770,Solyc12g088190
Solyc01g094770,Solyc06g066370,Solyc04g071980,Solyc02g084850,Solyc01g080410,Solyc04g005610
Solyc06g062670,Solyc01g111440,Solyc07g005200,Solyc09g064780,Solyc01g091030,Solyc09g092490
Solyc12g089000,Solyc06g061280,Solyc05g055870,Solyc03g051790,Solyc03g095940,Solyc11g065740
Solyc07g047960,Solyc11g068710,Solyc03g031990,Solyc01g105100,Solyc04g076080,Solyc01g091770
Solyc01g010480,Solyc05g052750,Solyc05g018610,Solyc07g049530,Solyc09g013110,Solyc02g072270
Solyc07g024000,Solyc03g116390,Solyc02g084850,Solyc03g006470,Solyc06g036120,Solyc07g022830
Solyc12g017370,Solyc09g011860,Solyc09g064780,Solyc01g094860,Solyc04g077170,Solyc09g082550
Solyc07g006280,Solyc05g052980,Solyc03g051790,Solyc01g067740,Solyc06g071890,Solyc05g007770
Solyc07g032480,Solyc12g009000,Solyc01g105100,Solyc11g068800,Solyc10g006170,Solyc10g081840
Solyc11g072660,Solyc10g085590,Solyc07g049530,Solyc03g096040,Solyc11g005340,Solyc09g082630
Solyc07g063110,Solyc08g076930,Solyc03g006470,Solyc10g006480,Solyc10g079830,Solyc01g067010
Solyc07g062400,Solyc04g071480,Solyc01g094860,Solyc03g080190,Solyc02g093525,Solyc06g036120
Solyc12g014290,Solyc04g006970,Solyc01g067740,Solyc03g117590,Solyc05g050550,Solyc11g005340
Solyc02g077080,Solyc07g056570,Solyc03g096040,Solyc12g010170,Solyc01g058280,Solyc12g088300
Solyc07g040990,Solyc03g083470,Solyc01g010430,Solyc12g006880,Solyc10g050460,Solyc03g120420
Solyc02g077880,Solyc01g079660,Solyc10g006480,Solyc07g005600,Solyc06g069430,Solyc12g056250
Solyc06g076750,Solyc05g015390,Solyc03g080190,Solyc01g065550,Solyc04g053130,Solyc06g083060
Solyc06g076960,Solyc06g050800,Solyc03g117590,Solyc02g077370,Solyc03g112540,Solyc01g010185
Solyc04g076340,Solyc09g064820,Solyc08g036640,Solyc07g065630,Solyc06g150128,Solyc03g058940
Solyc01g111980,Solyc07g006220,Solyc01g066520,Solyc12g014360,Solyc01g006555,Solyc12g042110
Solyc02g070020,Solyc03g093540,Solyc07g005600,Solyc02g032860,Solyc09g082550,Solyc04g076080
Solyc11g018690,Solyc02g089720,Solyc01g065550,Solyc05g054570,Solyc05g005510,Solyc02g085770
