name,ID
Solyc03g078620.1,Solyc03g031590.2
Solyc10g083230.1,Solyc06g072390.2
Solyc12g038680.1,XM_004232733.1
Solyc07g062670.1,XM_004242814.1
Solyc01g073800.2,Solyc07g009050.2
Solyc10g085850.1,Solyc03g078620.1
Solyc10g076410.1,Solyc07g009040.2
Solyc03g026230.1,Solyc07g009030.2
Solyc04g071080.1,Solyc06g075970.2
Solyc06g065850.2,XM_004231237.1
Solyc02g071950.1,Solyc06g072400.1
Solyc08g079150.1,Solyc02g069190.2
Solyc01g087740.1,Solyc11g007220.1
Solyc10g005190.1,Solyc09g074430.2
Solyc01g073810.2,Solyc07g008980.2
Solyc12g088330.1,Solyc10g049280.1
Solyc03g093610.1,Solyc08g082950.2
Solyc04g054340.1,Solyc10g083230.1
Solyc06g035700.1,Solyc05g054620.2
Solyc10g085310.1,Solyc12g038680.1
Solyc02g092720.1,Solyc02g089620.2
Solyc02g067600.1,Solyc11g007210.1
Solyc03g096430.1,Solyc01g091700.2
Solyc08g076960.1,Solyc07g009060.2
Solyc02g076630.1,Solyc07g009020.1
Solyc02g093660.1,Solyc01g005090.2
Solyc12g049680.1,Solyc07g062670.1
Solyc07g064820.1,Solyc10g018200.1
Solyc10g044700.1,Solyc01g073800.2
Solyc08g080310.1,Solyc09g007020.1
Solyc01g097710.1,Solyc06g035940.2
Solyc02g080450.1,Solyc10g085850.1
Solyc11g061980.1,XM_004239323.1
Solyc03g118930.2,Solyc12g096900.1
Solyc05g051810.1,Solyc03g093380.1
Solyc04g014220.1,Solyc11g018530.1
Solyc02g078500.2,Solyc10g076410.1
Solyc06g083120.1,Solyc06g061080.2
Solyc08g067700.1,Solyc06g050630.2
Solyc12g049050.1,Solyc10g047170.1
Solyc01g073780.2,Solyc12g049090.1
Solyc10g079980.1,Solyc06g062450.2
Solyc02g082240.1,Solyc03g026230.1
Solyc01g017710.1,Solyc06g007650.1
Solyc10g086630.1,Solyc06g064620.2
Solyc09g065770.1,Solyc01g014140.2
Solyc05g055270.1,Solyc02g093670.2
Solyc07g045440.1,Solyc01g102380.2
Solyc12g100080.1,Solyc01g010000.2
Solyc07g056400.1,Solyc02g094400.2
Solyc10g084680.1,Solyc04g071080.1
Solyc03g082770.1,Solyc08g061560.2
Solyc10g080510.1,Solyc04g072920.2
Solyc06g050140.1,Solyc06g065850.2
Solyc06g066770.1,Solyc02g071950.1
Solyc12g096030.1,Solyc12g100300.1
Solyc06g083160.1,Solyc08g079150.1
Solyc09g064910.1,Solyc04g072640.2
Solyc02g082150.1,Solyc07g016190.1
Solyc04g074470.1,Solyc01g087740.1
Solyc06g049020.1,Solyc10g005190.1
Solyc01g005890.1,Solyc05g050510.2
Solyc10g081790.1,Solyc03g007760.2
Solyc06g050760.1,XM_004231869.1
Solyc05g006190.1,Solyc05g015350.2
Solyc01g107220.2,Solyc02g087090.2
Solyc02g067610.1,Solyc08g007430.1
Solyc02g065780.1,Solyc09g014710.2
Solyc10g050510.1,Solyc01g101050.2
Solyc07g008230.1,Solyc08g007540.2
Solyc06g050500.2,Solyc02g092550.2
Solyc01g073830.1,Solyc05g009720.2
Solyc09g091950.1,Solyc08g079920.1
Solyc03g114350.1,Solyc04g049800.2
Solyc03g115710.1,XM_004246773.1
Solyc06g066710.1,XM_004250891.1
Solyc03g096420.1,Solyc08g075520.2
Solyc04g009870.1,Solyc08g007060.2
Solyc02g072220.1,Solyc05g051800.2
Solyc08g066660.1,XM_004237698.1
Solyc06g072460.1,Solyc01g073810.2
Solyc12g100100.1,Solyc12g088330.1
Solyc03g112240.1,Solyc01g100210.2
Solyc05g050420.1,Solyc12g006860.1
Solyc12g087840.1,Solyc04g007050.2
Solyc12g049150.1,Solyc01g090610.2
Solyc12g017340.1,Solyc07g009230.2
Solyc03g121340.1,Solyc10g005340.2
Solyc09g075540.1,Solyc03g093610.1
Solyc02g076830.1,Solyc04g054340.1
Solyc12g100090.1,Solyc04g011490.2
Solyc12g094390.1,Solyc05g006630.2
Solyc02g030220.1,Solyc03g095780.1
Solyc06g059870.1,Solyc11g010410.1
Solyc01g006790.2,Solyc06g035700.1
Solyc12g055810.1,Solyc11g010990.1
Solyc08g041700.1,Solyc10g085310.1
Solyc04g016020.1,Solyc02g092720.1
Solyc12g088970.1,Solyc02g067600.1
Solyc03g119180.1,XM_004228382.1
Solyc05g012580.1,Solyc03g096430.1
Solyc09g014870.1,Solyc03g005560.1
Solyc03g096980.1,Solyc08g076960.1
Solyc01g097700.1,Solyc04g011760.2
Solyc04g016070.2,Solyc03g013340.2
Solyc04g005480.1,Solyc03g121200.2
Solyc07g008930.1,Solyc07g009100.2
Solyc12g044710.1,Solyc06g073590.2
Solyc06g048820.1,Solyc01g107190.2
Solyc09g008760.1,Solyc07g052670.2
Solyc01g088440.2,Solyc12g099000.1
Solyc03g033730.1,Solyc07g009070.2
Solyc01g107430.2,Solyc01g079480.2
Solyc03g026360.1,Solyc02g076630.1
Solyc01g097720.1,XM_004251429.1
Solyc12g055680.1,Solyc11g072140.1
Solyc07g053370.1,Solyc02g093660.1
Solyc06g060900.1,Solyc01g006780.2
Solyc01g097570.2,Solyc05g011860.1
Solyc03g005530.1,Solyc10g086520.1
Solyc11g065910.1,Solyc07g049560.2
Solyc01g088110.1,XM_004247939.1
Solyc01g079960.2,Solyc00g063110.2
Solyc02g032030.1,Solyc12g049680.1
Solyc04g014770.1,Solyc07g064820.1
Solyc01g006820.2,Solyc02g080060.1
Solyc01g105550.1,XM_004233658.1
Solyc01g073720.2,Solyc10g044700.1
Solyc05g055220.1,Solyc05g052420.1
Solyc06g072220.1,Solyc08g080310.1
Solyc10g047260.1,Solyc01g108710.2
Solyc05g005520.1,XM_004252767.1
Solyc01g005880.1,Solyc01g097710.1
Solyc12g049140.1,Solyc07g009080.2
Solyc05g041870.1,Solyc12g094410.1
Solyc10g055190.1,XM_004243420.1
Solyc12g009270.1,Solyc02g090940.2
Solyc07g064410.1,Solyc02g080450.1
Solyc12g049160.1,Solyc05g046130.2
Solyc05g052030.1,Solyc10g074900.1
Solyc08g081520.1,Solyc11g061980.1
Solyc08g006520.1,XM_004236298.1
Solyc03g096410.1,Solyc04g058100.2
Solyc09g074760.1,Solyc09g082860.2
Solyc03g124020.1,Solyc03g118930.2
Solyc07g006590.1,Solyc01g010420.2
Solyc05g005670.1,Solyc06g005470.2
Solyc04g077810.1,Solyc12g006850.1
Solyc04g055150.1,Solyc11g011580.1
Solyc08g079970.1,Solyc11g040150.1
Solyc04g055130.1,Solyc01g098500.2
Solyc10g075160.1,Solyc09g013150.2
Solyc02g084860.1,Solyc03g045140.2
Solyc12g006000.1,Solyc03g113280.2
Solyc11g010210.1,Solyc12g055700.1
Solyc12g098290.1,Solyc04g008960.2
Solyc04g005170.1,Solyc02g086460.2
Solyc10g080430.1,Solyc10g084120.1
Solyc02g062140.2,Solyc05g051810.1
Solyc12g096920.1,Solyc09g089680.2
Solyc09g015380.1,Solyc04g014220.1
Solyc08g080930.1,Solyc02g078500.2
Solyc07g051880.1,Solyc03g095770.2
Solyc04g074830.1,Solyc01g108630.2
Solyc08g067310.1,Solyc06g083120.1
Solyc09g082190.1,Solyc07g009310.2
Solyc06g009250.1,Solyc08g067700.1
Solyc06g060500.1,Solyc08g014330.2
Solyc06g068960.1,Solyc02g093430.2
Solyc12g017460.1,Solyc04g025750.2
,Solyc10g079700.1
,Solyc12g049050.1
,Solyc01g073700.2
