name,SPOT_ID
Solyc06g051680.1,Solyc06g051680.1
Solyc07g007150.1,Solyc02g014860.2
Solyc06g051660.1,Solyc08g007240.2
Solyc07g066360.1,Solyc01g006680.2
Solyc11g072830.1,Solyc01g108910.2
Solyc03g112210.1,Solyc05g024010.2
Solyc08g063090.2,Solyc03g081240.2
Solyc11g066330.1,Solyc00g050130.1
Solyc12g006440.1,Solyc06g071820.2
Solyc03g113460.1,Solyc08g082680.2
Solyc03g083770.1,XM_004251501.1
Solyc03g032090.1,Solyc09g082810.2
Solyc03g098740.1,Solyc01g095320.2
Solyc04g040130.1,Solyc00g272810.1
Solyc04g074920.2,Solyc06g006000.2
Solyc12g040690.1,Solyc05g009310.2
Solyc03g093800.1,Solyc12g089220.1
Solyc03g114130.1,Solyc04g078880.2
Solyc12g008660.1,Solyc04g071990.2
Solyc10g080910.1,Solyc06g053980.2
Solyc03g098480.1,Solyc08g005960.1
Solyc08g062380.1,XM_004248657.1
Solyc01g087790.2,Solyc01g005300.2
Solyc12g021160.1,Solyc07g007150.1
Solyc12g010570.1,Solyc03g116460.2
Solyc04g079830.2,Solyc07g005930.2
Solyc08g048400.2,Solyc10g078590.1
Solyc01g080020.2,Solyc11g011990.1
Solyc06g071370.1,Solyc06g068620.2
Solyc08g082370.1,Solyc03g007230.2
Solyc07g007050.1,Solyc01g067680.2
Solyc09g066150.1,Solyc04g071890.2
Solyc02g062140.2,Solyc06g051660.1
Solyc03g007860.1,Solyc10g080670.1
Solyc05g009520.1,XM_004245038.1
Solyc04g016200.1,Solyc01g105660.2
Solyc12g094620.2,Solyc12g100030.1
Solyc03g025430.1,Solyc03g031990.2
Solyc02g070010.1,Solyc10g079840.1
Solyc05g026460.1,Solyc05g010240.2
AOS2,Solyc10g075090.1
Solyc09g010390.2,Solyc04g081550.2
Solyc01g109090.2,XM_004240350.1
Solyc10g080610.1,Solyc10g083730.1
Solyc03g078310.1,Solyc09g090080.1
Solyc09g065390.1,Solyc03g031600.2
Solyc03g119320.1,Solyc04g017690.2
Solyc10g086650.1,Solyc08g082650.2
Solyc02g093890.1,Solyc01g100230.2
Solyc06g051020.2,Solyc10g085880.1
Solyc11g010370.1,XM_004232637.1
Solyc11g069330.1,Solyc03g118170.2
Solyc11g005820.1,Solyc01g006020.2
Solyc06g069150.1,Solyc03g093340.2
Solyc10g045490.1,Solyc08g079430.2
Solyc03g025700.1,XM_004251350.1
Solyc07g048040.1,Solyc01g111350.2
Solyc09g042250.1,Solyc05g009630.2
